,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,3.102,9.9,1.254,,,30.426,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,4.356,3.4,3.399,34,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,7.755,4.3,0.264,43,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,6,6,54.54545455,,
,4,8.019,3.4,2.739,34,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,9,3,27.27272727,,
,5,10.758,3.6,0.66,36,14.915,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,11,2,18.18181818,,
,6,11.418,3.4,4.587,34,14.915,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,11,0,0,,
,7,16.005,3.5,1.551,35,7.4575,,,,,,,,,,,,,6,20,24,11,0,0,,
,8,17.556,3.4,5.412,34,7.4575,,,目視時間の分布（秒）,,29.172,,,,,,,,7,24,28,11,0,0,,
,9,22.968,3.5,0.627,35,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,11,0,0,,
,10,23.595,4.5,0.429,45,6.72,,,5,0,0,0,0,0,0,0,0,,9,32,36,11,0,0,,
,11,24.024,4.6,0.198,46,7.4575,,,4,0,0,0.264,0,0.429,0.198,0,0,,10,36,40,11,0,0,,
,12,24.222,3.5,1.353,35,10.03856097,,,3,0,0,0,24.09,3.531,0.66,0,0,,11,40,44,11,0,0,,
,13,25.575,3.4,7.953,34,7.4575,,,2,0,0,0,0,0,0,0,0,,12,44,48,11,0,0,,
,14,33.528,3.4,,,,,,1,0,0,0,0,0,0,0,0,,13,48,52,11,0,0,,
,観測時間［s］,30.426,,,,,,,,,,,,,,,,,14,52,56,11,0,0,,
