,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,10.754,3.5,1.617,35,,31.416,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,12.371,5.4,0.363,54,15.37035804,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,12.734,3.4,1.749,34,13.44,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,12,12,48,,
,4,14.483,3.5,0.66,35,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,19,7,28,,
,5,15.143,3.4,1.551,34,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,22,3,12,,
,6,16.694,4.4,0.396,44,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,24,2,8,,
,7,17.09,3.4,2.013,34,6.72,,,,,,,,,,,,,6,20,24,25,1,4,,
,8,19.103,3.5,0.759,35,7.4575,,,目視時間の分布（秒）,,31.416,,,,,,,,7,24,28,25,0,0,,
,9,19.862,3.4,0.429,34,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,25,0,0,,
,10,20.291,4.5,2.145,45,10.03856097,,,5,0,0,0,3.168,0,0,0,0,,9,32,36,25,0,0,,
,11,22.436,4.4,0.429,44,7.4575,,,4,0,0,0.528,1.749,5.28,0,0,0,,10,36,40,25,0,0,,
,12,22.865,3.4,5.115,34,6.72,,,3,0,0,0,14.289,5.181,0,0,0,,11,40,44,25,0,0,,
,13,27.98,4.5,0.726,45,10.03856097,,,2,0,0,0.99,0,0.231,0,0,0,,12,44,48,25,0,0,,
,14,28.706,5.4,0.627,54,10.03856097,,,1,0,0,0,0,0,0,0,0,,13,48,52,25,0,0,,
,15,29.333,2.5,0.231,25,21.49511354,,,,,,,,,,,,,14,52,56,25,0,0,,
,16,29.564,3.5,1.881,35,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,25,0,0,,
,17,31.445,4.3,0.528,43,16.35896161,,,,1,2,3,4,5,6,7,8,,16,60,64,25,0,0,,
,18,31.973,5.4,1.485,54,10.03856097,,,5,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,,17,64,68,25,0,0,,
,19,33.458,4.5,0.891,45,10.03856097,,,4,0.0,0.0,1.7,5.6,16.8,0.0,0.0,0.0,,18,68,72,25,0,0,,
,20,34.349,5.4,0.693,54,10.03856097,,,3,0.0,0.0,0.0,45.5,16.5,0.0,0.0,0.0,,19,72,76,25,0,0,,
,21,35.042,3.4,1.881,34,13.44,,,2,0.0,0.0,3.2,0.0,0.7,0.0,0.0,0.0,,20,76,80,25,0,0,,
,22,36.923,4.4,0.924,44,6.72,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,37.847,3.4,1.551,34,6.72,,,,,,,,,,,,,,,,,,,,
,24,39.398,2.3,0.99,23,10.03856097,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,40.388,3.5,0.264,35,16.35896161,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,40.652,4.5,1.518,45,6.72,,,5,9,9,9,4,9,9,9,9,,,,,,,,,
,27,42.17,4.5,,,,,,4,9,9,7,5,2,9,9,9,,,,,,,,,
,観測時間［s］,31.416,,,,,,,3,9,9,9,1,3,9,9,9,,,,,,,,,
,,,,,最少移動距離,6.72,,,2,9,9,6,9,8,9,9,9,,,,,,,,,
,任意個所の最大目視時間［s］,,,5.12,最大移動距離,21.50,,,1,9,9,9,9,9,9,9,9,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.98,平均移動距離,10.04,,,,,,,,,,,,,,,,,,,,
,,,,,距離標準偏差,3.86,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,目視個所Ｔｏｐ　No.1,3.4,1,,5.1,9,,,,,,,,,,,,
,原本再生時間,31.253,秒,,9.9のカウント数,0,,,目視個所Ｔｏｐ　No.2,4.5,2,,4.1,9,,,,,,,,,,,,
,観察時間,31.416,秒,,9.9の秒数,0,,,目視個所Ｔｏｐ　No.3,3.5,3,,3.1,9,,,,,,,,,,,,
,観察割合,1.005,,,0のカウント数,0,,,目視個所Ｔｏｐ　No.4,5.4,4,,2.1,9,,,,,,,,,,,,
,,,,,0の秒数,0,,,目視個所Ｔｏｐ　No.5,4.4,5,,1.1,9,,,,,,,,,,,,
,総ロスト時間［秒］,0.000,,原本再生に占める9.9の割合,,0.000,,,目視個所（累積ではない）,8,,,5.2,9,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.000,,観察時間に占める9.9の割合,,0.000,,,非目視個所,32,,,4.2,9,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.000,,原本再生に占める0の割合,,0.000,,,合計,40,,,3.2,9,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.000,,,,,,,2.2,9,,,,,,,,,,,,
,,,,,,,,,,,,,1.2,9,,,,,,,,,,,,
,,,,チェックデジット,31.416,,,,,,,,5.3,9,,,,,,,,,,,,
,,,,OK,31.416,,,,,,,,4.3,7,,,,,1,2,3,4,5,6,7,8
,,,,,31.416,,,,,,,,3.3,9,,,,5,9,9,9,4,9,9,9,9
,,,,,,,,,,,,,2.3,6,,,,4,9,9,7,5,2,9,9,9
,,,,,,,,,,,,,1.3,9,,,,3,9,9,9,1,3,9,9,9
,,,,,,,,,,,,,5.4,4,,,,2,9,9,6,9,8,9,9,9
,,,,,,,,,,,,,4.4,5,,,,1,9,9,9,9,9,9,9,9
,,,,,,,,,,,,,3.4,1,,,,,,,,,,,,
,,,,,,,,,,,,,2.4,9,,,,,,,,,,,,
,,,,,,,,,,,,,1.4,9,,,,,,,,,,,,
,,,,,,,,,,,,,5.5,9,,,,,,,,,,,,
,,,,,,,,,,,,,4.5,2,,,,,,,,,,,,
,,,,,,,,,,,,,3.5,3,,,,,,,,,,,,
,,,,,,,,,,,,,2.5,8,,,,,,,,,,,,
,,,,,,,,,,,,,1.5,9,,,,,,,,,,,,
,,,,,,,,,,,,,5.6,9,,,,,,,,,,,,
,,,,,,,,,,,,,4.6,9,,,,,,,,,,,,
,,,,,,,,,,,,,3.6,9,,,,,,,,,,,,
,,,,,,,,,,,,,2.6,9,,,,,,,,,,,,
,,,,,,,,,,,,,1.6,9,,,,,,,,,,,,
,,,,,,,,,,,,,5.7,9,,,,,,,,,,,,
,,,,,,,,,,,,,4.7,9,,,,,,,,,,,,
,,,,,,,,,,,,,3.7,9,,,,,,,,,,,,
,,,,,,,,,,,,,2.7,9,,,,,,,,,,,,
終了時刻,,,,,,,,,,,,,1.7,9,,,,,,,,,,,,
,,,,,,,,,,,,,5.8,9,,,,,,,,,,,,
,,,,,,,,,,,,,4.8,9,,,,,,,,,,,,
,,,,,,,,,,,,,3.8,9,,,,,,,,,,,,
,,,,,,,,,,,,,2.8,9,,,,,,,,,,,,
,,,,,,,,,,,,,1.8,9,,,,,,,,,,,,
,,,,,,,,,,,,総計,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
