,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,11.385,9.9,0.396,,,31.35,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,11.781,4.4,0.231,44,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,12.012,4.5,0.561,45,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,19,19,54.28571429,,
,4,12.573,3.4,0.165,34,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,24,5,14.28571429,,
,5,12.738,4.4,1.485,44,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,32,8,22.85714286,,
,6,14.223,3.4,0.528,34,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,35,3,8.571428571,,
,7,14.751,5.4,0.594,54,13.44,,,,,,,,,,,,,6,20,24,35,0,0,,
,8,15.345,4.5,0.495,45,10.03856097,,,目視時間の分布（秒）,,30.954,,,,,,,,7,24,28,35,0,0,,
,9,15.84,5.4,0.297,54,10.03856097,,,,1,2,3,4,5,6,7,8,,8,28,32,35,0,0,,
,10,16.137,4.4,1.65,44,6.72,,,5,0,0,1.056,2.409,0.099,0,0,0,,9,32,36,35,0,0,,
,11,17.787,4.3,0.363,43,7.4575,,,4,0,0,0.627,9.075,3.465,0,0,0,,10,36,40,35,0,0,,
,12,18.15,5.5,0.099,55,16.35896161,,,3,0,0,0,11.88,1.419,0,0,0,,11,40,44,35,0,0,,
,13,18.249,3.5,0.396,35,13.44,,,2,0,0,0,0,0.924,0,0,0,,12,44,48,35,0,0,,
,14,18.645,4.3,0.264,43,16.35896161,,,1,0,0,0,0,0,0,0,0,,13,48,52,35,0,0,,
,15,18.909,4.4,1.353,44,7.4575,,,,,,,,,,,,,14,52,56,35,0,0,,
,16,20.262,3.4,2.013,34,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,35,0,0,,
,17,22.275,4.4,1.254,44,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,35,0,0,,
,18,23.529,3.4,3.003,34,6.72,,,5,0.0,0.0,3.4,7.8,0.3,0.0,0.0,0.0,,17,64,68,35,0,0,,
,19,26.532,4.4,0.726,44,6.72,,,4,0.0,0.0,2.0,29.3,11.2,0.0,0.0,0.0,,18,68,72,35,0,0,,
,20,27.258,3.4,0.957,34,6.72,,,3,0.0,0.0,0.0,38.4,4.6,0.0,0.0,0.0,,19,72,76,35,0,0,,
,21,28.215,5.3,0.957,53,15.37035804,,,2,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,20,76,80,35,0,0,,
