,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,6.152,9.9,0.817,99,,31.309,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,6.969,3.5,0.627,35,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,7.596,3.4,0.858,34,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,21,21,60,,
,4,8.454,3.5,0.363,35,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,28,7,20,,
,5,8.817,3.4,1.485,34,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,29,1,2.857142857,,
,6,10.302,5.4,1.122,54,13.44,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,29,0,0,,
,7,11.424,3.7,0.363,37,26.09908727,,,,,,,,,,,,,6,20,24,33,4,11.42857143,,
,8,11.787,3.4,1.98,34,22.3725,,,目視時間の分布（秒）,,30.492,,,,,,,,7,24,28,34,1,2.857142857,,
,9,13.767,4.4,0.33,44,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,34,0,0,,
,10,14.097,3.3,0.231,33,10.03856097,,,5,0,0.165,0.957,1.683,0,0,0,0,,9,32,36,34,0,0,,
,11,14.328,4.4,0.99,44,10.03856097,,,4,0,0,0,3.201,0.957,0,0,0.726,,10,36,40,35,1,2.857142857,,
,12,15.318,5.3,0.66,53,10.03856097,,,3,0,0,0.759,16.962,4.587,0,0.363,0,,11,40,44,35,0,0,,
,13,15.978,5.4,0.561,54,7.4575,,,2,0,0,0,0,0,0,0,0,,12,44,48,35,0,0,,
,14,16.539,4.4,0.495,44,6.72,,,1,0,0,0,0,0,0,0.132,0,,13,48,52,35,0,0,,
,15,17.034,3.4,2.277,34,6.72,,,,,,,,,,,,,14,52,56,35,0,0,,
,16,19.311,3.5,0.462,35,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,35,0,0,,
,17,19.773,3.4,1.056,34,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,35,0,0,,
,18,20.829,5.2,0.165,52,20.07712193,,,5,0.0,0.5,3.1,5.5,0.0,0.0,0.0,0.0,,17,64,68,35,0,0,,
