,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.165,9.9,0.33,,,31.334,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,0.495,1.6,0.264,16,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,0.759,3.5,0.528,35,15.37035804,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,20,20,76.92307692,,
,4,1.287,3.4,1.617,34,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,23,3,11.53846154,,
,5,2.904,4.4,0.231,44,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,26,3,11.53846154,,
,6,3.135,5.4,0.528,54,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,26,0,0,,
,7,3.663,3.4,0.396,34,13.44,,,,,,,,,,,,,6,20,24,26,0,0,,
,8,4.059,4.4,1.782,44,6.72,,,目視時間の分布（秒）,,31.004,,,,,,,,7,24,28,26,0,0,,
,9,5.841,4.5,0.528,45,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,26,0,0,,
,10,6.369,4.4,2.871,44,7.4575,,,5,0,0,0,2.541,1.089,0,0,0,,9,32,36,26,0,0,,
,11,9.24,3.5,0.396,35,10.03856097,,,4,0,0,0.462,15.725,2.937,0,0,0,,10,36,40,26,0,0,,
,12,9.636,2.4,0.396,24,10.03856097,,,3,0,0,0,4.488,3.102,0,0,0,,11,40,44,26,0,0,,
,13,10.032,3.4,0.231,34,6.72,,,2,0,0,0,0.396,0,0,0,0,,12,44,48,26,0,0,,
,14,10.263,4.4,0.759,44,6.72,,,1,0,0,0,0,0,0.264,0,0,,13,48,52,26,0,0,,
,15,11.022,4.5,0.231,45,7.4575,,,,,,,,,,,,,14,52,56,26,0,0,,
,16,11.253,5.4,0.99,54,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,26,0,0,,
,17,12.243,4.4,1.353,44,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,26,0,0,,
,18,13.596,4.5,0.198,45,7.4575,,,5,0.0,0.0,0.0,8.2,3.5,0.0,0.0,0.0,,17,64,68,26,0,0,,
,19,13.794,4.4,0.759,44,7.4575,,,4,0.0,0.0,1.5,50.7,9.5,0.0,0.0,0.0,,18,68,72,26,0,0,,
,20,14.553,5.4,1.023,54,6.72,,,3,0.0,0.0,0.0,14.5,10.0,0.0,0.0,0.0,,19,72,76,26,0,0,,
,21,15.576,4.4,1.452,44,6.72,,,2,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,,20,76,80,26,0,0,,
,22,17.028,4.3,0.462,43,7.4575,,,1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,,,,,,,100,,
,23,17.49,4.4,1.188,44,7.4575,,,,,,,,,,,,,,,,,,,,
,24,18.678,4.5,1.98,45,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,20.658,5.5,1.089,55,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,21.747,3.5,2.178,35,13.44,,,5,10,10,10,5,6,10,10,10,,,,,,,,,
,27,23.925,3.4,2.244,34,7.4575,,,4,10,10,7,1,4,10,10,10,,,,,,,,,
,28,26.169,4.4,5.33,44,6.72,,,3,10,10,10,2,3,10,10,10,,,,,,,,,
,29,31.499,4.4,,,,,,2,10,10,10,8,10,10,10,10,,,,,,,,,
,観測時間［秒］,31.334,,,,,,,1,10,10,10,10,10,9,10,10,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,,,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,5.33,最大移動距離,15.37,,,,,,,,,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,1.09,平均移動距離,8.24,,,目視個所Ｔｏｐ　No.1,4.4,1,,5.1,10,,,,,,,,,,,,
,,,,,距離標準偏差,2.35,,,目視個所Ｔｏｐ　No.2,3.4,2,,4.1,10,,,,,,,,,,,,
,,,,,,,,,目視個所Ｔｏｐ　No.3,3.5,3,,3.1,10,,,,,,,,,,,,
,原本再生時間,31.253,秒,,9.9のカウント数,1,,,目視個所Ｔｏｐ　No.4,4.5,4,,2.1,10,,,,,,,,,,,,
,観察時間,31.334,秒,,9.9の秒数,0.33,,,目視個所Ｔｏｐ　No.5,5.4,5,,1.1,10,,,,,,,,,,,,
,観察割合,1.003,,,0のカウント数,0,,,目視個所（累積ではない）,9,,,5.2,10,,,,,,,,,,,,
,,,,,0の秒数,0,,,非目視個所,31,,,4.2,10,,,,,,,,,,,,
,総ロスト時間［秒］,0.330,,原本再生に占める9.9の割合,,0.011,,,合計,40,,,3.2,10,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.011,,観察時間に占める9.9の割合,,0.011,,,,,,,2.2,10,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.011,,原本再生に占める0の割合,,0.000,,,,,,,1.2,10,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.000,,,,,,,5.3,10,,,,,,,,,,,,
,,,,,,,,,,,,,4.3,7,,,,,1,2,3,4,5,6,7,8
,,,,チェックデジット,31.004,,,,,,,,3.3,10,,,,5,10,10,10,5,6,10,10,10
,,,,OK,31.004,,,,,,,,2.3,10,,,,4,10,10,7,1,4,10,10,10
,,,,,31.004,,,,,,,,1.3,10,,,,3,10,10,10,2,3,10,10,10
,,,,,,,,,,,,,5.4,5,,,,2,10,10,10,8,10,10,10,10
,,,,,,,,,,,,,4.4,1,,,,1,10,10,10,10,10,9,10,10
,,,,,,,,,,,,,3.4,2,,,,,,,,,,,,
,,,,,,,,,,,,,2.4,8,,,,,,,,,,,,
,,,,,,,,,,,,,1.4,10,,,,,,,,,,,,
,,,,,,,,,,,,,5.5,6,,,,,,,,,,,,
,,,,,,,,,,,,,4.5,4,,,,,,,,,,,,
,,,,,,,,,,,,,3.5,3,,,,,,,,,,,,
,,,,,,,,,,,,,2.5,10,,,,,,,,,,,,
,,,,,,,,,,,,,1.5,10,,,,,,,,,,,,
,,,,,,,,,,,,,5.6,10,,,,,,,,,,,,
,,,,,,,,,,,,,4.6,10,,,,,,,,,,,,
,,,,,,,,,,,,,3.6,10,,,,,,,,,,,,
,,,,,,,,,,,,,2.6,10,,,,,,,,,,,,
,,,,,,,,,,,,,1.6,9,,,,,,,,,,,,
,,,,,,,,,,,,,5.7,10,,,,,,,,,,,,
,,,,,,,,,,,,,4.7,10,,,,,,,,,,,,
,,,,,,,,,,,,,3.7,10,,,,,,,,,,,,
,,,,,,,,,,,,,2.7,10,,,,,,,,,,,,
,,,,,,,,,,,,,1.7,10,,,,,,,,,,,,
,,,,,,,,,,,,,5.8,10,,,,,,,,,,,,
,,,,,,,,,,,,,4.8,10,,,,,,,,,,,,
,,,,,,,,,,,,,3.8,10,,,,,,,,,,,,
,,,,,,,,,,,,,2.8,10,,,,,,,,,,,,
,,,,,,,,,,,,,1.8,10,,,,,,,,,,,,
,,,,,,,,,,,,総計,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
