,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.079,2.5,0.033,25,,31.119,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.112,3.5,0.264,35,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.376,3.4,0.33,34,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,60,60,81.08108108,,
,4,2.706,3.5,0.165,35,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,68,8,10.81081081,,
,5,2.871,3.4,3.135,34,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,70,2,2.702702703,,
,6,6.006,2.4,0.561,24,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,72,2,2.702702703,,
,7,6.567,2.3,0.231,23,7.4575,,,,,,,,,,,,,6,20,24,74,2,2.702702703,,
,8,6.798,2.4,0.33,24,7.4575,,,目視時間の分布（秒）,,30.822,,,,,,,,7,24,28,74,0,0,,
,9,7.128,2.5,0.297,25,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,74,0,0,,
,10,7.425,2.3,0.297,23,14.915,,,5,0,0,0,0,0,0,0,0,,9,32,36,74,0,0,,
,11,7.722,2.4,0.132,24,7.4575,,,4,0,0,0,0,0,0,0,0,,10,36,40,74,0,0,,
,12,7.854,2.3,0.264,23,7.4575,,,3,0,0,0.495,10.164,1.452,0.528,0,0,,11,40,44,74,0,0,,
,13,8.118,3.4,0.132,34,10.03856097,,,2,0,0.099,2.772,11.352,2.673,0,0,0,,12,44,48,74,0,0,,
,14,8.25,2.4,0.462,24,6.72,,,1,0,0,0,0.165,1.122,0,0,0,,13,48,52,74,0,0,,
,15,8.712,2.3,0.726,23,7.4575,,,,,,,,,,,,,14,52,56,74,0,0,,
,16,9.438,3.3,0.198,33,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,74,0,0,,
,17,9.636,2.3,0.297,23,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,74,0,0,,
,18,9.933,2.4,0.198,24,7.4575,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,64,68,74,0,0,,
,19,10.131,2.3,0.198,23,7.4575,,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18,68,72,74,0,0,,
,20,10.329,2.4,0.033,24,7.4575,,,3,0.0,0.0,1.6,33.0,4.7,1.7,0.0,0.0,,19,72,76,74,0,0,,
,21,10.362,2.5,0.627,25,7.4575,,,2,0.0,0.3,9.0,36.8,8.7,0.0,0.0,0.0,,20,76,80,74,0,0,,
,22,10.989,3.5,0.528,35,6.72,,,1,0.0,0.0,0.0,0.5,3.6,0.0,0.0,0.0,,,,,,,100,,
,23,11.517,3.4,0.231,34,7.4575,,,,,,,,,,,,,,,,,,,,
,24,11.748,3.5,0.396,35,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,12.144,2.4,0.264,24,10.03856097,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,12.408,3.5,0.033,35,10.03856097,,,5,11,11,11,11,11,11,11,11,,,,,,,,,
,27,12.441,3.4,0.066,34,7.4575,,,4,11,11,11,11,11,11,11,11,,,,,,,,,
,28,12.507,3.3,0.165,33,7.4575,,,3,11,11,8,2,5,7,11,11,,,,,,,,,
,29,12.672,2.3,0.132,23,6.72,,,2,11,10,3,1,4,11,11,11,,,,,,,,,
,30,12.804,2.4,0.165,24,7.4575,,,1,11,11,11,9,6,11,11,11,,,,,,,,,
,31,12.969,2.3,0.066,23,7.4575,,,,,,,,,,,,,,,,,,,,
,32,13.035,2.2,0.099,22,7.4575,,,,,,,,,,,,,,,,,,,,
,33,13.134,2.3,0.033,23,7.4575,,,目視個所Ｔｏｐ　No.1,2.4,1,,5.1,11,,,,,,,,,,,,
,34,13.167,3.6,0.132,36,23.35994769,,,目視個所Ｔｏｐ　No.2,3.4,2,,4.1,11,,,,,,,,,,,,
,35,13.299,2.4,0.033,24,16.35896161,,,目視個所Ｔｏｐ　No.3,2.3,3,,3.1,11,,,,,,,,,,,,
,36,13.332,3.4,0.066,34,6.72,,,目視個所Ｔｏｐ　No.4,2.5,4,,2.1,11,,,,,,,,,,,,
,37,13.398,3.5,0.066,35,7.4575,,,目視個所Ｔｏｐ　No.5,3.5,5,,1.1,11,,,,,,,,,,,,
,38,13.464,3.6,0.264,36,7.4575,,,目視個所（累積ではない）,10,,,5.2,11,,,,,,,,,,,,
,39,13.728,3.4,0.066,34,14.915,,,非目視個所,30,,,4.2,11,,,,,,,,,,,,
,40,13.794,2.3,0.198,23,10.03856097,,,合計,40,,,3.2,11,,,,,,,,,,,,
,41,13.992,2.4,0.033,24,7.4575,,,,,,,2.2,10,,,,,,,,,,,,
,42,14.025,3.6,0.132,36,16.35896161,,,,,,,1.2,11,,,,,,,,,,,,
,43,14.157,3.3,0.132,33,22.3725,,,,,,,5.3,11,,,,,,,,,,,,
,44,14.289,3.4,0.099,34,7.4575,,,,,,,4.3,11,,,,,1,2,3,4,5,6,7,8
,45,14.388,2.4,0.264,24,6.72,,,,,,,3.3,8,,,,5,11,11,11,11,11,11,11,11
,46,14.652,3.4,0.132,34,6.72,,,,,,,2.3,3,,,,4,11,11,11,11,11,11,11,11
,47,14.784,2.4,0.99,24,6.72,,,,,,,1.3,11,,,,3,11,11,8,2,5,7,11,11
,48,15.774,2.3,0.198,23,7.4575,,,,,,,5.4,11,,,,2,11,10,3,1,4,11,11,11
,49,15.972,1.4,0.033,14,10.03856097,,,,,,,4.4,11,,,,1,11,11,11,9,6,11,11,11
,50,16.005,2.4,0.33,24,6.72,,,,,,,3.4,2,,,,,,,,,,,,
,51,16.335,2.3,0.132,23,7.4575,,,,,,,2.4,1,,,,,,,,,,,,
,52,16.467,2.4,0.198,24,7.4575,,,,,,,1.4,9,,,,,,,,,,,,
,53,16.665,2.5,0.099,25,7.4575,,,,,,,5.5,11,,,,,,,,,,,,
,54,16.764,1.5,0.33,15,6.72,,,,,,,4.5,11,,,,,,,,,,,,
,55,17.094,2.5,0.759,25,6.72,,,,,,,3.5,5,,,,,,,,,,,,
,56,17.853,9.9,0.297,99,,,,,,,,2.5,4,,,,,,,,,,,,
,57,18.15,2.5,0.264,25,,,,,,,,1.5,6,,,,,,,,,,,,
,58,18.414,3.4,0.099,34,10.03856097,,,,,,,5.6,11,,,,,,,,,,,,
,59,18.513,2.5,0.264,25,10.03856097,,,,,,,4.6,11,,,,,,,,,,,,
,60,18.777,1.5,0.33,15,6.72,,,,,,,3.6,7,,,,,,,,,,,,
,61,19.107,2.4,0.396,24,10.03856097,,,,,,,2.6,11,,,,,,,,,,,,
,62,19.503,2.5,0.264,25,7.4575,,,,,,,1.6,11,,,,,,,,,,,,
,63,19.767,2.4,1.485,24,7.4575,,,,,,,5.7,11,,,,,,,,,,,,
,64,21.252,1.4,0.132,14,6.72,,,,,,,4.7,11,,,,,,,,,,,,
,65,21.384,1.5,0.462,15,7.4575,,,,,,,3.7,11,,,,,,,,,,,,
,66,21.846,2.5,0.066,25,6.72,,,,,,,2.7,11,,,,,,,,,,,,
,67,21.912,2.4,0.165,24,7.4575,,,,,,,1.7,11,,,,,,,,,,,,
,68,22.077,3.4,0.132,34,6.72,,,,,,,5.8,11,,,,,,,,,,,,
,69,22.209,2.4,0.627,24,6.72,,,,,,,4.8,11,,,,,,,,,,,,
,70,22.836,3.4,0.165,34,6.72,,,,,,,3.8,11,,,,,,,,,,,,
,71,23.001,2.4,0.099,24,6.72,,,,,,,2.8,11,,,,,,,,,,,,
,72,23.1,3.4,0.693,34,6.72,,,,,,,1.8,11,,,,,,,,,,,,
,73,23.793,2.4,2.706,24,6.72,,,,,,総計,40,,,,,,,,,,,,,
,74,26.499,3.4,0.297,34,6.72,,,,,,,,,,,,,,,,,,,,
,75,26.796,2.4,1.881,24,6.72,,,,,,,,,,,,,,,,,,,,
,76,28.677,3.4,4.521,34,6.72,,,,,,,,,,,,,,,,,,,,
,77,33.198,3.5,0.297,35,7.4575,,,,,,,,,,,,,,,,,,,,
,78,33.495,3.4,0.726,34,7.4575,,,,,,,,,,,,,,,,,,,,
,79,34.221,2.4,0.66,24,6.72,,,,,,,,,,,,,,,,,,,,
,80,34.881,3.4,0.154,34,6.72,,,,,,,,,,,,,,,,,,,,
,81,35.035,3.4,,,,,,,,,,,,,,,,,,,,,,,
,観測時間［秒］,31.119,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,,,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,4.52,最大移動距離,23.36,,,,,,,,,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.70,平均移動距離,8.34,,,,,,,,,,,,,,,,,,,,
,,,,,距離標準偏差,3.19,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,原本再生時間,31.253,秒,,9.9のカウント数,1,,,,,,,,,,,,,,,,,,,,
,観察時間,31.119,秒,,9.9の秒数,0.297,,,,,,,,,,,,,,,,,,,,
,観察割合,0.996,,,0のカウント数,0,,,,,,,,,,,,,,,,,,,,
,,,,,0の秒数,0,,,,,,,,,,,,,,,,,,,,
