,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,34.374,9.9,1.452,,,30.954,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,35.826,4.4,0.693,44,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,36.519,5.5,0.363,55,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,15,15,60,,
,4,36.882,4.4,1.287,44,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,21,6,24,,
,5,38.169,4.5,1.023,45,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,21,0,0,,
,6,39.192,5.4,0.132,54,10.03856097,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,22,1,4,,
,7,39.324,5.5,0.561,55,7.4575,,,,,,,,,,,,,6,20,24,25,3,12,,
,8,39.885,4.4,0.462,44,10.03856097,,,目視時間の分布（秒）,,29.502,,,,,,,,7,24,28,25,0,0,,
,9,40.347,5.2,0.792,52,16.35896161,,,,1,2,3,4,5,6,7,8,,8,28,32,25,0,0,,
,10,41.139,4.5,0.231,45,23.35994769,,,5,0,0.792,0,2.112,0.924,0,0.495,0,,9,32,36,25,0,0,,
,11,41.37,5.4,0.924,54,10.03856097,,,4,0,0,0,19.14,5.181,0,0,0,,10,36,40,25,0,0,,
,12,42.294,4.4,2.706,44,6.72,,,3,0,0,0,0.858,0,0,0,0,,11,40,44,25,0,0,,
,13,45,4.5,0.396,45,7.4575,,,2,0,0,0,0,0,0,0,0,,12,44,48,25,0,0,,
,14,45.396,4.4,0.231,44,7.4575,,,1,0,0,0,0,0,0,0,0,,13,48,52,25,0,0,,
,15,45.627,4.5,0.726,45,7.4575,,,,,,,,,,,,,14,52,56,25,0,0,,
,16,46.353,4.4,1.32,44,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,25,0,0,,
,17,47.673,4.5,0.693,45,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,25,0,0,,
,18,48.366,4.4,2.673,44,7.4575,,,5,0.0,2.7,0.0,7.2,3.1,0.0,1.7,0.0,,17,64,68,25,0,0,,
,19,51.039,3.4,0.858,34,6.72,,,4,0.0,0.0,0.0,64.9,17.6,0.0,0.0,0.0,,18,68,72,25,0,0,,
