,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,20.547,9.9,0.787,99,,31.409,,格子番号の位置,,,,,,,,,,,以上,未満,累積,頻度,%,,
,2,21.334,3.5,0.658,35,,,,,1,2,3,4,5,6,7,8,,1,0,4,0,0,0,,
,3,21.992,4.4,2.673,44,10.03856097,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,2,4,8,8,8,66.66666667,,
,4,24.665,3.4,1.518,34,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,3,8,12,12,4,33.33333333,,
,5,26.183,4.4,1.023,44,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,4,12,16,12,0,0,,
,6,27.206,4.5,0.495,45,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,5,16,20,12,0,0,,
,7,27.701,3.4,1.782,34,10.03856097,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,6,20,24,12,0,0,,
,8,29.483,4.4,2.178,44,6.72,,,,,,,,,,,,,7,24,28,12,0,0,,
,9,31.661,3.4,0.528,34,6.72,,,目視時間の分布（秒）,,30.622,,,,,,,,8,28,32,12,0,0,,
,10,32.189,4.5,0.66,45,10.03856097,,,,1,2,3,4,5,6,7,8,,9,32,36,12,0,0,,
,11,32.849,3.4,0.924,34,10.03856097,,,5,0,0,0,0,0,0,0,0,,10,36,40,12,0,0,,
,12,33.773,4.4,9.504,44,6.72,,,4,0,0,0,20.13,1.155,0,0,0,,11,40,44,12,0,0,,
,13,43.277,3.4,3.927,34,6.72,,,3,0,0,0,8.679,0.658,0,0,0,,12,44,48,12,0,0,,
,14,47.204,4.4,4.752,44,6.72,,,2,0,0,0,0,0,0,0,0,,13,48,52,12,0,0,,
終了時刻,15,51.956,4.4,,,,,,1,0,0,0,0,0,0,0,0,,14,52,56,12,0,0,,
,観測時間［s］,31.409,,,,,,,,,,,,,,,,,15,56,60,12,0,0,,
,,,,,最少移動距離,6.72,,,目視時間の分布（%）,,100,,,,,,,,16,60,64,12,0,0,,
,任意個所の最大目視時間［s］,,,9.50,最大移動距離,10.04,,,,1,2,3,4,5,6,7,8,,17,64,68,12,0,0,,
,任意個所の目視時間の標準偏差,,,2.43,平均移動距離,7.89,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18,68,72,12,0,0,,
,,,,,距離標準偏差,1.53,,,4,0.0,0.0,0.0,65.7,3.8,0.0,0.0,0.0,,19,72,76,12,0,0,,
,,,,,,,,,3,0.0,0.0,0.0,28.3,2.1,0.0,0.0,0.0,,20,76,80,12,0,0,,
,原本再生時間,31.253,秒,,9.9のカウント数,1,,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,観察時間,31.409,秒,,9.9の秒数,0.787,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
,観察割合,1.005,,,0のカウント数,0,,,,,,,,,,,,,,,,,,,,
,,,,,0の秒数,0,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,総ロスト時間［秒］,0.787,,原本再生に占める9.9の割合,,0.025,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,原本再生に占めるロスト割合,0.025,,観察時間に占める9.9の割合,,0.025,,,5,5,5,5,5,5,5,5,5,,,,,,,,,
,観察時間に占めるロスト割合,0.025,,原本再生に占める0の割合,,0.000,,,4,5,5,5,1,3,5,5,5,,,,,,,,,
,,,,観察時間に占める0の割合,,0.000,,,3,5,5,5,2,4,5,5,5,,,,,,,,,
,,,,,,,,,2,5,5,5,5,5,5,5,5,,,,,,,,,
,,,,チェックデジット,30.622,,,,1,5,5,5,5,5,5,5,5,,,,,,,,,
,,,,OK,30.622,,,,,,,,,,,,,,,,,,,,,
