,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.475,2.6,0.726,26,,31.35,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.201,3.5,1.188,35,10.03856097,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.389,4.4,0.198,44,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,17,17,68,,
,4,4.587,3.4,2.277,34,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,25,8,32,,
,5,6.864,3.5,0.726,35,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,25,0,0,,
,6,7.59,3.4,1.848,34,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,25,0,0,,
,7,9.438,4.4,1.551,44,6.72,,,,,,,,,,,,,6,20,24,25,0,0,,
,8,10.989,5.4,2.244,54,6.72,,,目視時間の分布（秒）,,31.35,,,,,,,,7,24,28,25,0,0,,
,9,13.233,4.4,0.594,44,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,25,0,0,,
,10,13.827,4.5,0.957,45,7.4575,,,5,0,0,0,4.059,0,0,0,0,,9,32,36,25,0,0,,
,11,14.784,4.4,0.693,44,7.4575,,,4,0,0,2.904,13.266,1.881,0,0,0,,10,36,40,25,0,0,,
,12,15.477,4.3,0.231,43,7.4575,,,3,0,0,0,6.336,2.178,0,0,0,,11,40,44,25,0,0,,
,13,15.708,4.4,0.693,44,7.4575,,,2,0,0,0,0,0,0.726,0,0,,12,44,48,25,0,0,,
,14,16.401,4.3,2.673,43,7.4575,,,1,0,0,0,0,0,0,0,0,,13,48,52,25,0,0,,
,15,19.074,4.4,0.693,44,7.4575,,,,,,,,,,,,,14,52,56,25,0,0,,
,16,19.767,5.4,0.429,54,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,25,0,0,,
,17,20.196,4.4,4.686,44,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,25,0,0,,
,18,24.882,4.5,0.33,45,7.4575,,,5,0.0,0.0,0.0,12.9,0.0,0.0,0.0,0.0,,17,64,68,25,0,0,,
,19,25.212,5.4,1.188,54,10.03856097,,,4,0.0,0.0,9.3,42.3,6.0,0.0,0.0,0.0,,18,68,72,25,0,0,,
,20,26.4,4.5,0.396,45,10.03856097,,,3,0.0,0.0,0.0,20.2,6.9,0.0,0.0,0.0,,19,72,76,25,0,0,,
,21,26.796,3.4,2.211,34,10.03856097,,,2,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,,20,76,80,25,0,0,,
,22,29.007,4.4,3.234,44,6.72,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,32.241,3.5,0.264,35,10.03856097,,,,,,,,,,,,,,,,,,,,
,24,32.505,4.4,0.924,44,10.03856097,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,33.429,4.5,0.198,45,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,33.627,5.4,0.198,54,10.03856097,,,5,8,8,8,3,8,8,8,8,,,,,,,,,
,27,33.825,5.4,,54,,,,4,8,8,4,1,6,8,8,8,,,,,,,,,
,観測時間［秒］,31.35,,,,,,,3,8,8,8,2,5,8,8,8,,,,,,,,,
,,,,,最少移動距離,6.72,,,2,8,8,8,8,8,7,8,8,,,,,,,,,
,任意個所の最大目視時間［s］,,,4.69,最大移動距離,10.04,,,1,8,8,8,8,8,8,8,8,,,,,,,,,
,任意個所の目視時間の標準偏差,,,1.09,平均移動距離,8.08,,,,,,,,,,,,,,,,,,,,
,,,,,距離標準偏差,1.38,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,目視個所Ｔｏｐ　No.1,4.4,1,,5.1,8,,,,,,,,,,,,
,原本再生時間,31.253,秒,,9.9のカウント数,0,,,目視個所Ｔｏｐ　No.2,3.4,2,,4.1,8,,,,,,,,,,,,
,観察時間,31.35,秒,,9.9の秒数,0,,,目視個所Ｔｏｐ　No.3,5.4,3,,3.1,8,,,,,,,,,,,,
,観察割合,1.003,,,0のカウント数,0,,,目視個所Ｔｏｐ　No.4,4.3,4,,2.1,8,,,,,,,,,,,,
,,,,,0の秒数,0,,,目視個所Ｔｏｐ　No.5,3.5,5,,1.1,8,,,,,,,,,,,,
,総ロスト時間［秒］,0.000,,原本再生に占める9.9の割合,,0.000,,,目視個所（累積ではない）,7,,,5.2,8,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.000,,観察時間に占める9.9の割合,,0.000,,,非目視個所,33,,,4.2,8,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.000,,原本再生に占める0の割合,,0.000,,,合計,40,,,3.2,8,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.000,,,,,,,2.2,8,,,,,,,,,,,,
,,,,,,,,,,,,,1.2,8,,,,,,,,,,,,
,,,,チェックデジット,31.350,,,,,,,,5.3,8,,,,,,,,,,,,
,,,,OK,31.350,,,,,,,,4.3,4,,,,,1,2,3,4,5,6,7,8
,,,,,31.350,,,,,,,,3.3,8,,,,5,8,8,8,3,8,8,8,8
,,,,,,,,,,,,,2.3,8,,,,4,8,8,4,1,6,8,8,8
,,,,,,,,,,,,,1.3,8,,,,3,8,8,8,2,5,8,8,8
,,,,,,,,,,,,,5.4,3,,,,2,8,8,8,8,8,7,8,8
,,,,,,,,,,,,,4.4,1,,,,1,8,8,8,8,8,8,8,8
,,,,,,,,,,,,,3.4,2,,,,,,,,,,,,
,,,,,,,,,,,,,2.4,8,,,,,,,,,,,,
,,,,,,,,,,,,,1.4,8,,,,,,,,,,,,
,,,,,,,,,,,,,5.5,8,,,,,,,,,,,,
,,,,,,,,,,,,,4.5,6,,,,,,,,,,,,
,,,,,,,,,,,,,3.5,5,,,,,,,,,,,,
,,,,,,,,,,,,,2.5,8,,,,,,,,,,,,
,,,,,,,,,,,,,1.5,8,,,,,,,,,,,,
,,,,,,,,,,,,,5.6,8,,,,,,,,,,,,
,,,,,,,,,,,,,4.6,8,,,,,,,,,,,,
,,,,,,,,,,,,,3.6,8,,,,,,,,,,,,
,,,,,,,,,,,,,2.6,7,,,,,,,,,,,,
,,,,,,,,,,,,,1.6,8,,,,,,,,,,,,
,,,,,,,,,,,,,5.7,8,,,,,,,,,,,,
