,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.805,5.4,1.089,54,,31.416,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.894,3.4,5.709,34,13.44,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,9.603,4.5,0.792,45,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,11,11,44,,
,4,10.395,3.4,1.782,34,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,19,8,32,,
,5,12.177,3.5,1.089,35,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,24,5,20,,
,6,13.266,5.5,0.429,55,13.44,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,25,1,4,,
,7,13.695,5.6,0.825,56,7.4575,,,,,,,,,,,,,6,20,24,25,0,0,,
,8,14.52,5.4,1.155,54,14.915,,,目視時間の分布（秒）,,31.416,,,,,,,,7,24,28,25,0,0,,
,9,15.675,3.4,1.518,34,13.44,,,,1,2,3,4,5,6,7,8,,8,28,32,25,0,0,,
,10,17.193,2.4,1.155,24,6.72,,,5,0,0,0,2.244,0.429,0.825,0,0,,9,32,36,25,0,0,,
,11,18.348,3.3,0.099,33,10.03856097,,,4,0.33,1.023,2.343,1.023,0.792,0,0,0,,10,36,40,25,0,0,,
,12,18.447,4.4,1.023,44,10.03856097,,,3,0,0.099,0.495,17.82,2.211,0,0,0,,11,40,44,25,0,0,,
,13,19.47,3.5,1.122,35,10.03856097,,,2,0,0,0.429,1.353,0,0,0,0,,12,44,48,25,0,0,,
,14,20.592,3.4,2.079,34,7.4575,,,1,0,0,0,0,0,0,0,0,,13,48,52,25,0,0,,
