,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.376,4.5,0.594,45,,31.317,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.97,3.5,0.726,35,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,3.696,4.4,1.221,44,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,12,12,35.29411765,,
,4,4.917,3.4,3.201,34,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,26,14,41.17647059,,
,5,8.118,5.4,1.452,54,13.44,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,33,7,20.58823529,,
,6,9.57,3.4,1.188,34,13.44,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,33,0,0,,
,7,10.758,3.5,1.221,35,7.4575,,,,,,,,,,,,,6,20,24,34,1,2.941176471,,
,8,11.979,4.5,0.462,45,6.72,,,目視時間の分布（秒）,,31.317,,,,,,,,7,24,28,34,0,0,,
,9,12.441,3.4,0.891,34,10.03856097,,,,1,2,3,4,5,6,7,8,,8,28,32,34,0,0,,
,10,13.332,3.5,0.759,35,7.4575,,,5,0,0,0,4.389,0,0,0,0,,9,32,36,34,0,0,,
,11,14.091,4.4,0.231,44,10.03856097,,,4,0,0,0,6.27,5.709,0,0,0,,10,36,40,34,0,0,,
,12,14.322,3.4,0.462,34,6.72,,,3,0,0,0.231,10.725,2.706,0.297,0,0,,11,40,44,34,0,0,,
,13,14.784,5.4,0.33,54,13.44,,,2,0,0,0.396,0.594,0,0,0,0,,12,44,48,34,0,0,,
,14,15.114,4.5,0.924,45,10.03856097,,,1,0,0,0,0,0,0,0,0,,13,48,52,34,0,0,,
,15,16.038,3.6,0.297,36,10.03856097,,,,,,,,,,,,,14,52,56,34,0,0,,
,16,16.335,4.5,0.264,45,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,34,0,0,,
,17,16.599,2.4,0.594,24,15.37035804,,,,1,2,3,4,5,6,7,8,,16,60,64,34,0,0,,
,18,17.193,5.4,1.023,54,20.16,,,5,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,,17,64,68,34,0,0,,
,19,18.216,3.4,1.254,34,13.44,,,4,0.0,0.0,0.0,20.0,18.2,0.0,0.0,0.0,,18,68,72,34,0,0,,
,20,19.47,5.4,0.396,54,13.44,,,3,0.0,0.0,0.7,34.2,8.6,0.9,0.0,0.0,,19,72,76,34,0,0,,
,21,19.866,4.4,1.221,44,6.72,,,2,0.0,0.0,1.3,1.9,0.0,0.0,0.0,0.0,,20,76,80,34,0,0,,
,22,21.087,4.5,1.584,45,7.4575,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,22.671,4.4,1.254,44,7.4575,,,,,,,,,,,,,,,,,,,,
,24,23.925,3.3,0.231,33,10.03856097,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,24.156,2.3,0.396,23,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,24.552,3.4,2.079,34,10.03856097,,,5,10,10,10,4,10,10,10,10,,,,,,,,,
,27,26.631,4.5,0.297,45,10.03856097,,,4,10,10,10,2,3,10,10,10,,,,,,,,,
