,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.871,5.3,0.231,53,,31.218,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.102,4.5,1.574,45,16.35896161,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.676,4.3,1.264,43,14.915,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,20,20,57.14285714,,
,4,5.94,4.4,2.376,44,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,27,7,20,,
,5,8.316,5.4,0.396,54,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,32,5,14.28571429,,
,6,8.712,4.5,0.165,45,10.03856097,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,34,2,5.714285714,,
,7,8.877,3.5,1.188,35,6.72,,,,,,,,,,,,,6,20,24,35,1,2.857142857,,
,8,10.065,4.4,0.99,44,10.03856097,,,目視時間の分布（秒）,,31.218,,,,,,,,7,24,28,35,0,0,,
,9,11.055,3.4,0.297,34,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,35,0,0,,
,10,11.352,4.4,1.221,44,6.72,,,5,0,0,0.231,1.617,0,0,0,0,,9,32,36,35,0,0,,
,11,12.573,4.5,0.297,45,7.4575,,,4,0,0,1.396,11.451,4.544,0,0,0,,10,36,40,35,0,0,,
,12,12.87,4.4,0.33,44,7.4575,,,3,0,0,0,5.286,4.488,1.578,0,0,,11,40,44,35,0,0,,
,13,13.2,3.5,0.792,35,10.03856097,,,2,0,0,0.627,0,0,0,0,0,,12,44,48,35,0,0,,
,14,13.992,4.4,0.693,44,10.03856097,,,1,0,0,0,0,0,0,0,0,,13,48,52,35,0,0,,
,15,14.685,3.4,1.089,34,6.72,,,,,,,,,,,,,14,52,56,35,0,0,,
,16,15.774,5.4,0.924,54,13.44,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,35,0,0,,
,17,16.698,4.4,2.046,44,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,35,0,0,,
,18,18.744,2.3,0.627,23,15.37035804,,,5,0.0,0.0,0.7,5.2,0.0,0.0,0.0,0.0,,17,64,68,35,0,0,,
