,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.551,9.9,0.363,,,31.383,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.914,3.5,0.957,35,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.871,3.4,0.891,34,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,33,33,64.70588235,,
,4,3.762,4.4,1.782,44,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,42,9,17.64705882,,
,5,5.544,3.5,0.132,35,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,46,4,7.843137255,,
,6,5.676,3.4,0.165,34,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,48,2,3.921568627,,
,7,5.841,4.4,0.297,44,6.72,,,,,,,,,,,,,6,20,24,48,0,0,,
,8,6.138,4.5,0.495,45,7.4575,,,目視時間の分布（秒）,,31.02,,,,,,,,7,24,28,50,2,3.921568627,,
,9,6.633,3.5,0.231,35,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,51,1,1.960784314,,
,10,6.864,5.5,0.792,55,13.44,,,5,0,0,0,1.221,2.211,0,0,0,,9,32,36,51,0,0,,
,11,7.656,4.3,0.462,43,16.35896161,,,4,0,0.231,0.891,10.065,7.26,0.231,0,0,,10,36,40,51,0,0,,
,12,8.118,5.4,0.396,54,10.03856097,,,3,0,0.363,0.231,2.805,4.62,0.198,0.396,0,,11,40,44,51,0,0,,
,13,8.514,3.7,0.396,37,26.09908727,,,2,0,0,0,0.132,0,0,0,0,,12,44,48,51,0,0,,
,14,8.91,3.3,0.231,33,29.83,,,1,0,0,0,0,0.165,0,0,0,,13,48,52,51,0,0,,
,15,9.141,4.2,0.231,42,10.03856097,,,,,,,,,,,,,14,52,56,51,0,0,,
,16,9.372,3.2,0.363,32,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,51,0,0,,
,17,9.735,3.4,0.099,34,14.915,,,,1,2,3,4,5,6,7,8,,16,60,64,51,0,0,,
,18,9.834,4.4,1.056,44,6.72,,,5,0.0,0.0,0.0,3.9,7.1,0.0,0.0,0.0,,17,64,68,51,0,0,,
,19,10.89,4.5,0.363,45,7.4575,,,4,0.0,0.7,2.9,32.4,23.4,0.7,0.0,0.0,,18,68,72,51,0,0,,
