,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,3.168,3.4,0.452,34,,31.185,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.62,4.5,1.33,45,10.03856097,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.95,4.4,1.056,44,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,42,42,87.5,,
,4,6.006,3.4,0.627,34,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,47,5,10.41666667,,
,5,6.633,4.5,1.155,45,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,48,1,2.083333333,,
,6,7.788,3.5,0.231,35,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,48,0,0,,
,7,8.019,3.4,0.231,34,7.4575,,,,,,,,,,,,,6,20,24,48,0,0,,
,8,8.25,4.3,0.33,43,10.03856097,,,目視時間の分布（秒）,,31.185,,,,,,,,7,24,28,48,0,0,,
,9,8.58,3.3,0.297,33,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,48,0,0,,
,10,8.877,2.3,0.231,23,6.72,,,5,0,0,0.132,1.023,0,0,0,0,,9,32,36,48,0,0,,
,11,9.108,4.3,0.231,43,13.44,,,4,0,0.297,0.792,4.884,8.821,0,0,0,,10,36,40,48,0,0,,
,12,9.339,5.3,0.132,53,6.72,,,3,0,0,1.122,8.504,3.333,0,0,0,,11,40,44,48,0,0,,
,13,9.471,5.4,0.693,54,7.4575,,,2,0,0,0.759,0,1.518,0,0,0,,12,44,48,48,0,0,,
,14,10.164,4.4,0.429,44,6.72,,,1,0,0,0,0,0,0,0,0,,13,48,52,48,0,0,,
,15,10.593,4.5,1.485,45,7.4575,,,,,,,,,,,,,14,52,56,48,0,0,,
,16,12.078,3.5,0.231,35,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,48,0,0,,
,17,12.309,2.5,0.33,25,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,48,0,0,,
,18,12.639,3.5,1.485,35,6.72,,,5,0.0,0.0,0.4,3.3,0.0,0.0,0.0,0.0,,17,64,68,48,0,0,,
,19,14.124,4.5,1.551,45,6.72,,,4,0.0,1.0,2.5,15.7,28.3,0.0,0.0,0.0,,18,68,72,48,0,0,,
,20,15.675,4.4,0.165,44,7.4575,,,3,0.0,0.0,3.6,27.3,10.7,0.0,0.0,0.0,,19,72,76,48,0,0,,
,21,15.84,5.4,0.33,54,6.72,,,2,0.0,0.0,2.4,0.0,4.9,0.0,0.0,0.0,,20,76,80,48,0,0,,
,22,16.17,4.4,0.198,44,6.72,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,16.368,3.4,1.65,34,6.72,,,,,,,,,,,,,,,,,,,,
,24,18.018,3.5,0.165,35,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,18.183,4.5,0.231,45,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,18.414,3.5,0.462,35,6.72,,,5,12,12,11,7,12,12,12,12,,,,,,,,,
,27,18.876,2.5,1.188,25,6.72,,,4,12,10,8,3,1,12,12,12,,,,,,,,,
,28,20.064,3.5,0.33,35,6.72,,,3,12,12,6,2,4,12,12,12,,,,,,,,,
,29,20.394,4.5,0.627,45,6.72,,,2,12,12,9,12,5,12,12,12,,,,,,,,,
,30,21.021,3.4,1.617,34,10.03856097,,,1,12,12,12,12,12,12,12,12,,,,,,,,,
,31,22.638,4.4,0.462,44,6.72,,,,,,,,,,,,,,,,,,,,
,32,23.1,4.3,0.066,43,7.4575,,,,,,,,,,,,,,,,,,,,
,33,23.166,4.2,0.297,42,7.4575,,,目視個所Ｔｏｐ　No.1,4.5,1,,5.1,12,,,,,,,,,,,,
,34,23.463,4.3,0.165,43,7.4575,,,目視個所Ｔｏｐ　No.2,3.4,2,,4.1,12,,,,,,,,,,,,
,35,23.628,4.4,0.627,44,7.4575,,,目視個所Ｔｏｐ　No.3,4.4,3,,3.1,12,,,,,,,,,,,,
