,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.594,3.4,12.54,34,,30.822,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,13.134,4.4,0.66,44,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,13.794,3.4,0.66,34,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,7,7,100,,
,4,14.454,3.5,3.003,35,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,7,0,0,,
,5,17.457,3.4,6.171,34,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,7,0,0,,
,6,23.628,3.3,0.264,33,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,7,0,0,,
,7,23.892,3.4,7.524,34,7.4575,,,,,,,,,,,,,6,20,24,7,0,0,,
,8,31.416,4.4,1.254,44,6.72,,,目視時間の分布（秒）,,30.822,,,,,,,,7,24,28,7,0,0,,
,9,32.67,3.4,0.363,34,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,7,0,0,,
,10,33.033,3.4,,,,,,5,0,0,0,0,0,0,0,0,,9,32,36,7,0,0,,
,観測時間［秒］,30.822,,,,,,,4,0,0,0,0.66,0,0,0,0,,10,36,40,7,0,0,,
,,,,,最少移動距離,6.72,,,3,0,0,0.264,26.895,3.003,0,0,0,,11,40,44,7,0,0,,
,任意個所の最大目視時間［s］,,,12.54,最大移動距離,7.46,,,2,0,0,0,0,0,0,0,0,,12,44,48,7,0,0,,
,任意個所の目視時間の標準偏差,,,4.25,平均移動距離,7.14,,,1,0,0,0,0,0,0,0,0,,13,48,52,7,0,0,,
,,,,,距離標準偏差,0.36,,,,,,,,,,,,,14,52,56,7,0,0,,
