,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.749,2.4,0.099,24,,29.282,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.848,3.4,0.693,34,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,s,5.8,,1,0,4,0,0,0,,
,3,2.541,4.4,0.264,44,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,41,41,89.13043478,,
,4,2.805,3.4,0.429,34,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,46,5,10.86956522,,
,5,3.234,4.4,0.132,44,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,46,0,0,,
,6,3.366,4.5,0.396,45,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,46,0,0,,
,7,3.762,4.4,0.363,44,7.4575,,,,,,,,,,,,,6,20,24,46,0,0,,
,8,4.125,5.4,0.594,54,6.72,,,目視時間の分布（秒）,,29.282,,,,,,,,7,24,28,46,0,0,,
,9,4.719,4.4,1.881,44,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,46,0,0,,
,10,6.6,4.5,1.155,45,7.4575,,,5,0,0,0,0.594,0,0,0,0,,9,32,36,46,0,0,,
,11,7.755,4.4,1.848,44,7.4575,,,4,0,0,0.66,17.292,4.026,0,0,0,,10,36,40,46,0,0,,
,12,9.603,3.4,0.066,34,6.72,,,3,0,0,0.33,5.643,0.165,0,0,0,,11,40,44,46,0,0,,
,13,9.669,3.3,0.066,33,7.4575,,,2,0,0,0.297,0.099,0.044,0.099,0.033,0,,12,44,48,46,0,0,,
,14,9.735,2.3,0.297,23,6.72,,,1,0,0,0,0,0,0,0,0,,13,48,52,46,0,0,,
,15,10.032,3.3,0.264,33,6.72,,,,,,,,,,,,,14,52,56,46,0,0,,
,16,10.296,4.3,0.066,43,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,46,0,0,,
,17,10.362,4.4,1.122,44,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,46,0,0,,
,18,11.484,3.4,1.254,34,6.72,,,5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,17,64,68,46,0,0,,
