,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.32,3.4,0.066,34,,31.614,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.386,4.4,0.297,44,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.683,3.4,1.815,34,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,50,50,94.33962264,,
,4,3.498,4.4,1.815,44,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,53,3,5.660377358,,
,5,5.313,4.5,0.33,45,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,53,0,0,,
,6,5.643,4.4,2.31,44,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,53,0,0,,
,7,7.953,4.3,0.231,43,7.4575,,,,,,,,,,,,,6,20,24,53,0,0,,
,8,8.184,3.3,0.528,33,6.72,,,目視時間の分布（秒）,,31.614,,,,,,,,7,24,28,53,0,0,,
,9,8.712,3.4,0.561,34,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,53,0,0,,
,10,9.273,3.3,0.066,33,7.4575,,,5,0,0,0.132,0.363,0,0,0,0,,9,32,36,53,0,0,,
,11,9.339,2.3,0.264,23,6.72,,,4,0,0,0.561,9.57,2.673,0,0,0,,10,36,40,53,0,0,,
,12,9.603,3.3,0.066,33,6.72,,,3,0,0,1.155,15.51,1.155,0,0,0,,11,40,44,53,0,0,,
,13,9.669,4.3,0.231,43,6.72,,,2,0,0,0.495,0,0,0,0,0,,12,44,48,53,0,0,,
,14,9.9,5.3,0.132,53,6.72,,,1,0,0,0,0,0,0,0,0,,13,48,52,53,0,0,,
,15,10.032,5.4,0.363,54,7.4575,,,,,,,,,,,,,14,52,56,53,0,0,,
,16,10.395,4.4,1.122,44,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,53,0,0,,
,17,11.517,3.4,1.65,34,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,53,0,0,,
,18,13.167,3.5,0.066,35,7.4575,,,5,0.0,0.0,0.4,1.1,0.0,0.0,0.0,0.0,,17,64,68,53,0,0,,
,19,13.233,4.5,0.264,45,6.72,,,4,0.0,0.0,1.8,30.3,8.5,0.0,0.0,0.0,,18,68,72,53,0,0,,
,20,13.497,3.5,0.066,35,6.72,,,3,0.0,0.0,3.7,49.1,3.7,0.0,0.0,0.0,,19,72,76,53,0,0,,
,21,13.563,3.4,0.792,34,7.4575,,,2,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,,20,76,80,53,0,0,,
,22,14.355,4.4,0.099,44,6.72,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,14.454,4.5,0.759,45,7.4575,,,,,,,,,,,,,,,,,,,,
,24,15.213,4.4,0.066,44,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,15.279,3.4,0.594,34,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,15.873,3.5,0.198,35,7.4575,,,5,10,10,9,8,10,10,10,10,,,,,,,,,
,27,16.071,3.4,0.066,34,7.4575,,,4,10,10,6,2,3,10,10,10,,,,,,,,,
,28,16.137,4.4,0.297,44,6.72,,,3,10,10,5,1,4,10,10,10,,,,,,,,,
,29,16.434,4.3,0.099,43,7.4575,,,2,10,10,7,10,10,10,10,10,,,,,,,,,
,30,16.533,4.4,0.132,44,7.4575,,,1,10,10,10,10,10,10,10,10,,,,,,,,,
,31,16.665,3.4,0.132,34,6.72,,,,,,,,,,,,,,,,,,,,
,32,16.797,3.5,0.825,35,7.4575,,,,,,,,,,,,,,,,,,,,
,33,17.622,3.4,2.244,34,7.4575,,,目視個所Ｔｏｐ　No.1,3.4,1,,5.1,10,,,,,,,,,,,,
,34,19.866,4.4,0.066,44,6.72,,,目視個所Ｔｏｐ　No.2,4.4,2,,4.1,10,,,,,,,,,,,,
,35,19.932,4.5,0.759,45,7.4575,,,目視個所Ｔｏｐ　No.3,4.5,3,,3.1,10,,,,,,,,,,,,
,36,20.691,4.4,0.429,44,7.4575,,,目視個所Ｔｏｐ　No.4,3.5,4,,2.1,10,,,,,,,,,,,,
,37,21.12,3.4,0.198,34,6.72,,,目視個所Ｔｏｐ　No.5,3.3,5,,1.1,10,,,,,,,,,,,,
,38,21.318,3.3,0.297,33,7.4575,,,目視個所（累積ではない）,9,,,5.2,10,,,,,,,,,,,,
