,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.353,3.6,0.132,36,,31.68,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.485,3.5,0.495,35,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.98,3.4,0.594,34,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,29,29,82.85714286,,
,4,2.574,4.4,0.957,44,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,33,4,11.42857143,,
,5,3.531,5.4,0.495,54,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,34,1,2.857142857,,
,6,4.026,4.4,0.693,44,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,34,0,0,,
,7,4.719,4.5,1.056,45,7.4575,,,,,,,,,,,,,6,20,24,35,1,2.857142857,,
,8,5.775,3.5,0.462,35,6.72,,,目視時間の分布（秒）,,31.68,,,,,,,,7,24,28,35,0,0,,
,9,6.237,3.4,0.693,34,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,35,0,0,,
,10,6.93,5.4,1.122,54,13.44,,,5,0,0,0.66,3.498,0,0,0,0,,9,32,36,35,0,0,,
,11,8.052,4.4,0.066,44,6.72,,,4,0,0,0,11.187,4.356,0,0,0,,10,36,40,35,0,0,,
,12,8.118,3.4,0.495,34,6.72,,,3,0,0,0,9.108,1.815,0.132,0,0,,11,40,44,35,0,0,,
,13,8.613,4.5,1.023,45,10.03856097,,,2,0,0,0.594,0.33,0,0,0,0,,12,44,48,35,0,0,,
,14,9.636,4.4,0.957,44,7.4575,,,1,0,0,0,0,0,0,0,0,,13,48,52,35,0,0,,
,15,10.593,3.4,0.132,34,6.72,,,,,,,,,,,,,14,52,56,35,0,0,,
,16,10.725,2.4,0.231,24,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,35,0,0,,
,17,10.956,2.3,0.594,23,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,35,0,0,,
,18,11.55,5.3,0.66,53,20.16,,,5,0.0,0.0,2.1,11.0,0.0,0.0,0.0,0.0,,17,64,68,35,0,0,,
,19,12.21,4.4,1.815,44,10.03856097,,,4,0.0,0.0,0.0,35.3,13.8,0.0,0.0,0.0,,18,68,72,35,0,0,,
,20,14.025,4.5,0.792,45,7.4575,,,3,0.0,0.0,0.0,28.8,5.7,0.4,0.0,0.0,,19,72,76,35,0,0,,
,21,14.817,4.4,2.178,44,7.4575,,,2,0.0,0.0,1.9,1.0,0.0,0.0,0.0,0.0,,20,76,80,35,0,0,,
,22,16.995,4.5,1.32,45,7.4575,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,18.315,4.4,0.627,44,7.4575,,,,,,,,,,,,,,,,,,,,
,24,18.942,5.4,1.65,54,6.72,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,20.592,4.4,0.528,44,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,21.12,5.4,0.231,54,6.72,,,5,10,10,6,4,10,10,10,10,,,,,,,,,
,27,21.351,4.4,0.198,44,6.72,,,4,10,10,10,1,3,10,10,10,,,,,,,,,
,28,21.549,3.4,1.056,34,6.72,,,3,10,10,10,2,5,9,10,10,,,,,,,,,
,29,22.605,4.4,1.221,44,6.72,,,2,10,10,7,8,10,10,10,10,,,,,,,,,
,30,23.826,3.4,2.211,34,6.72,,,1,10,10,10,10,10,10,10,10,,,,,,,,,
,31,26.037,4.5,0.165,45,10.03856097,,,,,,,,,,,,,,,,,,,,
,32,26.202,3.5,0.858,35,6.72,,,,,,,,,,,,,,,,,,,,
,33,27.06,4.4,1.947,44,10.03856097,,,目視個所Ｔｏｐ　No.1,4.4,1,,5.1,10,,,,,,,,,,,,
,34,29.007,3.4,0.132,34,6.72,,,目視個所Ｔｏｐ　No.2,3.4,2,,4.1,10,,,,,,,,,,,,
,35,29.139,2.4,0.099,24,6.72,,,目視個所Ｔｏｐ　No.3,4.5,3,,3.1,10,,,,,,,,,,,,
,36,29.238,3.4,3.795,34,6.72,,,目視個所Ｔｏｐ　No.4,5.4,4,,2.1,10,,,,,,,,,,,,
,37,33.033,3.4,,,,,,目視個所Ｔｏｐ　No.5,3.5,5,,1.1,10,,,,,,,,,,,,
,観測時間［秒］,31.68,,,,,,,目視個所（累積ではない）,9,,,5.2,10,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,非目視個所,31,,,4.2,10,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,3.80,最大移動距離,20.16,,,合計,40,,,3.2,10,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.76,平均移動距離,7.89,,,,,,,2.2,10,,,,,,,,,,,,
,,,,,距離標準偏差,2.55,,,,,,,1.2,10,,,,,,,,,,,,
,,,,,,,,,,,,,5.3,6,,,,,,,,,,,,
,原本再生時間,31.253,秒,,9.9のカウント数,0,,,,,,,4.3,10,,,,,1,2,3,4,5,6,7,8
,観察時間,31.68,秒,,9.9の秒数,0,,,,,,,3.3,10,,,,5,10,10,6,4,10,10,10,10
,観察割合,1.014,,,0のカウント数,0,,,,,,,2.3,7,,,,4,10,10,10,1,3,10,10,10
,,,,,0の秒数,0,,,,,,,1.3,10,,,,3,10,10,10,2,5,9,10,10
,総ロスト時間［秒］,0.000,,原本再生に占める9.9の割合,,0.000,,,,,,,5.4,4,,,,2,10,10,7,8,10,10,10,10
,原本再生に占めるロスト割合,0.000,,観察時間に占める9.9の割合,,0.000,,,,,,,4.4,1,,,,1,10,10,10,10,10,10,10,10
,観察時間に占めるロスト割合,0.000,,原本再生に占める0の割合,,0.000,,,,,,,3.4,2,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.000,,,,,,,2.4,8,,,,,,,,,,,,
,,,,,,,,,,,,,1.4,10,,,,,,,,,,,,
,,,,チェックデジット,31.680,,,,,,,,5.5,10,,,,,,,,,,,,
,,,,OK,31.680,,,,,,,,4.5,3,,,,,,,,,,,,
,,,,,31.680,,,,,,,,3.5,5,,,,,,,,,,,,
,,,,,,,,,,,,,2.5,10,,,,,,,,,,,,
