,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.277,9.9,1.848,,,31.317,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,4.125,4.4,0.528,44,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.653,3.4,3.036,34,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,31,31,81.57894737,,
,4,7.689,4.4,0.792,44,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,37,6,15.78947368,,
,5,8.481,3.5,0.396,35,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,38,1,2.631578947,,
,6,8.877,3.4,0.297,34,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,38,0,0,,
,7,9.174,4.4,0.231,44,6.72,,,,,,,,,,,,,6,20,24,38,0,0,,
,8,9.405,3.5,0.891,35,10.03856097,,,目視時間の分布（秒）,,29.469,,,,,,,,7,24,28,38,0,0,,
,9,10.296,3.4,1.023,34,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,38,0,0,,
,10,11.319,3.5,0.858,35,7.4575,,,5,0,0,0,0,0,0,0,0,,9,32,36,38,0,0,,
,11,12.177,4.4,1.815,44,10.03856097,,,4,0,0,0,5.016,0.429,0,0,0,,10,36,40,38,0,0,,
,12,13.992,3.4,0.198,34,6.72,,,3,0,0,1.584,15.774,5.775,0.693,0,0,,11,40,44,38,0,0,,
,13,14.19,4.4,0.297,44,6.72,,,2,0,0,0,0.033,0.165,0,0,0,,12,44,48,38,0,0,,
,14,14.487,3.4,0.924,34,6.72,,,1,0,0,0,0,0,0,0,0,,13,48,52,38,0,0,,
,15,15.411,3.5,0.693,35,7.4575,,,,,,,,,,,,,14,52,56,38,0,0,,
,16,16.104,3.4,2.904,34,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,38,0,0,,
,17,19.008,4.4,0.198,44,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,38,0,0,,
,18,19.206,4.5,0.429,45,7.4575,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,64,68,38,0,0,,
,19,19.635,4.4,0.957,44,7.4575,,,4,0.0,0.0,0.0,17.0,1.5,0.0,0.0,0.0,,18,68,72,38,0,0,,
,20,20.592,3.4,0.297,34,6.72,,,3,0.0,0.0,5.4,53.5,19.6,2.4,0.0,0.0,,19,72,76,38,0,0,,
,21,20.889,2.5,0.066,25,10.03856097,,,2,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.0,,20,76,80,38,0,0,,
,22,20.955,3.4,1.749,34,10.03856097,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,22.704,3.6,0.264,36,14.915,,,,,,,,,,,,,,,,,,,,
,24,22.968,3.5,1.452,35,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,24.42,3.4,0.924,34,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,25.344,2.4,0.033,24,6.72,,,5,9,9,9,9,9,9,9,9,,,,,,,,,
,27,25.377,3.4,0.264,34,6.72,,,4,9,9,9,3,6,9,9,9,,,,,,,,,
,28,25.641,3.5,0.099,35,7.4575,,,3,9,9,4,1,2,5,9,9,,,,,,,,,
,29,25.74,3.6,0.429,36,7.4575,,,2,9,9,9,8,7,9,9,9,,,,,,,,,
,30,26.169,3.5,0.924,35,7.4575,,,1,9,9,9,9,9,9,9,9,,,,,,,,,
,31,27.093,2.5,0.099,25,6.72,,,,,,,,,,,,,,,,,,,,
,32,27.192,3.4,0.627,34,10.03856097,,,,,,,,,,,,,,,,,,,,
,33,27.819,4.4,0.198,44,6.72,,,目視個所Ｔｏｐ　No.1,3.4,1,,5.1,9,,,,,,,,,,,,
,34,28.017,3.4,1.386,34,6.72,,,目視個所Ｔｏｐ　No.2,3.5,2,,4.1,9,,,,,,,,,,,,
,35,29.403,3.5,0.132,35,7.4575,,,目視個所Ｔｏｐ　No.3,4.4,3,,3.1,9,,,,,,,,,,,,
,36,29.535,3.4,0.33,34,7.4575,,,目視個所Ｔｏｐ　No.4,3.3,4,,2.1,9,,,,,,,,,,,,
,37,29.865,3.5,0.33,35,7.4575,,,目視個所Ｔｏｐ　No.5,3.6,5,,1.1,9,,,,,,,,,,,,
,38,30.195,3.4,1.056,34,7.4575,,,目視個所（累積ではない）,8,,,5.2,9,,,,,,,,,,,,
,39,31.251,3.3,1.584,33,7.4575,,,非目視個所,32,,,4.2,9,,,,,,,,,,,,
,40,32.835,3.4,0.759,34,7.4575,,,合計,40,,,3.2,9,,,,,,,,,,,,
,41,33.594,3.4,,,,,,,,,,2.2,9,,,,,,,,,,,,
,観測時間［秒］,31.317,,,,,,,,,,,1.2,9,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,5.3,9,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,3.04,最大移動距離,14.92,,,,,,,4.3,9,,,,,1,2,3,4,5,6,7,8
,任意個所の目視時間の標準偏差,,,0.70,平均移動距離,7.81,,,,,,,3.3,4,,,,5,9,9,9,9,9,9,9,9
,,,,,距離標準偏差,1.61,,,,,,,2.3,9,,,,4,9,9,9,3,6,9,9,9
,,,,,,,,,,,,,1.3,9,,,,3,9,9,4,1,2,5,9,9
,原本再生時間,31.253,秒,,9.9のカウント数,1,,,,,,,5.4,9,,,,2,9,9,9,8,7,9,9,9
,観察時間,31.317,秒,,9.9の秒数,1.848,,,,,,,4.4,3,,,,1,9,9,9,9,9,9,9,9
,観察割合,1.002,,,0のカウント数,0,,,,,,,3.4,1,,,,,,,,,,,,
,,,,,0の秒数,0,,,,,,,2.4,8,,,,,,,,,,,,
