,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,3.102,3.3,0.099,33,,31.119,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.201,3.4,1.023,34,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.224,4.4,1.056,44,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,25,25,89.28571429,,
,4,5.28,3.4,0.693,34,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,28,3,10.71428571,,
,5,5.973,3.5,1.221,35,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,28,0,0,,
,6,7.194,3.4,1.848,34,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,28,0,0,,
,7,9.042,3.3,1.056,33,7.4575,,,,,,,,,,,,,6,20,24,28,0,0,,
,8,10.098,3.4,1.782,34,7.4575,,,目視時間の分布（秒）,,31.119,,,,,,,,7,24,28,28,0,0,,
,9,11.88,4.5,0.231,45,10.03856097,,,,1,2,3,4,5,6,7,8,,8,28,32,28,0,0,,
,10,12.111,4.4,1.914,44,7.4575,,,5,0,0,0,0,0,0,0,0,,9,32,36,28,0,0,,
,11,14.025,3.4,1.881,34,6.72,,,4,0,0,1.122,3.201,2.574,0,0,0,,10,36,40,28,0,0,,
,12,15.906,3.5,0.429,35,7.4575,,,3,0,0,2.178,17.853,2.541,0,0,0,,11,40,44,28,0,0,,
,13,16.335,4.5,2.343,45,6.72,,,2,0,0,0.198,0.33,1.122,0,0,0,,12,44,48,28,0,0,,
,14,18.678,4.4,0.231,44,7.4575,,,1,0,0,0,0,0,0,0,0,,13,48,52,28,0,0,,
,15,18.909,3.4,0.693,34,6.72,,,,,,,,,,,,,14,52,56,28,0,0,,
,16,19.602,4.3,1.122,43,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,28,0,0,,
,17,20.724,3.3,0.231,33,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,28,0,0,,
,18,20.955,2.3,0.198,23,6.72,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,64,68,28,0,0,,
,19,21.153,2.4,0.198,24,7.4575,,,4,0.0,0.0,3.6,10.3,8.3,0.0,0.0,0.0,,18,68,72,28,0,0,,
,20,21.351,2.5,0.957,25,7.4575,,,3,0.0,0.0,7.0,57.4,8.2,0.0,0.0,0.0,,19,72,76,28,0,0,,
,21,22.308,3.5,0.066,35,6.72,,,2,0.0,0.0,0.6,1.1,3.6,0.0,0.0,0.0,,20,76,80,28,0,0,,
,22,22.374,3.4,6.798,34,7.4575,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
