,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.112,3.4,2.475,34,,31.361,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,4.587,4.4,0.825,44,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,5.412,3.4,0.198,34,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,49,49,90.74074074,,
,4,5.61,4.5,0.594,45,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,53,4,7.407407407,,
,5,6.204,3.5,0.495,35,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,53,0,0,,
,6,6.699,3.4,0.957,34,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,54,1,1.851851852,,
,7,7.656,3.5,0.264,35,7.4575,,,,,,,,,,,,,6,20,24,54,0,0,,
,8,7.92,3.6,0.924,36,7.4575,,,目視時間の分布（秒）,,31.361,,,,,,,,7,24,28,54,0,0,,
,9,8.844,3.5,0.066,35,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,54,0,0,,
,10,8.91,3.4,0.198,34,7.4575,,,5,0,0.198,0.165,1.419,0.132,0.033,0,0,,9,32,36,54,0,0,,
,11,9.108,3.3,0.165,33,7.4575,,,4,0,0,1.485,6.171,2.409,0.165,0,0,,10,36,40,54,0,0,,
,12,9.273,4.3,0.693,43,6.72,,,3,0,0,0.561,11.429,2.343,2.277,0,0,,11,40,44,54,0,0,,
,13,9.966,4.4,0.99,44,7.4575,,,2,0,0,0.627,0,1.947,0,0,0,,12,44,48,54,0,0,,
,14,10.956,3.4,0.429,34,6.72,,,1,0,0,0,0,0,0,0,0,,13,48,52,54,0,0,,
,15,11.385,3.3,0.396,33,7.4575,,,,,,,,,,,,,14,52,56,54,0,0,,
,16,11.781,2.3,0.627,23,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,54,0,0,,
,17,12.408,3.4,1.254,34,10.03856097,,,,1,2,3,4,5,6,7,8,,16,60,64,54,0,0,,
,18,13.662,3.5,0.132,35,7.4575,,,5,0.0,0.6,0.5,4.5,0.4,0.1,0.0,0.0,,17,64,68,54,0,0,,
,19,13.794,2.5,1.188,25,6.72,,,4,0.0,0.0,4.7,19.7,7.7,0.5,0.0,0.0,,18,68,72,54,0,0,,
,20,14.982,3.5,0.594,35,6.72,,,3,0.0,0.0,1.8,36.4,7.5,7.3,0.0,0.0,,19,72,76,54,0,0,,
,21,15.576,2.5,0.759,25,6.72,,,2,0.0,0.0,2.0,0.0,6.2,0.0,0.0,0.0,,20,76,80,54,0,0,,
,22,16.335,3.5,0.099,35,6.72,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,16.434,4.5,1.122,45,6.72,,,,,,,,,,,,,,,,,,,,
,24,17.556,4.4,0.33,44,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,17.886,5.4,0.66,54,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,18.546,5.3,0.165,53,7.4575,,,5,16,11,12,8,14,15,16,16,,,,,,,,,
,27,18.711,5.2,0.198,52,7.4575,,,4,16,16,7,2,3,12,16,16,,,,,,,,,
,28,18.909,4.4,0.99,44,16.35896161,,,3,16,16,10,1,4,5,16,16,,,,,,,,,
,29,19.899,3.5,0.363,35,10.03856097,,,2,16,16,9,16,6,16,16,16,,,,,,,,,
,30,20.262,4.5,0.132,45,6.72,,,1,16,16,16,16,16,16,16,16,,,,,,,,,
,31,20.394,4.4,1.089,44,7.4575,,,,,,,,,,,,,,,,,,,,
,32,21.483,3.4,2.739,34,6.72,,,,,,,,,,,,,,,,,,,,
,33,24.222,3.5,0.099,35,7.4575,,,目視個所Ｔｏｐ　No.1,3.4,1,,5.1,16,,,,,,,,,,,,
,34,24.321,3.6,1.353,36,7.4575,,,目視個所Ｔｏｐ　No.2,4.4,2,,4.1,16,,,,,,,,,,,,
,35,25.674,3.5,0.033,35,7.4575,,,目視個所Ｔｏｐ　No.3,4.5,3,,3.1,16,,,,,,,,,,,,
,36,25.707,3.4,0.726,34,7.4575,,,目視個所Ｔｏｐ　No.4,3.5,4,,2.1,16,,,,,,,,,,,,
,37,26.433,4.4,0.198,44,6.72,,,目視個所Ｔｏｐ　No.5,3.6,5,,1.1,16,,,,,,,,,,,,
,38,26.631,4.3,0.792,43,7.4575,,,目視個所（累積ではない）,15,,,5.2,11,,,,,,,,,,,,
,39,27.423,4.4,0.594,44,7.4575,,,非目視個所,25,,,4.2,16,,,,,,,,,,,,
,40,28.017,4.5,0.231,45,7.4575,,,合計,40,,,3.2,16,,,,,,,,,,,,
,41,28.248,4.6,0.165,46,7.4575,,,,,,,2.2,16,,,,,,,,,,,,
,42,28.413,5.6,0.033,56,6.72,,,,,,,1.2,16,,,,,,,,,,,,
,43,28.446,5.5,0.132,55,7.4575,,,,,,,5.3,12,,,,,,,,,,,,
,44,28.578,5.4,0.33,54,7.4575,,,,,,,4.3,7,,,,,1,2,3,4,5,6,7,8
,45,28.908,4.4,0.495,44,6.72,,,,,,,3.3,10,,,,5,16,11,12,8,14,15,16,16
,46,29.403,3.4,0.198,34,6.72,,,,,,,2.3,9,,,,4,16,16,7,2,3,12,16,16
,47,29.601,4.5,0.165,45,10.03856097,,,,,,,1.3,16,,,,3,16,16,10,1,4,5,16,16
,48,29.766,4.4,0.132,44,7.4575,,,,,,,5.4,8,,,,2,16,16,9,16,6,16,16,16
,49,29.898,5.4,0.429,54,6.72,,,,,,,4.4,2,,,,1,16,16,16,16,16,16,16,16
,50,30.327,4.4,0.264,44,6.72,,,,,,,3.4,1,,,,,,,,,,,,
,51,30.591,3.4,1.155,34,6.72,,,,,,,2.4,16,,,,,,,,,,,,
,52,31.746,3.5,0.198,35,7.4575,,,,,,,1.4,16,,,,,,,,,,,,
,53,31.944,4.5,0.165,45,6.72,,,,,,,5.5,14,,,,,,,,,,,,
,54,32.109,4.4,0.264,44,7.4575,,,,,,,4.5,3,,,,,,,,,,,,
,55,32.373,3.4,1.1,34,6.72,,,,,,,3.5,4,,,,,,,,,,,,
,56,33.473,3.4,,34,,,,,,,,2.5,6,,,,,,,,,,,,
,観測時間［秒］,31.361,,,,,,,,,,,1.5,16,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,5.6,15,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,2.74,最大移動距離,16.36,,,,,,,4.6,12,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.54,平均移動距離,7.50,,,,,,,3.6,5,,,,,,,,,,,,
,,,,,距離標準偏差,1.48,,,,,,,2.6,16,,,,,,,,,,,,
,,,,,,,,,,,,,1.6,16,,,,,,,,,,,,
,原本再生時間,31.253,秒,,9.9のカウント数,0,,,,,,,5.7,16,,,,,,,,,,,,
,観察時間,31.361,秒,,9.9の秒数,0,,,,,,,4.7,16,,,,,,,,,,,,
,観察割合,1.003,,,0のカウント数,0,,,,,,,3.7,16,,,,,,,,,,,,
,,,,,0の秒数,0,,,,,,,2.7,16,,,,,,,,,,,,
,総ロスト時間［秒］,0.000,,原本再生に占める9.9の割合,,0.000,,,,,,,1.7,16,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.000,,観察時間に占める9.9の割合,,0.000,,,,,,,5.8,16,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.000,,原本再生に占める0の割合,,0.000,,,,,,,4.8,16,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.000,,,,,,,3.8,16,,,,,,,,,,,,
,,,,,,,,,,,,,2.8,16,,,,,,,,,,,,
,,,,チェックデジット,31.361,,,,,,,,1.8,16,,,,,,,,,,,,
,,,,OK,31.361,,,,,,,総計,40,,,,,,,,,,,,,
,,,,,31.361,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
