,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.178,9.9,2.541,,,18.744,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,4.719,3.6,0.198,36,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.917,3.5,0.33,35,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,9,9,37.5,,
,4,5.247,5.5,0.495,55,13.44,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,12,3,12.5,,
,5,5.742,3.5,0.231,35,13.44,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,17,5,20.83333333,,
,6,5.973,3.4,0.033,34,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,21,4,16.66666667,,
,7,6.006,3.5,0.165,35,7.4575,,,,,,,,,,,,,6,20,24,23,2,8.333333333,,
,8,6.171,3.6,0.561,36,7.4575,,,目視時間の分布（秒）,,15.642,,,,,,,,7,24,28,23,0,0,,
,9,6.732,3.5,1.023,35,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,23,0,0,,
,10,7.755,9.9,0.429,99,,,,5,0,0,0,0,0.495,0,0,0,,9,32,36,23,0,0,,
,11,8.184,2.6,0.165,26,,,,4,0,0,0,0,0,0,0,0,,10,36,40,24,1,4.166666667,,
,12,8.349,9.9,0.066,99,,,,3,0,0,0,3.3,1.749,0.924,0.396,0,,11,40,44,24,0,0,,
,13,8.415,2.6,0.198,26,,,,2,0,1.518,0,0,1.551,2.31,3.201,0,,12,44,48,24,0,0,,
,14,8.613,9.9,0.066,99,,,,1,0,0,0,0.198,0,0,0,0,,13,48,52,24,0,0,,
,15,8.679,2.5,0.924,25,,,,,,,,,,,,,,14,52,56,24,0,0,,
,16,9.603,2.7,0.627,27,14.915,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,24,0,0,,
,17,10.23,3.4,1.089,34,23.35994769,,,,1,2,3,4,5,6,7,8,,16,60,64,24,0,0,,
,18,11.319,2.6,0.957,26,16.35896161,,,5,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,,17,64,68,24,0,0,,
,19,12.276,2.7,0.66,27,7.4575,,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18,68,72,24,0,0,,
,20,12.936,2.6,0.99,26,7.4575,,,3,0.0,0.0,0.0,21.1,11.2,5.9,2.5,0.0,,19,72,76,24,0,0,,
,21,13.926,2.7,0.528,27,7.4575,,,2,0.0,9.7,0.0,0.0,9.9,14.8,20.5,0.0,,20,76,80,24,0,0,,
,22,14.454,3.7,0.396,37,6.72,,,1,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,14.85,3.4,0.759,34,22.3725,,,,,,,,,,,,,,,,,,,,
,24,15.609,3.6,0.165,36,14.915,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,15.774,2.7,0.825,27,10.03856097,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,16.599,2.2,0.396,22,37.2875,,,5,11,11,11,11,8,11,11,11,,,,,,,,,
,27,16.995,3.4,1.419,34,16.35896161,,,4,11,11,11,11,11,11,11,11,,,,,,,,,
,28,18.414,2.2,1.122,22,16.35896161,,,3,11,11,11,1,4,7,9,11,,,,,,,,,
,29,19.536,1.4,0.198,14,16.35896161,,,2,11,6,11,11,5,3,2,11,,,,,,,,,
,30,19.734,2.5,0.627,25,10.03856097,,,1,11,11,11,10,11,11,11,11,,,,,,,,,
,31,20.361,2.7,0.561,27,14.915,,,,,,,,,,,,,,,,,,,,
,32,20.922,3.6,0.264,36,10.03856097,,,,,,,,,,,,,,,,,,,,
,33,21.186,3.6,,,,,,目視個所Ｔｏｐ　No.1,3.4,1,,5.1,11,,,,,,,,,,,,
,観測時間［s］,18.744,,,,,,,目視個所Ｔｏｐ　No.2,2.7,2,,4.1,11,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,目視個所Ｔｏｐ　No.3,2.6,3,,3.1,11,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,1.42,最大移動距離,37.29,,,目視個所Ｔｏｐ　No.4,3.5,4,,2.1,11,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.37,平均移動距離,13.19,,,目視個所Ｔｏｐ　No.5,2.5,5,,1.1,11,,,,,,,,,,,,
,,,,,距離標準偏差,6.93,,,目視個所（累積ではない）,10,,,5.2,11,,,,,,,,,,,,
,,,,,,,,,非目視個所,30,,,4.2,11,,,,,,,,,,,,
,原本再生時間,18.815,秒,,9.9のカウント数,4,,,合計,40,,,3.2,11,,,,,,,,,,,,
