,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.046,9.9,0.792,,,18.942,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.838,3.5,0.594,35,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,3.432,2.6,0.132,26,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,7,7,31.81818182,,
,4,3.564,2.7,0.99,27,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,9,2,9.090909091,,
,5,4.554,5.5,0.627,55,25.07753626,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,11,2,9.090909091,,
,6,5.181,3.5,1.485,35,13.44,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,13,2,9.090909091,,
,7,6.666,2.8,0.462,28,23.35994769,,,,,,,,,,,,,6,20,24,16,3,13.63636364,,
,8,7.128,2.7,0.231,27,7.4575,,,目視時間の分布（秒）,,18.15,,,,,,,,7,24,28,18,2,9.090909091,,
,9,7.359,2.6,2.376,26,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,22,4,18.18181818,,
,10,9.735,5.3,0.726,53,30.1156829,,,5,0,0,0.726,0,0.627,0,0,0,,9,32,36,22,0,0,,
,11,10.461,2.6,1.617,26,30.1156829,,,4,0,0,0,0,0,0,0,0,,10,36,40,22,0,0,,
,12,12.078,2.7,0.759,27,7.4575,,,3,0,0,0,0.792,2.079,0,0,0,,11,40,44,22,0,0,,
,13,12.837,2.6,0.396,26,7.4575,,,2,0,0,0.627,0.231,0,5.082,6.765,0.462,,12,44,48,22,0,0,,
,14,13.233,3.4,0.396,34,16.35896161,,,1,0,0,0,0,0,0.132,0.627,0,,13,48,52,22,0,0,,
