,0.792,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.561,2.5,0.528,25,,18.81,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.089,2.4,0.066,24,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.155,3.4,0.066,34,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,56,56,78.87323944,,
,4,1.221,4.5,0.33,45,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,69,13,18.30985915,,
,5,1.551,3.5,0.165,35,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,70,1,1.408450704,,
,6,1.716,2.5,0.462,25,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,71,1,1.408450704,,
,7,2.178,2.4,0.099,24,7.4575,,,,,,,,,,,,,6,20,24,71,0,0,,
,8,2.277,2.3,0.231,23,7.4575,,,目視時間の分布（秒）,,18.81,,,,,,,,7,24,28,71,0,0,,
,9,2.508,2.2,0.264,22,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,71,0,0,,
,10,2.772,2.3,0.066,23,7.4575,,,5,0,0,0,0.231,0,0,0,0,,9,32,36,71,0,0,,
,11,2.838,2.4,0.033,24,7.4575,,,4,0,0,0.396,0.891,0.396,0,0,0,,10,36,40,71,0,0,,
,12,2.871,2.5,0.594,25,7.4575,,,3,0,0.231,0.132,1.155,0.627,0,0,0,,11,40,44,71,0,0,,
,13,3.465,2.6,0.429,26,7.4575,,,2,0,0.264,0.957,1.122,3.762,2.112,0,0,,12,44,48,71,0,0,,
,14,3.894,2.5,0.198,25,7.4575,,,1,0,0.066,0.957,0.264,0.198,4.026,1.023,0,,13,48,52,71,0,0,,
,15,4.092,3.5,0.033,35,6.72,,,,,,,,,,,,,14,52,56,71,0,0,,
,16,4.125,4.4,0.33,44,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,71,0,0,,
,17,4.455,5.4,0.231,54,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,71,0,0,,
,18,4.686,4.4,0.066,44,6.72,,,5,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,,17,64,68,71,0,0,,
,19,4.752,3.5,0.066,35,10.03856097,,,4,0.0,0.0,2.1,4.7,2.1,0.0,0.0,0.0,,18,68,72,71,0,0,,
,20,4.818,2.6,0.462,26,10.03856097,,,3,0.0,1.2,0.7,6.1,3.3,0.0,0.0,0.0,,19,72,76,71,0,0,,
,21,5.28,1.7,0.33,17,10.03856097,,,2,0.0,1.4,5.1,6.0,20.0,11.2,0.0,0.0,,20,76,80,71,0,0,,
,22,5.61,1.6,0.924,16,7.4575,,,1,0.0,0.4,5.1,1.4,1.1,21.4,5.4,0.0,,,,,,,100,,
,23,6.534,2.5,0.957,25,10.03856097,,,,,,,,,,,,,,,,,,,,
,24,7.491,2.6,0.495,26,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,7.986,2.5,0.429,25,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,8.415,2.6,0.264,26,7.4575,,,5,20,20,20,15,20,20,20,20,,,,,,,,,
,27,8.679,1.6,1.683,16,6.72,,,4,20,20,11,9,12,20,20,20,,,,,,,,,
,28,10.362,2.6,0.033,26,6.72,,,3,20,15,18,4,10,20,20,20,,,,,,,,,
