,,7.194,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.792,3.5,0.198,35,,18.744,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,0.99,2.5,0.726,25,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.716,3.5,0.396,35,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,31,31,79.48717949,,
,4,2.112,2.6,0.099,26,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,37,6,15.38461538,,
,5,2.211,9.9,0.924,99,,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,38,1,2.564102564,,
,6,3.135,2.5,0.528,25,,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,38,0,0,,
,7,3.663,9.9,0.495,99,,,,,,,,,,,,,,6,20,24,39,1,2.564102564,,
,8,4.158,2.5,0.264,25,,,,目視時間の分布（秒）,,11.55,,,,,,,,7,24,28,39,0,0,,
,9,4.422,3.5,0.099,35,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,39,0,0,,
,10,4.521,3.4,0.165,34,7.4575,,,5,0,0,0.462,0.099,0.033,0,0,0,,9,32,36,39,0,0,,
,11,4.686,4.4,0.198,44,6.72,,,4,0,0,0.165,0.561,0.132,0,0,0,,10,36,40,39,0,0,,
,12,4.884,4.5,0.132,45,7.4575,,,3,0,0.132,1.815,0.297,1.056,0.594,0,0,,11,40,44,39,0,0,,
,13,5.016,3.6,0.066,36,10.03856097,,,2,0,1.188,1.32,0.429,2.112,1.155,0,0,,12,44,48,39,0,0,,
