,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.376,3.5,0.561,35,,18.843,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.937,4.5,0.33,45,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,3.267,2.6,0.528,26,15.37035804,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,11,11,28.94736842,,
,4,3.795,2.3,0.264,23,22.3725,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,18,7,18.42105263,,
,5,4.059,2.8,0.693,28,37.2875,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,24,6,15.78947368,,
,6,4.752,3.7,0.363,37,10.03856097,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,25,1,2.631578947,,
,7,5.115,1.7,0.033,17,13.44,,,,,,,,,,,,,6,20,24,28,3,7.894736842,,
,8,5.148,2.6,0.396,26,10.03856097,,,目視時間の分布（秒）,,18.843,,,,,,,,7,24,28,28,0,0,,
,9,5.544,3.3,0.33,33,23.35994769,,,,1,2,3,4,5,6,7,8,,8,28,32,30,2,5.263157895,,
,10,5.874,2.2,0.396,22,10.03856097,,,5,0,0,3.135,0.726,0,0,0,0,,9,32,36,34,4,10.52631579,,
,11,6.27,2.6,1.254,26,29.83,,,4,0,0,0.33,0.132,0.33,0.264,0,0,,10,36,40,37,3,7.894736842,,
,12,7.524,1.6,0.726,16,6.72,,,3,0,0,0.33,0.528,1.848,0,1.254,0,,11,40,44,38,1,2.631578947,,
,13,8.25,3.5,0.957,35,15.37035804,,,2,0,0.396,0.957,0,0.594,2.607,3.036,1.122,,12,44,48,38,0,0,,
