,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.792,1.5,0.033,15,,18.876,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,0.825,2.5,0.66,25,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.485,4.5,0.363,45,13.44,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,27,27,69.23076923,,
,4,1.848,2.5,0.528,25,13.44,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,34,7,17.94871795,,
,5,2.376,2.6,0.066,26,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,39,5,12.82051282,,
,6,2.442,3.6,0.099,36,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,39,0,0,,
,7,2.541,4.5,0.495,45,10.03856097,,,,,,,,,,,,,6,20,24,39,0,0,,
,8,3.036,3.6,0.066,36,10.03856097,,,目視時間の分布（秒）,,18.876,,,,,,,,7,24,28,39,0,0,,
,9,3.102,2.7,0.099,27,10.03856097,,,,1,2,3,4,5,6,7,8,,8,28,32,39,0,0,,
,10,3.201,1.7,0.396,17,6.72,,,5,0,0,0,0,0,0,0,0,,9,32,36,39,0,0,,
,11,3.597,1.6,0.066,16,7.4575,,,4,0,0,0.462,1.056,0.858,0,0,0,,10,36,40,39,0,0,,
,12,3.663,2.6,0.066,26,6.72,,,3,0,0,0,0.858,0.066,0.165,0,0,,11,40,44,39,0,0,,
,13,3.729,2.5,5.643,25,7.4575,,,2,0,0,0.396,5.28,7.623,0.33,0.165,0,,12,44,48,39,0,0,,
,14,9.372,2.7,0.066,27,14.915,,,1,0,0,0,0.066,0.132,0.429,0.99,0,,13,48,52,39,0,0,,
,15,9.438,1.6,0.297,16,10.03856097,,,,,,,,,,,,,14,52,56,39,0,0,,
,16,9.735,3.5,0.066,35,15.37035804,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,39,0,0,,
,17,9.801,3.4,0.099,34,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,39,0,0,,
,18,9.9,4.3,0.462,43,10.03856097,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,64,68,39,0,0,,
,19,10.362,3.4,0.066,34,10.03856097,,,4,0.0,0.0,2.4,5.6,4.5,0.0,0.0,0.0,,18,68,72,39,0,0,,
,20,10.428,2.4,2.178,24,6.72,,,3,0.0,0.0,0.0,4.5,0.3,0.9,0.0,0.0,,19,72,76,39,0,0,,
,21,12.606,2.5,0.066,25,7.4575,,,2,0.0,0.0,2.1,28.0,40.4,1.7,0.9,0.0,,20,76,80,39,0,0,,
,22,12.672,2.6,0.066,26,7.4575,,,1,0.0,0.0,0.0,0.3,0.7,2.3,5.2,0.0,,,,,,,100,,
,23,12.738,1.6,0.066,16,6.72,,,,,,,,,,,,,,,,,,,,
,24,12.804,1.7,0.594,17,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,13.398,2.6,0.132,26,10.03856097,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,13.53,2.5,0.099,25,7.4575,,,5,16,16,16,16,16,16,16,16,,,,,,,,,
,27,13.629,2.4,0.396,24,7.4575,,,4,16,16,7,3,6,16,16,16,,,,,,,,,
,28,14.025,4.4,0.594,44,13.44,,,3,16,16,16,5,15,12,16,16,,,,,,,,,
