,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.982,3.5,0.229,35,,18.841,,格子番号の位置,,,,,,,,,,,以上,未満,累積,頻度,%,,
,2,2.211,4.5,0.594,45,6.72,,,,1,2,3,4,5,6,7,8,,1,0,4,0,0,0,,
,3,2.805,3.5,0.429,35,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,2,4,8,8,8,38.0952381,,
,4,3.234,4.5,1.188,45,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,3,8,12,14,6,28.57142857,,
,5,4.422,2.4,0.594,24,15.37035804,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,4,12,16,18,4,19.04761905,,
,6,5.016,1.5,0.396,15,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,5,16,20,18,0,0,,
,7,5.412,2.5,0.462,25,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,6,20,24,21,3,14.28571429,,
,8,5.874,1.4,0.693,14,10.03856097,,,,,,,,,,,,,7,24,28,21,0,0,,
,9,6.567,1.6,0.297,16,14.915,,,目視時間の分布（秒）,,18.247,,,,,,,,8,28,32,21,0,0,,
,10,6.864,2.5,0.363,25,10.03856097,,,,1,2,3,4,5,6,7,8,,9,32,36,21,0,0,,
,11,7.227,1.6,0.066,16,10.03856097,,,5,0,0,0.099,0,0,0,0,0,,10,36,40,21,0,0,,
,12,7.293,2.6,0.792,26,6.72,,,4,0,0,0,0.792,1.782,0,0,0,,11,40,44,21,0,0,,
,13,8.085,1.6,3.828,16,6.72,,,3,0,0,0,0,0.658,0,0,0,,12,44,48,21,0,0,,
,14,11.913,9.9,0.231,99,,,,2,0,0,1.089,2.277,1.551,2.244,0,0,,13,48,52,21,0,0,,
,15,12.144,5.3,0.099,53,,,,1,0,0,0,0.693,1.056,4.191,1.815,0,,14,52,56,21,0,0,,
,16,12.243,2.3,1.089,23,20.16,,,,,,,,,,,,,15,56,60,21,0,0,,
,17,13.332,9.9,0.363,99,,,,目視時間の分布（%）,,100,,,,,,,,16,60,64,21,0,0,,
,18,13.695,1.7,1.32,17,,,,,1,2,3,4,5,6,7,8,,17,64,68,21,0,0,,
,19,15.015,1.5,0.66,15,14.915,,,5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,18,68,72,21,0,0,,
,20,15.675,2.6,0.297,26,10.03856097,,,4,0.0,0.0,0.0,4.3,9.8,0.0,0.0,0.0,,19,72,76,21,0,0,,
,21,15.972,2.5,0.33,25,7.4575,,,3,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,,20,76,80,21,0,0,,
,22,16.302,2.4,1.683,24,7.4575,,,2,0.0,0.0,6.0,12.5,8.5,12.3,0.0,0.0,,,,,,,100,,
,23,17.985,1.7,0.495,17,23.35994769,,,1,0.0,0.0,0.0,3.8,5.8,23.0,9.9,0.0,,,,,,,,,
,24,18.48,2.6,1.155,26,10.03856097,,,,,,,,,,,,,,,,,,,,
,25,19.635,4.4,0.792,44,20.07712193,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,26,20.427,2.5,0.396,25,15.37035804,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,27,20.823,2.5,,,,,,5,13,13,12,13,13,13,13,13,,,,,,,,,
,観測時間［s］,18.841,,,,,,,4,13,13,13,9,5,13,13,13,,,,,,,,,
,,,,,最少移動距離,6.72,,,3,13,13,13,13,11,13,13,13,,,,,,,,,
,任意個所の最大目視時間［s］,,,3.83,最大移動距離,23.36,,,2,13,13,7,2,6,3,13,13,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.73,平均移動距離,11.41,,,1,13,13,13,10,8,1,4,13,,,,,,,,,
,,,,,距離標準偏差,5.00,,,,,,,,,,,,,,,,,,,,
