,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.627,9.9,10.065,,,18.909,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,10.692,3.4,0.924,34,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,11.616,9.9,2.871,99,,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,2,2,40,,
,4,14.487,3.4,0.825,34,,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,3,1,20,,
,5,15.312,1.2,0.099,12,20.07712193,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,3,0,0,,
,6,15.411,0,0.726,0,,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,4,1,20,,
,7,16.137,2.1,0.594,21,,,,,,,,,,,,,,6,20,24,5,1,20,,
,8,16.731,9.9,1.287,99,,,,目視時間の分布（秒）,,3.96,,,,,,,,7,24,28,5,0,0,,
,9,18.018,3.3,0.396,33,,,,,1,2,3,4,5,6,7,8,,8,28,32,5,0,0,,
,10,18.414,2.3,0.231,23,6.72,,,5,0,0,0,0,0,0,0,0,,9,32,36,5,0,0,,
,11,18.645,3.4,0.495,34,10.03856097,,,4,0,0,0,0,0,0,0,0,,10,36,40,5,0,0,,
,12,19.14,2.2,0.231,22,16.35896161,,,3,0,0,0.396,2.244,0,0,0,0,,11,40,44,5,0,0,,
,13,19.371,2.3,0.165,23,7.4575,,,2,0.594,0.231,0.396,0,0,0,0,0,,12,44,48,5,0,0,,
,14,19.536,2.3,,,,,,1,0,0.099,0,0,0,0,0,0,,13,48,52,5,0,0,,
,観測時間［秒］,18.909,,,,,,,,,,,,,,,,,14,52,56,5,0,0,,
,,,,,最少移動距離,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,5,0,0,,
