,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.551,4.5,0.099,45,,18.579,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.65,5.5,0.528,55,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.178,4.5,0.198,45,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,26,26,66.66666667,,
,4,2.376,2.5,2.871,25,13.44,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,36,10,25.64102564,,
,5,5.247,2.6,0.231,26,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,38,2,5.128205128,,
,6,5.478,2.7,0.693,27,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,39,1,2.564102564,,
,7,6.171,1.7,0.561,17,6.72,,,,,,,,,,,,,6,20,24,39,0,0,,
,8,6.732,2.6,1.188,26,10.03856097,,,目視時間の分布（秒）,,18.579,,,,,,,,7,24,28,39,0,0,,
,9,7.92,2.5,0.33,25,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,39,0,0,,
,10,8.25,3.4,0.231,34,10.03856097,,,5,0,0,0,0,0.528,0,0,0,,9,32,36,39,0,0,,
,11,8.481,4.3,0.099,43,10.03856097,,,4,0,0.924,0.393,0.069,0.297,0,0,0,,10,36,40,39,0,0,,
,12,8.58,4.2,0.066,42,7.4575,,,3,0,0.429,0.561,0.231,0.363,0,0,0,,11,40,44,39,0,0,,
,13,8.646,3.2,0.297,32,6.72,,,2,0.231,0.396,0.165,1.254,3.366,4.785,3.399,0,,12,44,48,39,0,0,,
,14,8.943,4.2,0.858,42,6.72,,,1,0,0,0,0,0,0,1.188,0,,13,48,52,39,0,0,,
