,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,,,,,,,,,,,刻み,4,ｃｍ,,,,,
動画開始時刻,1,0.924,1.5,0.693,15,,18.909,,格子番号の位置,,,,,,,,,,,以上,未満,累積,頻度,%,,
,2,1.617,3.5,0.132,35,13.44,,,,1,2,3,4,5,6,7,8,,1,0,4,0,0,0,,
,3,1.749,4.5,0.825,45,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,2,4,8,41,41,78.84615385,,
,4,2.574,3.6,0.033,36,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,3,8,12,49,8,15.38461538,,
,5,2.607,2.6,1.287,26,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,4,12,16,51,2,3.846153846,,
,6,3.894,2.5,1.683,25,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,5,16,20,52,1,1.923076923,,
,7,5.577,2.6,0.198,26,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,6,20,24,52,0,0,,
,8,5.775,1.6,0.33,16,6.72,,,,,,,,,,,,,7,24,28,52,0,0,,
,9,6.105,1.7,0.396,17,7.4575,,,目視時間の分布（秒）,,18.909,,,,,,,,8,28,32,52,0,0,,
,10,6.501,2.6,0.132,26,10.03856097,,,,1,2,3,4,5,6,7,8,,9,32,36,52,0,0,,
,11,6.633,2.5,0.264,25,7.4575,,,5,0,0,0.792,0,0,0,0,0,,10,36,40,52,0,0,,
,12,6.897,3.5,0.297,35,6.72,,,4,0,0,0,0.297,0.825,0,0,0,,11,40,44,52,0,0,,
,13,7.194,4.4,0.231,44,10.03856097,,,3,0,0,0.627,0.396,0.462,0.528,0,0,,12,44,48,52,0,0,,
,14,7.425,5.3,0.792,53,10.03856097,,,2,0,0,0.759,1.716,4.983,3.564,0.726,0,,13,48,52,52,0,0,,
,15,8.217,4.4,0.066,44,10.03856097,,,1,0,0,0,0,0.693,1.089,1.386,0.066,,14,52,56,52,0,0,,
,16,8.283,3.5,0.033,35,10.03856097,,,,,,,,,,,,,15,56,60,52,0,0,,
,17,8.316,2.5,0.33,25,6.72,,,目視時間の分布（%）,,100,,,,,,,,16,60,64,52,0,0,,
,18,8.646,2.6,1.221,26,7.4575,,,,1,2,3,4,5,6,7,8,,17,64,68,52,0,0,,
,19,9.867,2.5,0.429,25,7.4575,,,5,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,,18,68,72,52,0,0,,
,20,10.296,2.4,0.495,24,7.4575,,,4,0.0,0.0,0.0,1.6,4.4,0.0,0.0,0.0,,19,72,76,52,0,0,,
,21,10.791,3.4,0.198,34,6.72,,,3,0.0,0.0,3.3,2.1,2.4,2.8,0.0,0.0,,20,76,80,52,0,0,,
,22,10.989,3.3,0.33,33,7.4575,,,2,0.0,0.0,4.0,9.1,26.4,18.8,3.8,0.0,,,,,,,100,,
,23,11.319,2.3,0.429,23,6.72,,,1,0.0,0.0,0.0,0.0,3.7,5.8,7.3,0.3,,,,,,,,,
,24,11.748,3.3,0.198,33,6.72,,,,,,,,,,,,,,,,,,,,
,25,11.946,2.5,0.198,25,16.35896161,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,26,12.144,2.6,0.066,26,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,27,12.21,1.6,0.264,16,6.72,,,5,17,17,7,17,17,17,17,17,,,,,,,,,
,28,12.474,1.7,0.231,17,7.4575,,,4,17,17,17,15,6,17,17,17,,,,,,,,,
,29,12.705,2.7,0.528,27,6.72,,,3,17,17,11,14,13,12,17,17,,,,,,,,,
,30,13.233,2.6,0.132,26,7.4575,,,2,17,17,8,3,1,2,9,17,,,,,,,,,
,31,13.365,3.6,0.495,36,6.72,,,1,17,17,17,17,10,5,4,16,,,,,,,,,
