,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.551,3.5,1.584,35,,18.81,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.135,3.6,0.099,36,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,3.234,2.6,0.594,26,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,46,46,79.31034483,,
,4,3.828,2.5,0.066,25,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,53,7,12.06896552,,
,5,3.894,3.5,0.264,35,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,55,2,3.448275862,,
,6,4.158,2.6,0.165,26,10.03856097,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,56,1,1.724137931,,
,7,4.323,2.7,0.495,27,7.4575,,,,,,,,,,,,,6,20,24,58,2,3.448275862,,
,8,4.818,2.6,0.33,26,7.4575,,,目視時間の分布（秒）,,18.81,,,,,,,,7,24,28,58,0,0,,
,9,5.148,2.5,0.066,25,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,58,0,0,,
,10,5.214,2.4,0.396,24,7.4575,,,5,0,0,0,0,0,0,0,0,,9,32,36,58,0,0,,
,11,5.61,2.3,0.825,23,7.4575,,,4,0,0,0.231,0.726,0.033,0.132,0,0,,10,36,40,58,0,0,,
,12,6.435,2.4,0.066,24,7.4575,,,3,0,0,0,0.594,1.914,0.165,0,0,,11,40,44,58,0,0,,
,13,6.501,2.5,0.066,25,7.4575,,,2,0,0.957,0.99,1.023,1.353,4.719,1.485,0,,12,44,48,58,0,0,,
,14,6.567,2.6,0.627,26,7.4575,,,1,0,0,0,0,0,1.452,3.036,0,,13,48,52,58,0,0,,
