,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.409,5.7,0.264,57,,18.81,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.673,4.6,0.858,46,10.03856097,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,3.531,2.7,0.594,27,15.37035804,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,4,4,18.18181818,,
,4,4.125,2.5,1.584,25,14.915,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,7,3,13.63636364,,
,5,5.709,3.7,0.297,37,16.35896161,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,13,6,27.27272727,,
,6,6.006,3.5,1.089,35,14.915,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,15,2,9.090909091,,
,7,7.095,3.7,0.66,37,14.915,,,,,,,,,,,,,6,20,24,18,3,13.63636364,,
,8,7.755,2.7,0.957,27,6.72,,,目視時間の分布（秒）,,18.81,,,,,,,,7,24,28,19,1,4.545454545,,
,9,8.712,3.5,0.792,35,16.35896161,,,,1,2,3,4,5,6,7,8,,8,28,32,21,2,9.090909091,,
,10,9.504,3.4,3.465,34,7.4575,,,5,0,0,0.264,0.33,0,0,0.264,0,,9,32,36,21,0,0,,
,11,12.969,5.3,0.264,53,15.37035804,,,4,0,0,0,0.627,0,1.386,0,0,,10,36,40,22,1,4.545454545,,
,12,13.233,5.4,0.33,54,7.4575,,,3,0,0,1.023,4.917,1.881,0.957,1.815,0,,11,40,44,22,0,0,,
,13,13.563,3.4,1.452,34,13.44,,,2,0,0.891,0,0,1.584,0,2.871,0,,12,44,48,22,0,0,,
,14,15.015,3.7,0.858,37,22.3725,,,1,0,0,0,0,0,0,0,0,,13,48,52,22,0,0,,
