,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.32,2.5,0.264,25,,18.942,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.584,5.5,0.462,55,20.16,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.046,4.5,0.099,45,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,42,42,72.4137931,,
,4,2.145,3.5,0.198,35,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,53,11,18.96551724,,
,5,2.343,4.5,0.198,45,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,55,2,3.448275862,,
,6,2.541,3.5,0.099,35,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,56,1,1.724137931,,
,7,2.64,2.6,0.429,26,10.03856097,,,,,,,,,,,,,6,20,24,57,1,1.724137931,,
,8,3.069,2.5,0.165,25,7.4575,,,目視時間の分布（秒）,,18.942,,,,,,,,7,24,28,57,0,0,,
,9,3.234,1.6,0.132,16,10.03856097,,,,1,2,3,4,5,6,7,8,,8,28,32,57,0,0,,
,10,3.366,1.7,0.891,17,7.4575,,,5,0,0,0,1.386,0.462,0,0,0,,9,32,36,57,0,0,,
,11,4.257,2.6,0.33,26,10.03856097,,,4,0,0,0.099,0.264,0.297,0,0,0,,10,36,40,57,0,0,,
,12,4.587,2.5,0.561,25,7.4575,,,3,0,0,0.231,1.221,0.924,0,0,0,,11,40,44,57,0,0,,
,13,5.148,3.5,0.462,35,6.72,,,2,0,0.132,0.561,1.749,2.31,3.432,0.693,0,,12,44,48,58,1,1.724137931,,
,14,5.61,4.4,0.264,44,10.03856097,,,1,0.066,0.264,0,0.561,0.297,2.013,1.98,0,,13,48,52,58,0,0,,
