エラー,18.051,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.079,9.9,0.33,,,18.942,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.409,3.4,0.099,34,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.508,2.4,0.099,24,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,1,1,50,,
,4,2.607,3.5,0.363,35,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,2,1,50,,
,5,2.97,9.9,2.673,99,,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,2,0,0,,
,6,5.643,3.5,0.33,35,,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,2,0,0,,
,7,5.973,9.9,15.048,99,,,,,,,,,,,,,,6,20,24,2,0,0,,
,8,21.021,9.9,,,,,,目視時間の分布（秒）,,0.891,,,,,,,,7,24,28,2,0,0,,
,観測時間［秒］,18.942,,,,,,,,1,2,3,4,5,6,7,8,,8,28,32,2,0,0,,
,,,,,最少移動距離,6.72,,,5,0,0,0,0,0,0,0,0,,9,32,36,2,0,0,,
,任意個所の最大目視時間［s］,,,15.05,最大移動距離,10.04,,,4,0,0,0,0,0,0,0,0,,10,36,40,2,0,0,,
,任意個所の目視時間の標準偏差,,,5.11,平均移動距離,8.38,,,3,0,0,0,0.099,0.693,0,0,0,,11,40,44,2,0,0,,
,,,,,距離標準偏差,1.66,,,2,0,0,0,0.099,0,0,0,0,,12,44,48,2,0,0,,
,,,,,,,,,1,0,0,0,0,0,0,0,0,,13,48,52,2,0,0,,
,原本再生時間,18.815,秒,,9.9のカウント数,3,,,,,,,,,,,,,14,52,56,2,0,0,,
,観察時間,18.942,秒,,9.9の秒数,18.051,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,2,0,0,,
,観察割合,1.007,,,0のカウント数,0,,,,1,2,3,4,5,6,7,8,,16,60,64,2,0,0,,
,,,,,0の秒数,0,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,64,68,2,0,0,,
,総ロスト時間［秒］,18.051,,原本再生に占める9.9の割合,,0.959,,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18,68,72,2,0,0,,
,原本再生に占めるロスト割合,0.959,,観察時間に占める9.9の割合,,0.953,,,3,0.0,0.0,0.0,11.1,77.8,0.0,0.0,0.0,,19,72,76,2,0,0,,
,観察時間に占めるロスト割合,0.953,,原本再生に占める0の割合,,0.000,,,2,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,,20,76,80,2,0,0,,
,,,,観察時間に占める0の割合,,0.000,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,チェックデジット,0.891000,,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,,,,NG,0.891000,,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,,,,,0.891000,,,,5,4,4,4,4,4,4,4,4,,,,,,,,,
,,,,,,,,,4,4,4,4,4,4,4,4,4,,,,,,,,,
,,,,,,,,,3,4,4,4,2,1,4,4,4,,,,,,,,,
,,,,,,,,,2,4,4,4,2,4,4,4,4,,,,,,,,,
,,,,,,,,,1,4,4,4,4,4,4,4,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,目視個所Ｔｏｐ　No.1,3.5,1,,5.1,4,,,,,,,,,,,,
,,,,,,,,,目視個所Ｔｏｐ　No.2,3.4,2,,4.1,4,,,,,,,,,,,,
,,,,,,,,,目視個所Ｔｏｐ　No.3,#N/A,3,,3.1,4,,,,,,,,,,,,
,,,,,,,,,目視個所Ｔｏｐ　No.4,5.1,4,,2.1,4,,,,,,,,,,,,
,,,,,,,,,目視個所Ｔｏｐ　No.5,#N/A,5,,1.1,4,,,,,,,,,,,,
,,,,,,,,,目視個所（累積ではない）,3,,,5.2,4,,,,,,,,,,,,
,,,,,,,,,非目視個所,37,,,4.2,4,,,,,,,,,,,,
,,,,,,,,,合計,40,,,3.2,4,,,,,,,,,,,,
,,,,,,,,,,,,,2.2,4,,,,,,,,,,,,
,,,,,,,,,,,,,1.2,4,,,,,,,,,,,,
,,,,,,,,,,,,,5.3,4,,,,,,,,,,,,
,,,,,,,,,,,,,4.3,4,,,,,1,2,3,4,5,6,7,8
,,,,,,,,,,,,,3.3,4,,,,5,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,2.3,4,,,,4,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,1.3,4,,,,3,4,4,4,2,1,4,4,4
,,,,,,,,,,,,,5.4,4,,,,2,4,4,4,2,4,4,4,4
,,,,,,,,,,,,,4.4,4,,,,1,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,3.4,2,,,,,,,,,,,,
