,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.518,9.9,0.165,,,54.038,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.683,4.5,0.231,45,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.914,3.5,0.297,35,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,39,39,39,,
,4,2.211,3.4,1.089,34,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,57,18,18,,
,5,3.3,2.3,0.825,23,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,65,8,8,,
,6,4.125,1.3,0.561,13,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,68,3,3,,
,7,4.686,2.3,0.594,23,6.72,,,,,,,,,,,,,6,20,24,82,14,14,,
,8,5.28,5.5,0.825,55,25.07753626,,,目視時間の分布（秒）,,53.081,,,,,,,,7,24,28,92,10,10,,
,9,6.105,3.3,1.419,33,20.07712193,,,,1,2,3,4,5,6,7,8,,8,28,32,97,5,5,,
,10,7.524,3.4,0.165,34,7.4575,,,5,0,0,0,0.165,8.63,0.495,0,0,,9,32,36,99,2,2,,
,11,7.689,2.4,0.297,24,6.72,,,4,0,0,0,1.245,0.495,1.815,0.099,0,,10,36,40,99,0,0,,
,12,7.986,5.5,0.495,55,21.49511354,,,3,0,0,11.253,5.454,1.353,2.112,0,0,,11,40,44,99,0,0,,
,13,8.481,2.3,0.495,23,25.07753626,,,2,0,0,9.966,2.937,0.693,0.594,0.561,0,,12,44,48,100,1,1,,
,14,8.976,2.5,0.429,25,14.915,,,1,0,2.013,1.848,0.198,0.495,0.198,0.198,0.264,,13,48,52,100,0,0,,
,15,9.405,2.3,0.33,23,14.915,,,,,,,,,,,,,14,52,56,100,0,0,,
,16,9.735,2.4,0.495,24,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,100,0,0,,
,17,10.23,3.4,0.132,34,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,100,0,0,,
,18,10.362,3.5,0.264,35,7.4575,,,5,0.0,0.0,0.0,0.3,16.3,0.9,0.0,0.0,,17,64,68,100,0,0,,
,19,10.626,1.2,0.495,12,26.09908727,,,4,0.0,0.0,0.0,2.3,0.9,3.4,0.2,0.0,,18,68,72,100,0,0,,
,20,11.121,1.3,0.594,13,7.4575,,,3,0.0,0.0,21.2,10.3,2.5,4.0,0.0,0.0,,19,72,76,100,0,0,,
,21,11.715,5.5,0.495,55,30.74071608,,,2,0.0,0.0,18.8,5.5,1.3,1.1,1.1,0.0,,20,76,80,100,0,0,,
,22,12.21,1.3,0.231,13,30.74071608,,,1,0.0,3.8,3.5,0.4,0.9,0.4,0.4,0.5,,,,,,,100,,
,23,12.441,1.2,0.462,12,7.4575,,,,,,,,,,,,,,,,,,,,
,24,12.903,4.5,0.165,45,30.1156829,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,13.068,5.5,1.485,55,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,14.553,2.6,0.099,26,21.49511354,,,5,24,24,24,22,3,15,24,24,,,,,,,,,
,27,14.652,3.6,0.594,36,6.72,,,4,24,24,24,11,17,9,23,24,,,,,,,,,
,28,15.246,1.5,0.495,15,15.37035804,,,3,24,24,1,4,10,6,24,24,,,,,,,,,
,29,15.741,2.4,0.33,24,10.03856097,,,2,24,24,2,5,12,13,14,24,,,,,,,,,
,30,16.071,3.4,0.462,34,6.72,,,1,24,7,8,21,16,19,19,18,,,,,,,,,
,31,16.533,2.3,1.452,23,10.03856097,,,,,,,,,,,,,,,,,,,,
,32,17.985,3.4,0.924,34,10.03856097,,,,,,,,,,,,,,,,,,,,
,33,18.909,1.6,0.198,16,20.07712193,,,目視個所Ｔｏｐ　No.1,3.3,1,,5.1,24,,,,,,,,,,,,
,34,19.107,4.6,0.33,46,20.16,,,目視個所Ｔｏｐ　No.2,2.3,2,,4.1,24,,,,,,,,,,,,
,35,19.437,5.5,0.759,55,10.03856097,,,目視個所Ｔｏｐ　No.3,5.5,3,,3.1,24,,,,,,,,,,,,
,36,20.196,3.3,0.429,33,20.07712193,,,目視個所Ｔｏｐ　No.4,3.4,4,,2.1,24,,,,,,,,,,,,
,37,20.625,3.4,0.231,34,7.4575,,,目視個所Ｔｏｐ　No.5,2.4,5,,1.1,24,,,,,,,,,,,,
,38,20.856,2.3,1.188,23,10.03856097,,,目視個所（累積ではない）,23,,,5.2,24,,,,,,,,,,,,
,39,22.044,3.3,0.825,33,6.72,,,非目視個所,17,,,4.2,24,,,,,,,,,,,,
,40,22.869,2.3,0.132,23,6.72,,,合計,40,,,3.2,24,,,,,,,,,,,,
,41,23.001,2.4,0.363,24,7.4575,,,,,,,2.2,24,,,,,,,,,,,,
,42,23.364,2.6,0.495,26,14.915,,,,,,,1.2,7,,,,,,,,,,,,
,43,23.859,2.7,0.561,27,7.4575,,,,,,,5.3,24,,,,,,,,,,,,
,44,24.42,2.5,0.264,25,14.915,,,,,,,4.3,24,,,,,1,2,3,4,5,6,7,8
,45,24.684,5.5,0.528,55,20.16,,,,,,,3.3,1,,,,5,24,24,24,22,3,15,24,24
,46,25.212,1.3,0.462,13,30.74071608,,,,,,,2.3,2,,,,4,24,24,24,11,17,9,23,24
