,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,3.465,9.9,0.858,,,54.813,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,4.323,3.4,0.66,34,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.983,2.4,0.165,24,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,24,24,39.3442623,,
,4,5.148,1.3,0.33,13,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,35,11,18.03278689,,
,5,5.478,2.3,2.277,23,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,42,7,11.47540984,,
,6,7.755,3.3,0.363,33,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,47,5,8.196721311,,
,7,8.118,2.4,0.957,24,10.03856097,,,,,,,,,,,,,6,20,24,56,9,14.75409836,,
,8,9.075,2.7,0.561,27,22.3725,,,目視時間の分布（秒）,,52.602,,,,,,,,7,24,28,57,1,1.639344262,,
,9,9.636,5.7,0.165,57,20.16,,,,1,2,3,4,5,6,7,8,,8,28,32,61,4,6.557377049,,
,10,9.801,5.6,0.363,56,7.4575,,,5,0,0,0,0,1.353,1.386,0.165,0,,9,32,36,61,0,0,,
,11,10.164,2.3,0.264,23,30.1156829,,,4,0,0,0,0.099,0.759,0,0,0,,10,36,40,61,0,0,,
,12,10.428,1.3,2.145,13,6.72,,,3,0,0,6.138,3.102,1.617,0.429,0,0,,11,40,44,61,0,0,,
,13,12.573,1.6,0.231,16,22.3725,,,2,0,0.66,15.972,11.154,0.594,0.99,1.518,0,,12,44,48,61,0,0,,
,14,12.804,2.4,1.089,24,16.35896161,,,1,0,0.66,4.554,0,0.165,0.759,0.528,0,,13,48,52,61,0,0,,
,15,13.893,2.3,0.462,23,7.4575,,,,,,,,,,,,,14,52,56,61,0,0,,
,16,14.355,1.3,1.485,13,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,61,0,0,,
,17,15.84,1.6,0.528,16,22.3725,,,,1,2,3,4,5,6,7,8,,16,60,64,61,0,0,,
,18,16.368,1.2,0.66,12,29.83,,,5,0.0,0.0,0.0,0.0,2.6,2.6,0.3,0.0,,17,64,68,61,0,0,,
,19,17.028,2.2,0.66,22,6.72,,,4,0.0,0.0,0.0,0.2,1.4,0.0,0.0,0.0,,18,68,72,61,0,0,,
,20,17.688,3.4,0.726,34,16.35896161,,,3,0.0,0.0,11.7,5.9,3.1,0.8,0.0,0.0,,19,72,76,61,0,0,,
,21,18.414,2.3,1.881,23,10.03856097,,,2,0.0,1.3,30.4,21.2,1.1,1.9,2.9,0.0,,20,76,80,61,0,0,,
,22,20.295,3.3,1.485,33,6.72,,,1,0.0,1.3,8.7,0.0,0.3,1.4,1.0,0.0,,,,,,,100,,
,23,21.78,3.4,0.627,34,7.4575,,,,,,,,,,,,,,,,,,,,
