,,18.216,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.792,9.9,0.231,99,,56.766,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.023,4.4,0.759,44,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.782,3.3,0.264,33,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,48,48,73.84615385,,
,4,2.046,2.3,0.396,23,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,56,8,12.30769231,,
,5,2.442,2.2,1.056,22,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,58,2,3.076923077,,
,6,3.498,9.9,1.914,99,,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,61,3,4.615384615,,
,7,5.412,2.2,0.132,22,,,,,,,,,,,,,,6,20,24,64,3,4.615384615,,
,8,5.544,5.3,0.099,53,21.49511354,,,目視時間の分布（秒）,,35.811,,,,,,,,7,24,28,65,1,1.538461538,,
,9,5.643,5.4,0.066,54,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,65,0,0,,
,10,5.709,0,0.495,0,,,,5,0,0,0.198,0.792,1.683,0.066,0,0,,9,32,36,65,0,0,,
,11,6.204,5.5,0.099,55,,,,4,0.099,0.099,0.594,1.188,0.891,0.198,0,0,,10,36,40,65,0,0,,
,12,6.303,4.5,0.066,45,6.72,,,3,0.099,8.58,2.046,0.825,0.429,0.495,0,0,,11,40,44,65,0,0,,
,13,6.369,3.5,0.066,35,6.72,,,2,1.32,14.592,1.287,0,0.33,0,0,0,,12,44,48,65,0,0,,
,14,6.435,2.5,0.33,25,6.72,,,1,0,0,0,0,0,0,0,0,,13,48,52,65,0,0,,
,15,6.765,2.3,0.363,23,14.915,,,,,,,,,,,,,14,52,56,65,0,0,,
,16,7.128,2.2,0.561,22,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,65,0,0,,
,17,7.689,3.2,0.99,32,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,65,0,0,,
,18,8.679,2.2,0.396,22,6.72,,,5,0.0,0.0,0.6,2.2,4.7,0.2,0.0,0.0,,17,64,68,65,0,0,,
,19,9.075,9.9,0.495,99,,,,4,0.3,0.3,1.7,3.3,2.5,0.6,0.0,0.0,,18,68,72,65,0,0,,
,20,9.57,3.2,0.033,32,,,,3,0.3,24.0,5.7,2.3,1.2,1.4,0.0,0.0,,19,72,76,65,0,0,,
,21,9.603,3.3,0.066,33,7.4575,,,2,3.7,40.7,3.6,0.0,0.9,0.0,0.0,0.0,,20,76,80,65,0,0,,
,22,9.669,4.3,0.198,43,6.72,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,9.867,4.4,0.033,44,7.4575,,,,,,,,,,,,,,,,,,,,
,24,9.9,5.4,0.198,54,6.72,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,10.098,0,0.462,0,,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,10.56,4.6,0.033,46,,,,5,21,21,15,10,4,20,21,21,,,,,,,,,
,27,10.593,9.9,0.792,99,,,,4,18,17,11,7,8,16,21,21,,,,,,,,,
,28,11.385,0,0.231,0,,,,3,18,2,3,9,13,12,21,21,,,,,,,,,
,29,11.616,4.1,0.099,41,,,,2,5,1,6,21,14,21,21,21,,,,,,,,,
,30,11.715,3.2,0.099,32,10.03856097,,,1,21,21,21,21,21,21,21,21,,,,,,,,,
,31,11.814,2.2,0.198,22,6.72,,,,,,,,,,,,,,,,,,,,
,32,12.012,9.9,1.914,99,,,,,,,,,,,,,,,,,,,,,
,33,13.926,2.1,0.099,21,,,,目視個所Ｔｏｐ　No.1,2.2,1,,5.1,21,,,,,,,,,,,,
,34,14.025,2.2,3.201,22,7.4575,,,目視個所Ｔｏｐ　No.2,3.2,2,,4.1,18,,,,,,,,,,,,
,35,17.226,9.9,1.155,99,,,,目視個所Ｔｏｐ　No.3,3.3,3,,3.1,18,,,,,,,,,,,,
,36,18.381,2.3,0.231,23,,,,目視個所Ｔｏｐ　No.4,5.5,4,,2.1,5,,,,,,,,,,,,
,37,18.612,2.2,0.957,22,7.4575,,,目視個所Ｔｏｐ　No.5,2.1,5,,1.1,21,,,,,,,,,,,,
,38,19.569,2.3,0.066,23,7.4575,,,目視個所（累積ではない）,20,,,5.2,21,,,,,,,,,,,,
,39,19.635,3.3,0.066,33,6.72,,,非目視個所,20,,,4.2,17,,,,,,,,,,,,
,40,19.701,4.4,0.132,44,10.03856097,,,合計,40,,,3.2,2,,,,,,,,,,,,
,41,19.833,4.5,0.396,45,7.4575,,,,,,,2.2,1,,,,,,,,,,,,
,42,20.229,4.6,0.033,46,7.4575,,,,,,,1.2,21,,,,,,,,,,,,
,43,20.262,9.9,0.792,99,,,,,,,,5.3,15,,,,,,,,,,,,
,44,21.054,4.4,0.264,44,,,,,,,,4.3,11,,,,,1,2,3,4,5,6,7,8
,45,21.318,3.1,0.099,31,23.35994769,,,,,,,3.3,3,,,,5,21,21,15,10,4,20,21,21
,46,21.417,2.2,0.066,22,10.03856097,,,,,,,2.3,6,,,,4,18,17,11,7,8,16,21,21
,47,21.483,9.9,0.594,99,,,,,,,,1.3,21,,,,3,18,2,3,9,13,12,21,21
,48,22.077,2.2,0.924,22,,,,,,,,5.4,10,,,,2,5,1,6,21,14,21,21,21
,49,23.001,3.2,0.066,32,6.72,,,,,,,4.4,7,,,,1,21,21,21,21,21,21,21,21
,50,23.067,3.3,0.132,33,7.4575,,,,,,,3.4,9,,,,,,,,,,,,
,51,23.199,0,0.561,0,,,,,,,,2.4,21,,,,,,,,,,,,
,52,23.76,2.1,0.198,21,,,,,,,,1.4,21,,,,,,,,,,,,
,53,23.958,9.9,1.551,99,,,,,,,,5.5,4,,,,,,,,,,,,
,54,25.509,2.1,0.726,21,,,,,,,,4.5,8,,,,,,,,,,,,
,55,26.235,9.9,0.264,99,,,,,,,,3.5,13,,,,,,,,,,,,
,56,26.499,2.1,0.132,21,,,,,,,,2.5,14,,,,,,,,,,,,
,57,26.631,2.2,0.561,22,7.4575,,,,,,,1.5,21,,,,,,,,,,,,
,58,27.192,3.3,0.099,33,10.03856097,,,,,,,5.6,20,,,,,,,,,,,,
,59,27.291,3.4,0.429,34,7.4575,,,,,,,4.6,16,,,,,,,,,,,,
,60,27.72,3.5,0.132,35,7.4575,,,,,,,3.6,12,,,,,,,,,,,,
,61,27.852,3.6,0.297,36,7.4575,,,,,,,2.6,21,,,,,,,,,,,,
,62,28.149,4.6,0.033,46,6.72,,,,,,,1.6,21,,,,,,,,,,,,
,63,28.182,5.5,0.759,55,10.03856097,,,,,,,5.7,21,,,,,,,,,,,,
,64,28.941,9.9,1.782,99,,,,,,,,4.7,21,,,,,,,,,,,,
,65,30.723,2.2,0.033,22,,,,,,,,3.7,21,,,,,,,,,,,,
,66,30.756,2.3,0.231,23,7.4575,,,,,,,2.7,21,,,,,,,,,,,,
,67,30.987,2.2,1.551,22,7.4575,,,,,,,1.7,21,,,,,,,,,,,,
,68,32.538,9.9,1.518,99,,,,,,,,5.8,21,,,,,,,,,,,,
,69,34.056,3.4,0.099,34,,,,,,,,4.8,21,,,,,,,,,,,,
,70,34.155,2.2,0.033,22,16.35896161,,,,,,,3.8,21,,,,,,,,,,,,
,71,34.188,9.9,1.254,99,,,,,,,,2.8,21,,,,,,,,,,,,
,72,35.442,2.1,0.165,21,,,,,,,,1.8,21,,,,,,,,,,,,
,73,35.607,2.2,0.495,22,7.4575,,,,,,総計,40,,,,,,,,,,,,,
,74,36.102,5.3,0.066,53,21.49511354,,,,,,,,,,,,,,,,,,,,
,75,36.168,5.4,0.198,54,7.4575,,,,,,,,,,,,,,,,,,,,
,76,36.366,5.5 ,0.363,55,7.4575,,,,,,,,,,,,,,,,,,,,
,77,36.729,0,0.792,0,,,,,,,,,,,,,,,,,,,,,
,78,37.521,9.9,0.363,99,,,,,,,,,,,,,,,,,,,,,
,79,37.884,5.3,0.033,53,,,,,,,,,,,,,,,,,,,,,
,80,37.917,4.3,0.132,43,6.72,,,,,,,,,,,,,,,,,,,,
,81,38.049,3.3,0.297,33,6.72,,,,,,,,,,,,,,,,,,,,
,82,38.346,3.2,1.155,32,7.4575,,,,,,,,,,,,,,,,,,,,
,83,39.501,3.3,0.066,33,7.4575,,,,,,,,,,,,,,,,,,,,
,84,39.567,3.5,0.066,35,14.915,,,,,,,,,,,,,,,,,,,,
,85,39.633,3.6,0.198,36,7.4575,,,,,,,,,,,,,,,,,,,,
,86,39.831,9.9,1.056,99,,,,,,,,,,,,,,,,,,,,,
,87,40.887,3.4,0.165,34,,,,,,,,,,,,,,,,,,,,,
,88,41.052,3.3,0.957,33,7.4575,,,,,,,,,,,,,,,,,,,,
,89,42.009,3.4,0.132,34,7.4575,,,,,,,,,,,,,,,,,,,,
,90,42.141,3.5,0.165,35,7.4575,,,,,,,,,,,,,,,,,,,,
,91,42.306,4.5,0.132,45,6.72,,,,,,,,,,,,,,,,,,,,
,92,42.438,4.6,0.066,46,7.4575,,,,,,,,,,,,,,,,,,,,
,93,42.504,9.9,0.627,99,,,,,,,,,,,,,,,,,,,,,
,94,43.131,4.6,0.033,46,,,,,,,,,,,,,,,,,,,,,
,95,43.164,4.5,0.297,45,7.4575,,,,,,,,,,,,,,,,,,,,
,96,43.461,2.2,0.165,22,26.09908727,,,,,,,,,,,,,,,,,,,,
,97,43.626,9.9,1.914,99,,,,,,,,,,,,,,,,,,,,,
,98,45.54,5.6,0.066,56,,,,,,,,,,,,,,,,,,,,,
,99,45.606,5.5,0.462,55,7.4575,,,,,,,,,,,,,,,,,,,,
,100,46.068,4.3,0.165,43,16.35896161,,,,,,,,,,,,,,,,,,,,
,101,46.233,3.3,0.099,33,6.72,,,,,,,,,,,,,,,,,,,,
,102,46.332,3.2,3.432,32,7.4575,,,,,,,,,,,,,,,,,,,,
,103,49.764,4.3,0.099,43,10.03856097,,,,,,,,,,,,,,,,,,,,
,104,49.863,5.4,0.297,54,10.03856097,,,,,,,,,,,,,,,,,,,,
,105,50.16,0,0.198,0,,,,,,,,,,,,,,,,,,,,,
,106,50.358,5.4,0.033,54,,,,,,,,,,,,,,,,,,,,,
,107,50.391,4.2,0.099,42,16.35896161,,,,,,,,,,,,,,,,,,,,
,108,50.49,3.2,2.805,32,6.72,,,,,,,,,,,,,,,,,,,,
