,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.31,9.9,0.429,,,54.714,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.739,3.4,0.957,34,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,3.696,3.3,0.33,33,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,24,24,44.44444444,,
,4,4.026,2.3,1.98,23,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,34,10,18.51851852,,
,5,6.006,5.5,0.165,55,25.07753626,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,43,9,16.66666667,,
,6,6.171,3.6,0.231,36,15.37035804,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,48,5,9.259259259,,
,7,6.402,2.3,0.594,23,23.35994769,,,,,,,,,,,,,6,20,24,52,4,7.407407407,,
,8,6.996,1.3,1.518,13,6.72,,,目視時間の分布（秒）,,54.285,,,,,,,,7,24,28,54,2,3.703703704,,
,9,8.514,2.6,0.627,26,23.35994769,,,,1,2,3,4,5,6,7,8,,8,28,32,54,0,0,,
,10,9.141,2.4,0.264,24,14.915,,,5,0,0,0,0.627,0.165,0,0,0,,9,32,36,54,0,0,,
,11,9.405,2.5,0.561,25,7.4575,,,4,0,0,0,0,0,0,0.825,0,,10,36,40,54,0,0,,
,12,9.966,2.3,0.924,23,14.915,,,3,0,0,6.135,2.046,0.594,2.409,0.165,0,,11,40,44,54,0,0,,
,13,10.89,2.4,1.023,24,7.4575,,,2,0,0,17.295,9.966,1.023,1.485,0,0,,12,44,48,54,0,0,,
,14,11.913,1.3,1.287,13,10.03856097,,,1,0,0,9.009,1.65,0.759,0,0.132,0,,13,48,52,54,0,0,,
,15,13.2,1.4,0.792,14,7.4575,,,,,,,,,,,,,14,52,56,54,0,0,,
,16,13.992,1.3,0.627,13,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,54,0,0,,
,17,14.619,2.4,0.264,24,10.03856097,,,,1,2,3,4,5,6,7,8,,16,60,64,54,0,0,,
,18,14.883,1.3,0.693,13,10.03856097,,,5,0.0,0.0,0.0,1.2,0.3,0.0,0.0,0.0,,17,64,68,54,0,0,,
,19,15.576,1.4,0.858,14,7.4575,,,4,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,,18,68,72,54,0,0,,
,20,16.434,2.4,4.422,24,6.72,,,3,0.0,0.0,11.3,3.8,1.1,4.4,0.3,0.0,,19,72,76,54,0,0,,
,21,20.856,1.3,0.693,13,10.03856097,,,2,0.0,0.0,31.9,18.4,1.9,2.7,0.0,0.0,,20,76,80,54,0,0,,
,22,21.549,2.3,0.429,23,6.72,,,1,0.0,0.0,16.6,3.0,1.4,0.0,0.2,0.0,,,,,,,100,,
,23,21.978,1.5,0.594,15,16.35896161,,,,,,,,,,,,,,,,,,,,
,24,22.572,2.3,3.927,23,16.35896161,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
