,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,4.671,9.9,1.221,,,54.714,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,5.892,3.4,1.815,34,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,7.707,2.3,1.518,23,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,26,26,48.14814815,,
,4,9.225,1.3,0.924,13,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,35,9,16.66666667,,
,5,10.149,4.5,0.726,45,25.07753626,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,43,8,14.81481481,,
,6,10.875,2.7,0.693,27,20.07712193,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,48,5,9.259259259,,
,7,11.568,2.6,0.561,26,7.4575,,,,,,,,,,,,,6,20,24,53,5,9.259259259,,
,8,12.129,1.6,0.198,16,6.72,,,目視時間の分布（秒）,,53.493,,,,,,,,7,24,28,54,1,1.851851852,,
,9,12.327,1.7,0.297,17,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,54,0,0,,
,10,12.624,2.4,0.198,24,23.35994769,,,5,0,0,0,0,0,1.155,0,0,,9,32,36,54,0,0,,
,11,12.822,2.3,2.871,23,7.4575,,,4,0,0,0,1.947,0.726,0.363,0,0,,10,36,40,54,0,0,,
,12,15.693,1.3,1.254,13,6.72,,,3,0.528,0,7.359,5.28,2.64,1.254,0,0,,11,40,44,54,0,0,,
,13,16.947,1.4,0.495,14,7.4575,,,2,0.891,0.033,16.618,4.732,1.254,1.32,1.683,0,,12,44,48,54,0,0,,
,14,17.442,1.3,0.33,13,7.4575,,,1,0,0,3.268,0.495,0.792,0.198,0.957,0,,13,48,52,54,0,0,,
,15,17.772,2.5,0.891,25,16.35896161,,,,,,,,,,,,,14,52,56,54,0,0,,
,16,18.663,3.4,0.462,34,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,54,0,0,,
,17,19.125,3.3,1.122,33,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,54,0,0,,
,18,20.247,3.4,0.099,34,7.4575,,,5,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,,17,64,68,54,0,0,,
,19,20.346,4.4,1.155,44,6.72,,,4,0.0,0.0,0.0,3.6,1.4,0.7,0.0,0.0,,18,68,72,54,0,0,,
,20,21.501,3.4,0.231,34,6.72,,,3,1.0,0.0,13.8,9.9,4.9,2.3,0.0,0.0,,19,72,76,54,0,0,,
,21,21.732,2.3,0.495,23,10.03856097,,,2,1.7,0.1,31.1,8.8,2.3,2.5,3.1,0.0,,20,76,80,54,0,0,,
,22,22.227,2.2,0.033,22,7.4575,,,1,0.0,0.0,6.1,0.9,1.5,0.4,1.8,0.0,,,,,,,100,,
,23,22.26,2.1,0.891,21,7.4575,,,,,,,,,,,,,,,,,,,,
,24,23.151,3.1,0.528,31,6.72,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,23.679,2.3,0.891,23,16.35896161,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,24.57,3.5,0.792,35,16.35896161,,,5,22,22,22,22,22,12,22,22,,,,,,,,,
,27,25.362,5.6,0.363,56,15.37035804,,,4,22,22,22,7,16,19,22,22,,,,,,,,,
,28,25.725,3.5,0.495,35,15.37035804,,,3,17,22,2,3,6,11,22,22,,,,,,,,,
,29,26.22,3.3,1.518,33,14.915,,,2,14,21,1,4,10,9,8,22,,,,,,,,,
,30,27.738,2.3,3.134,23,6.72,,,1,22,22,5,18,15,20,13,22,,,,,,,,,
,31,30.872,1.3,0.76,13,6.72,,,,,,,,,,,,,,,,,,,,
,32,31.632,1.5,0.792,15,14.915,,,,,,,,,,,,,,,,,,,,
,33,32.424,2.3,1.881,23,16.35896161,,,目視個所Ｔｏｐ　No.1,2.3,1,,5.1,22,,,,,,,,,,,,
,34,34.305,2.6,0.759,26,22.3725,,,目視個所Ｔｏｐ　No.2,3.3,2,,4.1,22,,,,,,,,,,,,
