,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,,,,,,,,,,,刻み,4,ｃｍ,,,,,
動画開始時刻,1,2.409,4.4,0.858,44,,54.78,,格子番号の位置,,,,,,,,,,,以上,未満,累積,頻度,%,,
,2,3.267,2.4,0.627,24,13.44,,,,1,2,3,4,5,6,7,8,,1,0,4,0,0,0,,
,3,3.894,3.3,0.66,33,10.03856097,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,2,4,8,26,26,45.61403509,,
,4,4.554,2.2,0.627,22,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,3,8,12,41,15,26.31578947,,
,5,5.181,2.3,0.561,23,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,4,12,16,47,6,10.52631579,,
,6,5.742,2.2,2.244,22,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,5,16,20,51,4,7.01754386,,
,7,7.986,3.3,0.264,33,10.03856097,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,6,20,24,56,5,8.771929825,,
,8,8.25,4.4,0.231,44,10.03856097,,,,,,,,,,,,,7,24,28,57,1,1.754385965,,
,9,8.481,4.5,0.198,45,7.4575,,,目視時間の分布（秒）,,53.889,,,,,,,,8,28,32,57,0,0,,
,10,8.679,5.5,0.198,55,6.72,,,,1,2,3,4,5,6,7,8,,9,32,36,57,0,0,,
,11,8.877,4.5,0.033,45,6.72,,,5,0,0,0,0,2.343,0,0,0,,10,36,40,57,0,0,,
,12,8.91,5.5,0.363,55,6.72,,,4,0,0,0,1.65,0.231,0.792,0.99,0,,11,40,44,57,0,0,,
,13,9.273,3.3,0.924,33,20.07712193,,,3,0,0.561,22.572,3.333,0.99,0.495,0,0,,12,44,48,57,0,0,,
,14,10.197,2.2,0.264,22,10.03856097,,,2,0.825,5.412,8.646,1.815,1.056,0.594,0,0,,13,48,52,57,0,0,,
,15,10.461,1.2,0.693,12,6.72,,,1,0,0.693,0.132,0,0.759,0,0,0,,14,52,56,57,0,0,,
,16,11.154,3.3,1.485,33,15.37035804,,,,,,,,,,,,,15,56,60,57,0,0,,
,17,12.639,9.9,0.099,99,,,,目視時間の分布（%）,,100,,,,,,,,16,60,64,57,0,0,,
,18,12.738,2.3,0.693,23,,,,,1,2,3,4,5,6,7,8,,17,64,68,57,0,0,,
,19,13.431,2.2,0.066,22,7.4575,,,5,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,,18,68,72,57,0,0,,
,20,13.497,2.3,0.528,23,7.4575,,,4,0.0,0.0,0.0,3.1,0.4,1.5,1.8,0.0,,19,72,76,57,0,0,,
,21,14.025,2.2,0.528,22,7.4575,,,3,0.0,1.0,41.9,6.2,1.8,0.9,0.0,0.0,,20,76,80,57,0,0,,
,22,14.553,2.5,0.594,25,22.3725,,,2,1.5,10.0,16.0,3.4,2.0,1.1,0.0,0.0,,,,,,,100,,
,23,15.147,3.3,0.99,33,16.35896161,,,1,0.0,1.3,0.2,0.0,1.4,0.0,0.0,0.0,,,,,,,,,
,24,16.137,3.4,0.495,34,7.4575,,,,,,,,,,,,,,,,,,,,
,25,16.632,2.3,0.627,23,10.03856097,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,26,17.259,3.3,0.726,33,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,27,17.985,2.3,0.396,23,6.72,,,5,20,20,20,20,5,20,20,20,,,,,,,,,
,28,18.381,1.5,0.759,15,16.35896161,,,4,20,20,20,7,18,12,10,20,,,,,,,,,
,29,19.14,2.3,0.132,23,16.35896161,,,3,20,16,1,4,9,17,20,20,,,,,,,,,
,30,19.272,2.1,0.825,21,14.915,,,2,11,3,2,6,8,15,20,20,,,,,,,,,
