,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.683,4.5,0.825,45,,54.516,,格子番号の位置,,,,,,,,,,,以上,未満,累積,頻度,%,,
,2,2.508,3.4,0.198,34,10.03856097,,,,1,2,3,4,5,6,7,8,,1,0,4,0,0,0,,
,3,2.706,2.3,0.363,23,10.03856097,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,2,4,8,47,47,71.21212121,,
,4,3.069,1.3,0.495,13,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,3,8,12,60,13,19.6969697,,
,5,3.564,1.2,0.858,12,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,4,12,16,63,3,4.545454545,,
,6,4.422,2.3,0.858,23,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,5,16,20,63,0,0,,
,7,5.28,4.5,0.495,45,20.07712193,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,6,20,24,66,3,4.545454545,,
,8,5.775,4.4,0.033,44,7.4575,,,,,,,,,,,,,7,24,28,66,0,0,,
,9,5.808,3.4,0.33,34,6.72,,,目視時間の分布（秒）,,53.856,,,,,,,,8,28,32,66,0,0,,
,10,6.138,2.4,0.231,24,6.72,,,,1,2,3,4,5,6,7,8,,9,32,36,66,0,0,,
,11,6.369,5.5,0.825,55,21.49511354,,,5,0,0,0,0.033,0.924,0.066,0,0,,10,36,40,66,0,0,,
,12,7.194,3.4,0.198,34,15.37035804,,,4,0,0,0,0.264,3.663,0,0,0,,11,40,44,66,0,0,,
,13,7.392,2.4,0.528,24,6.72,,,3,0,0,1.518,3.762,0.033,0.297,0,0,,12,44,48,66,0,0,,
,14,7.92,3.4,0.132,34,6.72,,,2,0.759,0.594,28.743,2.178,1.683,1.386,0,0,,13,48,52,66,0,0,,
