,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.023,4.5,0.429,45,,54.615,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.452,3.5,0.099,35,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.551,3.4,0.099,34,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,88,88,77.87610619,,
,4,1.65,2.4,0.198,24,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,105,17,15.04424779,,
,5,1.848,2.3,1.584,23,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,109,4,3.539823009,,
,6,3.432,4.4,0.066,44,15.37035804,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,111,2,1.769911504,,
,7,3.498,5.5,0.66,55,10.03856097,,,,,,,,,,,,,6,20,24,113,2,1.769911504,,
,8,4.158,4.5,0.033,45,6.72,,,目視時間の分布（秒）,,54.252,,,,,,,,7,24,28,113,0,0,,
,9,4.191,4.4,0.066,44,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,113,0,0,,
,10,4.257,3.3,0.132,33,10.03856097,,,5,0,0,0.033,0,0.66,1.122,0,0,,9,32,36,113,0,0,,
,11,4.389,2.3,0.627,23,6.72,,,4,0,0,0.066,0.495,2.871,1.98,0,0,,10,36,40,113,0,0,,
,12,5.016,5.3,0.033,53,20.16,,,3,0,0,0.693,3.003,1.551,2.871,0.759,0,,11,40,44,113,0,0,,
,13,5.049,4.3,0.066,43,6.72,,,2,0,0.033,17.358,11.286,1.353,0.462,0.297,0,,12,44,48,113,0,0,,
,14,5.115,3.3,0.099,33,6.72,,,1,0.033,0,3.399,1.32,1.254,0.693,0.66,0,,13,48,52,113,0,0,,
,15,5.214,9.9,0.363,99,,,,,,,,,,,,,,14,52,56,113,0,0,,
,16,5.577,2.3,1.188,23,,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,113,0,0,,
,17,6.765,1.3,0.396,13,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,113,0,0,,
,18,7.161,2.3,0.165,23,6.72,,,5,0.0,0.0,0.1,0.0,1.2,2.1,0.0,0.0,,17,64,68,113,0,0,,
,19,7.326,3.3,0.132,33,6.72,,,4,0.0,0.0,0.1,0.9,5.3,3.6,0.0,0.0,,18,68,72,113,0,0,,
,20,7.458,2.3,0.132,23,6.72,,,3,0.0,0.0,1.3,5.5,2.9,5.3,1.4,0.0,,19,72,76,113,0,0,,
,21,7.59,1.3,0.396,13,6.72,,,2,0.0,0.1,32.0,20.8,2.5,0.9,0.5,0.0,,20,76,80,113,0,0,,
,22,7.986,1.4,0.264,14,7.4575,,,1,0.1,0.0,6.3,2.4,2.3,1.3,1.2,0.0,,,,,,,100,,
,23,8.25,1.5,0.495,15,7.4575,,,,,,,,,,,,,,,,,,,,
,24,8.745,2.5,0.066,25,6.72,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,8.811,3.5,0.066,35,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,8.877,3.6,0.099,36,7.4575,,,5,25,25,23,25,16,12,25,25,,,,,,,,,
,27,8.976,4.6,0.528,46,6.72,,,4,25,25,21,18,6,7,25,25,,,,,,,,,
,28,9.504,5.6,0.297,56,6.72,,,3,25,25,14,4,8,5,13,25,,,,,,,,,
,29,9.801,4.5,0.066,45,10.03856097,,,2,25,22,1,2,9,19,20,25,,,,,,,,,
,30,9.867,3.5,0.033,35,6.72,,,1,24,25,3,10,11,15,16,25,,,,,,,,,
,31,9.9,3.4,0.099,34,7.4575,,,,,,,,,,,,,,,,,,,,
,32,9.999,2.4,0.825,24,6.72,,,,,,,,,,,,,,,,,,,,
