,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,3.498,9.9,0.264,,,54.78,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.762,1.4,2.838,14,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,6.6,3.4,0.363,34,13.44,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,30,30,47.61904762,,
,4,6.963,2.6,0.264,26,16.35896161,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,39,9,14.28571429,,
,5,7.227,3.5,0.759,35,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,46,7,11.11111111,,
,6,7.986,4.5,0.825,45,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,52,6,9.523809524,,
,7,8.811,2.4,0.033,24,15.37035804,,,,,,,,,,,,,6,20,24,58,6,9.523809524,,
,8,8.844,2.3,1.32,23,7.4575,,,目視時間の分布（秒）,,53.658,,,,,,,,7,24,28,60,2,3.174603175,,
,9,10.164,1.3,1.485,13,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,62,2,3.174603175,,
,10,11.649,1.6,0.264,16,22.3725,,,5,0,0,0,0,1.485,0.363,0,0,,9,32,36,62,0,0,,
,11,11.913,1.3,1.452,13,22.3725,,,4,0,0.792,0,0,1.716,1.188,0,0,,10,36,40,63,1,1.587301587,,
,12,13.365,2.3,0.363,23,6.72,,,3,0,0,2.673,2.772,3.201,1.584,0,0,,11,40,44,63,0,0,,
,13,13.728,2.4,0.528,24,7.4575,,,2,1.056,0.198,12.045,11.649,0.33,2.178,1.386,0,,12,44,48,63,0,0,,
,14,14.256,2.3,1.188,23,7.4575,,,1,0,0,4.158,3.663,0,0.528,0.693,0,,13,48,52,63,0,0,,
,15,15.444,5.6,0.363,56,30.1156829,,,,,,,,,,,,,14,52,56,63,0,0,,
,16,15.807,5.5,0.891,55,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,63,0,0,,
,17,16.698,1.3,1.221,13,30.74071608,,,,1,2,3,4,5,6,7,8,,16,60,64,63,0,0,,
,18,17.919,2.4,0.891,24,10.03856097,,,5,0.0,0.0,0.0,0.0,2.8,0.7,0.0,0.0,,17,64,68,63,0,0,,
,19,18.81,2.6,0.792,26,14.915,,,4,0.0,1.5,0.0,0.0,3.2,2.2,0.0,0.0,,18,68,72,63,0,0,,
,20,19.602,2.7,0.561,27,7.4575,,,3,0.0,0.0,5.0,5.2,6.0,3.0,0.0,0.0,,19,72,76,63,0,0,,
,21,20.163,4.6,0.396,46,15.37035804,,,2,2.0,0.4,22.4,21.7,0.6,4.1,2.6,0.0,,20,76,80,63,0,0,,
,22,20.559,2.4,1.056,24,20.07712193,,,1,0.0,0.0,7.7,6.8,0.0,1.0,1.3,0.0,,,,,,,100,,
,23,21.615,1.4,0.825,14,6.72,,,,,,,,,,,,,,,,,,,,
,24,22.44,2.4,0.528,24,6.72,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,22.968,0,0.264,0,,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,23.232,1.6,0.264,16,,,,5,21,21,21,21,11,18,21,21,,,,,,,,,
,27,23.496,2.4,1.518,24,16.35896161,,,4,21,15,21,21,9,13,21,21,,,,,,,,,
,28,25.014,3.4,0.462,34,6.72,,,3,21,21,7,6,5,10,21,21,,,,,,,,,
,29,25.476,3.3,0.231,33,7.4575,,,2,14,20,1,2,19,8,12,21,,,,,,,,,
,30,25.707,2.3,2.541,23,6.72,,,1,21,21,3,4,21,17,16,21,,,,,,,,,
,31,28.248,0,0.528,0,,,,,,,,,,,,,,,,,,,,,
,32,28.776,2.4,0.627,24,,,,,,,,,,,,,,,,,,,,,
,33,29.403,1.7,0.693,17,23.35994769,,,目視個所Ｔｏｐ　No.1,2.3,1,,5.1,21,,,,,,,,,,,,
,34,30.096,2.7,0.429,27,6.72,,,目視個所Ｔｏｐ　No.2,2.4,2,,4.1,21,,,,,,,,,,,,
,35,30.525,2.2,0.198,22,37.2875,,,目視個所Ｔｏｐ　No.3,1.3,3,,3.1,21,,,,,,,,,,,,
,36,30.723,2.1,1.056,21,7.4575,,,目視個所Ｔｏｐ　No.4,1.4,4,,2.1,14,,,,,,,,,,,,
,37,31.779,4.2,0.792,42,15.37035804,,,目視個所Ｔｏｐ　No.5,3.5,5,,1.1,21,,,,,,,,,,,,
,38,32.571,2.3,0.825,23,15.37035804,,,目視個所（累積ではない）,20,,,5.2,21,,,,,,,,,,,,
,39,33.396,2.4,1.056,24,7.4575,,,非目視個所,20,,,4.2,15,,,,,,,,,,,,
,40,34.452,4.6,0.792,46,20.07712193,,,合計,40,,,3.2,21,,,,,,,,,,,,
,41,35.244,2.3,1.188,23,26.09908727,,,,,,,2.2,20,,,,,,,,,,,,
,42,36.432,2.4,2.244,24,7.4575,,,,,,,1.2,21,,,,,,,,,,,,
,43,38.676,3.3,1.419,33,10.03856097,,,,,,,5.3,21,,,,,,,,,,,,
,44,40.095,2.3,1.089,23,6.72,,,,,,,4.3,21,,,,,1,2,3,4,5,6,7,8
,45,41.184,3.4,0.792,34,10.03856097,,,,,,,3.3,7,,,,5,21,21,21,21,11,18,21,21
,46,41.976,2.4,0.726,24,6.72,,,,,,,2.3,1,,,,4,21,15,21,21,9,13,21,21
,47,42.702,2.5,0.33,25,7.4575,,,,,,,1.3,3,,,,3,21,21,7,6,5,10,21,21
,48,43.032,2.4,1.122,24,7.4575,,,,,,,5.4,21,,,,2,14,20,1,2,19,8,12,21
,49,44.154,3.4,0.561,34,6.72,,,,,,,4.4,21,,,,1,21,21,3,4,21,17,16,21
,50,44.715,3.5,0.462,35,7.4575,,,,,,,3.4,6,,,,,,,,,,,,
,51,45.177,2.4,0.396,24,10.03856097,,,,,,,2.4,2,,,,,,,,,,,,
,52,45.573,3.6,1.188,36,16.35896161,,,,,,,1.4,4,,,,,,,,,,,,
,53,46.761,3.5,0.396,35,7.4575,,,,,,,5.5,11,,,,,,,,,,,,
,54,47.157,2.4,0.297,24,10.03856097,,,,,,,4.5,9,,,,,,,,,,,,
,55,47.454,3.5,0.693,35,10.03856097,,,,,,,3.5,5,,,,,,,,,,,,
,56,48.147,3.6,0.396,36,7.4575,,,,,,,2.5,19,,,,,,,,,,,,
,57,48.543,4.5,0.363,45,10.03856097,,,,,,,1.5,21,,,,,,,,,,,,
,58,48.906,2.4,0.627,24,15.37035804,,,,,,,5.6,18,,,,,,,,,,,,
,59,49.533,3.4,0.594,34,6.72,,,,,,,4.6,13,,,,,,,,,,,,
,60,50.127,2.3,0.759,23,10.03856097,,,,,,,3.6,10,,,,,,,,,,,,
,61,50.886,3.5,0.297,35,16.35896161,,,,,,,2.6,8,,,,,,,,,,,,
,62,51.183,4.5,0.528,45,6.72,,,,,,,1.6,17,,,,,,,,,,,,
,63,51.711,5.5,0.594,55,6.72,,,,,,,5.7,21,,,,,,,,,,,,
,64,52.305,2.7,0.198,27,25.07753626,,,,,,,4.7,21,,,,,,,,,,,,
,65,52.503,9.9,0.066,99,,,,,,,,3.7,21,,,,,,,,,,,,
,66,52.569,2.7,0.198,27,,,,,,,,2.7,12,,,,,,,,,,,,
,67,52.767,2.6,1.122,26,7.4575,,,,,,,1.7,16,,,,,,,,,,,,
,68,53.889,2.3,1.221,23,22.3725,,,,,,,5.8,21,,,,,,,,,,,,
,69,55.11,3.5,0.594,35,16.35896161,,,,,,,4.8,21,,,,,,,,,,,,
