,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.726,4.5,0.726,45,,55.011,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.452,3.5,0.198,35,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.65,2.4,1.254,24,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,113,113,78.47222222,,
,4,2.904,1.4,0.132,14,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,135,22,15.27777778,,
,5,3.036,1.3,0.297,13,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,142,7,4.861111111,,
,6,3.333,1.2,0.297,12,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,143,1,0.694444444,,
,7,3.63,1.3,0.264,13,7.4575,,,,,,,,,,,,,6,20,24,144,1,0.694444444,,
,8,3.894,3.4,0.099,34,15.37035804,,,目視時間の分布（秒）,,54.813,,,,,,,,7,24,28,144,0,0,,
,9,3.993,4.4,0.066,44,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,144,0,0,,
,10,4.059,5.5,0.231,55,10.03856097,,,5,0,0,0,0.066,5.775,4.455,0,0,,9,32,36,144,0,0,,
,11,4.29,5.6,0.66,56,7.4575,,,4,0,0,0,0.495,2.145,0.891,0.363,0,,10,36,40,144,0,0,,
,12,4.95,5.5,-0.198,55,7.4575,,,3,0,0,3.795,3.564,1.023,0.33,0.066,0.099,,11,40,44,144,0,0,,
,13,4.752,5.6,1.485,56,7.4575,,,2,0,0,6.996,6.897,3.729,0.198,0.693,0.099,,12,44,48,144,0,0,,
,14,6.237,4.5,0.033,45,10.03856097,,,1,0.066,1.782,9.24,0.957,0.693,0,0.396,0,,13,48,52,144,0,0,,
,15,6.27,3.5,0.132,35,6.72,,,,,,,,,,,,,14,52,56,144,0,0,,
,16,6.402,2.5,0.033,25,6.72,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,144,0,0,,
,17,6.435,2.4,0.033,24,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,144,0,0,,
,18,6.468,2.5,0.825,25,7.4575,,,5,0.0,0.0,0.0,0.1,10.5,8.1,0.0,0.0,,17,64,68,144,0,0,,
,19,7.293,4.5,0.132,45,13.44,,,4,0.0,0.0,0.0,0.9,3.9,1.6,0.7,0.0,,18,68,72,144,0,0,,
,20,7.425,5.5,0.297,55,6.72,,,3,0.0,0.0,6.9,6.5,1.9,0.6,0.1,0.2,,19,72,76,144,0,0,,
,21,7.722,5.6,0.792,56,7.4575,,,2,0.0,0.0,12.8,12.6,6.8,0.4,1.3,0.2,,20,76,80,144,0,0,,
,22,8.514,4.5,0.033,45,10.03856097,,,1,0.1,3.3,16.9,1.7,1.3,0.0,0.7,0.0,,,,,,,100,,
,23,8.547,3.5,0.132,35,6.72,,,,,,,,,,,,,,,,,,,,
,24,8.679,2.5,0.429,25,6.72,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,9.108,4.5,0.099,45,13.44,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,9.207,5.5,0.858,55,6.72,,,5,26,26,26,23,4,5,26,26,,,,,,,,,
,27,10.065,5.6,0.132,56,7.4575,,,4,26,26,26,16,9,13,18,26,,,,,,,,,
,28,10.197,3.5,0.099,35,15.37035804,,,3,26,26,6,8,11,19,23,21,,,,,,,,,
,29,10.296,3.4,0.066,34,7.4575,,,2,26,26,2,3,7,20,15,22,,,,,,,,,
,30,10.362,2.4,0.198,24,6.72,,,1,23,10,1,12,14,26,17,26,,,,,,,,,
,31,10.56,2.3,0.792,23,7.4575,,,,,,,,,,,,,,,,,,,,
,32,11.352,1.3,0.297,13,6.72,,,,,,,,,,,,,,,,,,,,
,33,11.649,1.2,0.198,12,7.4575,,,目視個所Ｔｏｐ　No.1,1.3,1,,5.1,26,,,,,,,,,,,,
,34,11.847,1.3,0.66,13,7.4575,,,目視個所Ｔｏｐ　No.2,2.3,2,,4.1,26,,,,,,,,,,,,
,35,12.507,1.2,0.033,12,7.4575,,,目視個所Ｔｏｐ　No.3,2.4,3,,3.1,26,,,,,,,,,,,,
,36,12.54,1.3,0.693,13,7.4575,,,目視個所Ｔｏｐ　No.4,5.5,4,,2.1,26,,,,,,,,,,,,
,37,13.233,2.4,0.264,24,10.03856097,,,目視個所Ｔｏｐ　No.5,5.6,5,,1.1,23,,,,,,,,,,,,
,38,13.497,4.4,0.066,44,13.44,,,目視個所（累積ではない）,25,,,5.2,26,,,,,,,,,,,,
,39,13.563,4.5,0.066,45,7.4575,,,非目視個所,15,,,4.2,26,,,,,,,,,,,,
,40,13.629,5.5,0.033,55,6.72,,,合計,40,,,3.2,26,,,,,,,,,,,,
,41,13.662,5.6,0.462,56,7.4575,,,,,,,2.2,26,,,,,,,,,,,,
,42,14.124,5.5,0.033,55,7.4575,,,,,,,1.2,10,,,,,,,,,,,,
,43,14.157,4.4,0.165,44,10.03856097,,,,,,,5.3,26,,,,,,,,,,,,
,44,14.322,3.4,0.264,34,6.72,,,,,,,4.3,26,,,,,1,2,3,4,5,6,7,8
,45,14.586,5.5,0.297,55,15.37035804,,,,,,,3.3,6,,,,5,26,26,26,23,4,5,26,26
,46,14.883,4.5,0.132,45,6.72,,,,,,,2.3,2,,,,4,26,26,26,16,9,13,18,26
,47,15.015,3.4,0.627,34,10.03856097,,,,,,,1.3,1,,,,3,26,26,6,8,11,19,23,21
,48,15.642,2.4,0.594,24,6.72,,,,,,,5.4,23,,,,2,26,26,2,3,7,20,15,22
,49,16.236,2.3,0.429,23,7.4575,,,,,,,4.4,16,,,,1,23,10,1,12,14,26,17,26
,50,16.665,3.3,0.693,33,6.72,,,,,,,3.4,8,,,,,,,,,,,,
,51,17.358,3.4,0.066,34,7.4575,,,,,,,2.4,3,,,,,,,,,,,,
,52,17.424,3.5,0.066,35,7.4575,,,,,,,1.4,12,,,,,,,,,,,,
,53,17.49,2.6,0.198,26,10.03856097,,,,,,,5.5,4,,,,,,,,,,,,
,54,17.688,2.7,0.297,27,7.4575,,,,,,,4.5,9,,,,,,,,,,,,
,55,17.985,1.7,0.396,17,6.72,,,,,,,3.5,11,,,,,,,,,,,,
,56,18.381,2.7,0.066,27,6.72,,,,,,,2.5,7,,,,,,,,,,,,
,57,18.447,2.5,0.099,25,14.915,,,,,,,1.5,14,,,,,,,,,,,,
,58,18.546,2.4,0.891,24,7.4575,,,,,,,5.6,5,,,,,,,,,,,,
,59,19.437,2.3,0.594,23,7.4575,,,,,,,4.6,13,,,,,,,,,,,,
,60,20.031,1.3,3.366,13,6.72,,,,,,,3.6,19,,,,,,,,,,,,
,61,23.397,2.3,1.617,23,6.72,,,,,,,2.6,20,,,,,,,,,,,,
,62,25.014,2.4,0.363,24,7.4575,,,,,,,1.6,26,,,,,,,,,,,,
,63,25.377,1.3,0.891,13,10.03856097,,,,,,,5.7,26,,,,,,,,,,,,
,64,26.268,2.3,0.132,23,6.72,,,,,,,4.7,18,,,,,,,,,,,,
,65,26.4,2.4,0.561,24,7.4575,,,,,,,3.7,23,,,,,,,,,,,,
,66,26.961,2.3,0.165,23,7.4575,,,,,,,2.7,15,,,,,,,,,,,,
,67,27.126,1.3,0.528,13,6.72,,,,,,,1.7,17,,,,,,,,,,,,
,68,27.654,2.3,1.188,23,6.72,,,,,,,5.8,26,,,,,,,,,,,,
,69,28.842,2.4,0.297,24,7.4575,,,,,,,4.8,26,,,,,,,,,,,,
,70,29.139,1.4,0.066,14,6.72,,,,,,,3.8,21,,,,,,,,,,,,
,71,29.205,1.5,0.132,15,7.4575,,,,,,,2.8,22,,,,,,,,,,,,
,72,29.337,1.4,0.066,14,7.4575,,,,,,,1.8,26,,,,,,,,,,,,
,73,29.403,2.4,0.462,24,6.72,,,,,,総計,40,,,,,,,,,,,,,
,74,29.865,1.4,0.132,14,6.72,,,,,,,,,,,,,,,,,,,,
,75,29.997,1.5,0.561,15,7.4575,,,,,,,,,,,,,,,,,,,,
,76,30.558,1.4,0.429,14,7.4575,,,,,,,,,,,,,,,,,,,,
,77,30.987,2.5,0.594,25,10.03856097,,,,,,,,,,,,,,,,,,,,
,78,31.581,3.5,0.033,35,6.72,,,,,,,,,,,,,,,,,,,,
,79,31.614,4.5,0.264,45,6.72,,,,,,,,,,,,,,,,,,,,
,80,31.878,4.6,0.363,46,7.4575,,,,,,,,,,,,,,,,,,,,
,81,32.241,5.6,0.363,56,6.72,,,,,,,,,,,,,,,,,,,,
,82,32.604,4.5,0.099,45,10.03856097,,,,,,,,,,,,,,,,,,,,
,83,32.703,4.4,0.099,44,7.4575,,,,,,,,,,,,,,,,,,,,
,84,32.802,3.4,1.221,34,6.72,,,,,,,,,,,,,,,,,,,,
,85,34.023,2.5,1.419,25,10.03856097,,,,,,,,,,,,,,,,,,,,
,86,35.442,3.5,0.066,35,6.72,,,,,,,,,,,,,,,,,,,,
,87,35.508,4.5,0.363,45,6.72,,,,,,,,,,,,,,,,,,,,
,88,35.871,5.6,0.528,56,10.03856097,,,,,,,,,,,,,,,,,,,,
,89,36.399,5.5,0.363,55,7.4575,,,,,,,,,,,,,,,,,,,,
,90,36.762,4.5,0.033,45,6.72,,,,,,,,,,,,,,,,,,,,
,91,36.795,3.5,0.066,35,6.72,,,,,,,,,,,,,,,,,,,,
,92,36.861,2.4,0.231,24,10.03856097,,,,,,,,,,,,,,,,,,,,
,93,37.092,1.3,0.066,13,10.03856097,,,,,,,,,,,,,,,,,,,,
,94,37.158,1.2,0.726,12,7.4575,,,,,,,,,,,,,,,,,,,,
,95,37.884,2.3,0.33,23,10.03856097,,,,,,,,,,,,,,,,,,,,
,96,38.214,3.3,1.122,33,6.72,,,,,,,,,,,,,,,,,,,,
,97,39.336,2.4,0.33,24,10.03856097,,,,,,,,,,,,,,,,,,,,
,98,39.666,3.4,0.033,34,6.72,,,,,,,,,,,,,,,,,,,,
,99,39.699,3.5,0.231,35,7.4575,,,,,,,,,,,,,,,,,,,,
,100,39.93,4.5,0.099,45,6.72,,,,,,,,,,,,,,,,,,,,
,101,40.029,5.5,0.66,55,6.72,,,,,,,,,,,,,,,,,,,,
,102,40.689,5.6,0.033,56,7.4575,,,,,,,,,,,,,,,,,,,,
,103,40.722,4.6,0.066,46,6.72,,,,,,,,,,,,,,,,,,,,
,104,40.788,3.6,0.066,36,6.72,,,,,,,,,,,,,,,,,,,,
,105,40.854,3.7,0.066,37,7.4575,,,,,,,,,,,,,,,,,,,,
,106,40.92,2.7,0.33,27,6.72,,,,,,,,,,,,,,,,,,,,
,107,41.25,2.8,0.099,28,7.4575,,,,,,,,,,,,,,,,,,,,
,108,41.349,3.8,0.099,38,6.72,,,,,,,,,,,,,,,,,,,,
,109,41.448,4.7,0.363,47,10.03856097,,,,,,,,,,,,,,,,,,,,
,110,41.811,4.6,0.066,46,7.4575,,,,,,,,,,,,,,,,,,,,
