,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,6.435,2.7,0.066,27,,54.879,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,6.501,3.5,0.495,35,16.35896161,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,6.996,4.5,0.528,45,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,18,18,27.69230769,,
,4,7.524,2.3,1.254,23,20.07712193,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,32,14,21.53846154,,
,5,8.778,0,0.165,0,,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,47,15,23.07692308,,
,6,8.943,2.3,0.957,23,,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,54,7,10.76923077,,
,7,9.9,3.3,0.165,33,6.72,,,,,,,,,,,,,6,20,24,60,6,9.230769231,,
,8,10.065,3.5,0.165,35,14.915,,,目視時間の分布（秒）,,54.021,,,,,,,,7,24,28,64,4,6.153846154,,
,9,10.23,3.4,1.452,34,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,65,1,1.538461538,,
,10,11.682,1.4,0.297,14,13.44,,,5,0,0,0,0,1.914,2.97,0.264,0,,9,32,36,65,0,0,,
,11,11.979,5.5,0.726,55,27.89531692,,,4,0,0,0,2.277,1.881,2.904,0,0,,10,36,40,65,0,0,,
,12,12.705,3.4,0.792,34,15.37035804,,,3,0,0.561,7.359,8.778,1.155,2.145,1.056,0,,11,40,44,65,0,0,,
,13,13.497,2.3,0.627,23,10.03856097,,,2,0,0,12.276,3.696,0,0.957,1.881,0,,12,44,48,65,0,0,,
,14,14.124,2.4,1.221,24,7.4575,,,1,0,0,0.99,0.297,0,0,0.66,0,,13,48,52,65,0,0,,
,15,15.345,3.4,0.495,34,6.72,,,,,,,,,,,,,14,52,56,65,0,0,,
