エラー,,30.517,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.363,2.3,0.264,23,,54.64,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,0.627,3.4,0.297,34,10.03856097,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,0.924,3.5,0.033,35,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,52,52,74.28571429,,
,4,0.957,3.4,0.66,34,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,66,14,20,,
,5,1.617,4.4,0.033,44,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,69,3,4.285714286,,
,6,1.65,5.5,1.254,55,10.03856097,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,70,1,1.428571429,,
,7,2.904,4.4,0.033,44,10.03856097,,,,,,,,,,,,,6,20,24,70,0,0,,
,8,2.937,3.4,0.231,34,6.72,,,目視時間の分布（秒）,,21.343,,,,,,,,7,24,28,70,0,0,,
,9,3.168,2.4,0.33,24,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,70,0,0,,
,10,3.498,2.3,0.066,23,7.4575,,,5,0,0,0,0,1.254,0,0,0,,9,32,36,70,0,0,,
,11,3.564,1.3,1.089,13,6.72,,,4,0,0,0,0.165,0.165,0,0,0,,10,36,40,70,0,0,,
,12,4.653,1.4,0.891,14,7.4575,,,3,0,0,0,1.848,0.528,1.221,0,0,,11,40,44,70,0,0,,
,13,5.544,1.5,0.066,15,7.4575,,,2,0,0.66,1.894,1.495,0.617,0.33,0,0.066,,12,44,48,70,0,0,,
,14,5.61,2.5,0.33,25,6.72,,,1,0,1.254,5.497,2.534,0.891,0.363,0.561,0,,13,48,52,70,0,0,,
,15,5.94,1.5,0.165,15,6.72,,,,,,,,,,,,,14,52,56,70,0,0,,
,16,6.105,1.6,0.33,16,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,70,0,0,,
