,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,3.201,9.9,0.528,99,,54.582,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.729,2.5,0.33,25,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,4.059,2.4,0.165,24,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,25,25,34.24657534,,
,4,4.224,1.5,0.132,15,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,48,23,31.50684932,,
,5,4.356,1.4,0.594,14,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,57,9,12.32876712,,
,6,4.95,2.4,0.429,24,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,59,2,2.739726027,,
,7,5.379,2.3,3.399,23,7.4575,,,,,,,,,,,,,6,20,24,65,6,8.219178082,,
,8,8.778,1.3,1.98,13,6.72,,,目視時間の分布（秒）,,54.054,,,,,,,,7,24,28,69,4,5.479452055,,
,9,10.758,5.5,1.155,55,30.74071608,,,,1,2,3,4,5,6,7,8,,8,28,32,71,2,2.739726027,,
,10,11.913,5.6,0.231,56,7.4575,,,5,0,0,0,0,2.145,3.036,0.759,0,,9,32,36,71,0,0,,
,11,12.144,5.5,0.495,55,7.4575,,,4,0,0,0,0,0.627,0.759,0,0,,10,36,40,72,1,1.369863014,,
,12,12.639,2.4,0.297,24,21.49511354,,,3,0,0,0.759,9.471,0.528,0,0.099,0,,11,40,44,73,1,1.369863014,,
,13,12.936,2.3,0.825,23,7.4575,,,2,0,0.792,11.253,10.989,0.99,0.528,0.462,0,,12,44,48,73,0,0,,
,14,13.761,3.4,0.792,34,10.03856097,,,1,0,0,8.646,1.023,0.132,0.759,0.297,0,,13,48,52,73,0,0,,
,15,14.553,1.3,1.122,13,15.37035804,,,,,,,,,,,,,14,52,56,73,0,0,,
,16,15.675,2.4,0.297,24,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,73,0,0,,
,17,15.972,5.6,0.99,56,25.07753626,,,,1,2,3,4,5,6,7,8,,16,60,64,73,0,0,,
,18,16.962,2.4,2.211,24,25.07753626,,,5,0.0,0.0,0.0,0.0,4.0,5.6,1.4,0.0,,17,64,68,73,0,0,,
,19,19.173,1.3,1.452,13,10.03856097,,,4,0.0,0.0,0.0,0.0,1.2,1.4,0.0,0.0,,18,68,72,73,0,0,,
,20,20.625,2.4,0.528,24,10.03856097,,,3,0.0,0.0,1.4,17.5,1.0,0.0,0.2,0.0,,19,72,76,73,0,0,,
,21,21.153,3.4,0.924,34,6.72,,,2,0.0,1.5,20.8,20.3,1.8,1.0,0.9,0.0,,20,76,80,73,0,0,,
,22,22.077,2.4,0.429,24,6.72,,,1,0.0,0.0,16.0,1.9,0.2,1.4,0.5,0.0,,,,,,,100,,
,23,22.506,2.6,0.528,26,14.915,,,,,,,,,,,,,,,,,,,,
,24,23.034,3.7,0.099,37,10.03856097,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,23.133,5.6,1.155,56,15.37035804,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,24.288,3.4,0.891,34,20.07712193,,,5,21,21,21,21,6,5,10,21,,,,,,,,,
,27,25.179,2.2,0.528,22,16.35896161,,,4,21,21,21,21,14,10,21,21,,,,,,,,,
,28,25.707,2.3,0.33,23,7.4575,,,3,21,21,10,3,15,21,20,21,,,,,,,,,
,29,26.037,1.3,0.858,13,6.72,,,2,21,9,1,2,8,16,17,21,,,,,,,,,
,30,26.895,2.4,1.056,24,10.03856097,,,1,21,21,4,7,19,13,18,21,,,,,,,,,
,31,27.951,3.4,0.726,34,6.72,,,,,,,,,,,,,,,,,,,,
,32,28.677,1.3,0.594,13,15.37035804,,,,,,,,,,,,,,,,,,,,
,33,29.271,2.4,2.541,24,10.03856097,,,目視個所Ｔｏｐ　No.1,2.3,1,,5.1,21,,,,,,,,,,,,
,34,31.812,1.3,1.023,13,10.03856097,,,目視個所Ｔｏｐ　No.2,2.4,2,,4.1,21,,,,,,,,,,,,
,35,32.835,2.4,0.198,24,10.03856097,,,目視個所Ｔｏｐ　No.3,3.4,3,,3.1,21,,,,,,,,,,,,
,36,33.033,1.3,0.33,13,10.03856097,,,目視個所Ｔｏｐ　No.4,1.3,4,,2.1,21,,,,,,,,,,,,
