,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.683,9.9,0.561,,,54.813,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.244,4.5,0.231,45,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.475,9.9,0.165,99,,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,35,35,49.29577465,,
,4,2.64,3.4,0.627,34,,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,49,14,19.71830986,,
,5,3.267,2.3,2.079,23,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,61,12,16.90140845,,
,6,5.346,2.4,0.924,24,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,64,3,4.225352113,,
,7,6.27,3.4,0.462,34,6.72,,,,,,,,,,,,,6,20,24,69,5,7.042253521,,
,8,6.732,2.3,2.607,23,10.03856097,,,目視時間の分布（秒）,,52.503,,,,,,,,7,24,28,70,1,1.408450704,,
,9,9.339,3.3,0.759,33,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,70,0,0,,
,10,10.098,1.4,0.231,14,15.37035804,,,5,0,0,0,0,0.627,0,0,0,,9,32,36,70,0,0,,
,11,10.329,3.3,0.264,33,15.37035804,,,4,0,0,0.66,0,1.518,1.023,0,0,,10,36,40,71,1,1.408450704,,
,12,10.593,3.4,1.32,34,7.4575,,,3,0,0,15.048,8.118,0,1.782,0,0,,11,40,44,71,0,0,,
,13,11.913,2.6,0.759,26,16.35896161,,,2,0,3.498,14.949,1.617,0.561,0.759,1.089,0,,12,44,48,71,0,0,,
,14,12.672,2.3,0.792,23,22.3725,,,1,0,0,0.825,0.231,0,0.198,0,0,,13,48,52,71,0,0,,
,15,13.464,3.4,0.297,34,10.03856097,,,,,,,,,,,,,14,52,56,71,0,0,,
,16,13.761,2.3,0.495,23,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,71,0,0,,
