,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.858,2.7,0.033,27,,54.582,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,0.891,2.6,0.066,26,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,0.957,3.5,0.297,35,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,100,100,89.28571429,,
,4,1.254,3.4,0.264,34,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,112,12,10.71428571,,
,5,1.518,3.5,0.165,35,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,112,0,0,,
,6,1.683,3.4,0.066,34,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,112,0,0,,
,7,1.749,2.4,0.099,24,6.72,,,,,,,,,,,,,6,20,24,112,0,0,,
,8,1.848,2.3,2.211,23,7.4575,,,目視時間の分布（秒）,,54.582,,,,,,,,7,24,28,112,0,0,,
,9,4.059,3.3,0.033,33,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,112,0,0,,
,10,4.092,4.4,0.033,44,10.03856097,,,5,0,0,0,0,1.353,0,0.264,0,,9,32,36,112,0,0,,
,11,4.125,4.5,0.363,45,7.4575,,,4,0,0,0,0.858,2.541,1.683,0.759,0,,10,36,40,112,0,0,,
,12,4.488,5.5,0.495,55,6.72,,,3,0,0,2.475,2.739,1.188,1.254,0.231,0,,11,40,44,112,0,0,,
,13,4.983,4.5,0.033,45,6.72,,,2,0,1.782,16.665,6.831,0.495,2.178,1.122,0,,12,44,48,112,0,0,,
,14,5.016,4.4,0.066,44,7.4575,,,1,0,0,8.679,0,0.495,0.726,0.264,0,,13,48,52,112,0,0,,
,15,5.082,3.4,0.099,34,6.72,,,,,,,,,,,,,14,52,56,112,0,0,,
,16,5.181,2.3,1.749,23,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,112,0,0,,
,17,6.93,1.3,2.508,13,6.72,,,,1,2,3,4,5,6,7,8,,16,60,64,112,0,0,,
,18,9.438,2.3,0.66,23,6.72,,,5,0.0,0.0,0.0,0.0,2.5,0.0,0.5,0.0,,17,64,68,112,0,0,,
,19,10.098,2.4,0.231,24,7.4575,,,4,0.0,0.0,0.0,1.6,4.7,3.1,1.4,0.0,,18,68,72,112,0,0,,
,20,10.329,2.5,0.165,25,7.4575,,,3,0.0,0.0,4.5,5.0,2.2,2.3,0.4,0.0,,19,72,76,112,0,0,,
,21,10.494,2.6,0.264,26,7.4575,,,2,0.0,3.3,30.5,12.5,0.9,4.0,2.1,0.0,,20,76,80,112,0,0,,
,22,10.758,2.7,0.132,27,7.4575,,,1,0.0,0.0,15.9,0.0,0.9,1.3,0.5,0.0,,,,,,,100,,
,23,10.89,2.6,0.528,26,7.4575,,,,,,,,,,,,,,,,,,,,
,24,11.418,1.6,0.099,16,6.72,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,11.517,1.5,0.033,15,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,11.55,2.4,0.396,24,10.03856097,,,5,22,22,22,22,10,22,19,22,,,,,,,,,
,27,11.946,2.3,0.198,23,7.4575,,,4,22,22,22,14,5,9,15,22,,,,,,,,,
,28,12.144,1.3,1.881,13,6.72,,,3,22,22,6,4,12,11,21,22,,,,,,,,,
,29,14.025,2.3,2.541,23,6.72,,,2,22,8,1,3,17,7,13,22,,,,,,,,,
,30,16.566,1.3,3.993,13,6.72,,,1,22,22,2,22,18,16,20,22,,,,,,,,,
,31,20.559,2.3,0.231,23,6.72,,,,,,,,,,,,,,,,,,,,
,32,20.79,2.4,1.782,24,7.4575,,,,,,,,,,,,,,,,,,,,
,33,22.572,2.3,0.495,23,7.4575,,,目視個所Ｔｏｐ　No.1,2.3,1,,5.1,22,,,,,,,,,,,,
,34,23.067,2.2,0.627,22,7.4575,,,目視個所Ｔｏｐ　No.2,1.3,2,,4.1,22,,,,,,,,,,,,
,35,23.694,2.3,1.188,23,7.4575,,,目視個所Ｔｏｐ　No.3,2.4,3,,3.1,22,,,,,,,,,,,,
,36,24.882,2.2,0.759,22,7.4575,,,目視個所Ｔｏｐ　No.4,3.4,4,,2.1,22,,,,,,,,,,,,
,37,25.641,2.3,0.726,23,7.4575,,,目視個所Ｔｏｐ　No.5,4.5,5,,1.1,22,,,,,,,,,,,,
,38,26.367,2.4,1.683,24,7.4575,,,目視個所（累積ではない）,21,,,5.2,22,,,,,,,,,,,,
,39,28.05,2.3,0.495,23,7.4575,,,非目視個所,19,,,4.2,22,,,,,,,,,,,,
,40,28.545,3.3,0.462,33,6.72,,,合計,40,,,3.2,22,,,,,,,,,,,,
,41,29.007,3.4,0.099,34,7.4575,,,,,,,2.2,8,,,,,,,,,,,,
,42,29.106,4.4,0.033,44,6.72,,,,,,,1.2,22,,,,,,,,,,,,
,43,29.139,4.5,0.066,45,7.4575,,,,,,,5.3,22,,,,,,,,,,,,
,44,29.205,4.6,0.792,46,7.4575,,,,,,,4.3,22,,,,,1,2,3,4,5,6,7,8
,45,29.997,4.5,0.132,45,7.4575,,,,,,,3.3,6,,,,5,22,22,22,22,10,22,19,22
,46,30.129,4.4,0.429,44,7.4575,,,,,,,2.3,1,,,,4,22,22,22,14,5,9,15,22
,47,30.558,3.4,0.264,34,6.72,,,,,,,1.3,2,,,,3,22,22,6,4,12,11,21,22
,48,30.822,2.4,0.231,24,6.72,,,,,,,5.4,22,,,,2,22,8,1,3,17,7,13,22
,49,31.053,2.5,0.066,25,7.4575,,,,,,,4.4,14,,,,1,22,22,2,22,18,16,20,22
,50,31.119,2.6,0.165,26,7.4575,,,,,,,3.4,4,,,,,,,,,,,,
