,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.475,9.9,0.231,,,28.677,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.706,1.5,0.198,15,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.904,1.4,0.429,14,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,12,12,31.57894737,,
,4,3.333,2.3,0.858,23,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,18,6,15.78947368,,
,5,4.191,3.5,0.495,35,16.35896161,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,23,5,13.15789474,,
,6,4.686,3.4,0.693,34,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,26,3,7.894736842,,
,7,5.379,4.3,0.165,43,10.03856097,,,,,,,,,,,,,6,20,24,32,6,15.78947368,,
,8,5.544,3.4,1.254,34,10.03856097,,,目視時間の分布（秒）,,27.72,,,,,,,,7,24,28,34,2,5.263157895,,
,9,6.798,1.3,0.363,13,15.37035804,,,,1,2,3,4,5,6,7,8,,8,28,32,37,3,7.894736842,,
,10,7.161,2.3,0.726,23,6.72,,,5,0.297,0,0,1.023,1.023,0.363,0,0.594,,9,32,36,37,0,0,,
,11,7.887,3.4,0.429,34,10.03856097,,,4,0.363,0,0.528,0.627,0.363,0,1.353,0,,10,36,40,37,0,0,,
,12,8.316,3.5,0.429,35,7.4575,,,3,0.264,0,3.729,3.63,4.686,0.792,0.462,0,,11,40,44,37,0,0,,
,13,8.745,2.3,1.782,23,16.35896161,,,2,0,0,3.366,0.495,0,0,0,0,,12,44,48,38,1,2.631578947,,
