,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.495,9.9,0.462,99,,28.413,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,0.957,3.5,0.165,35,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.122,3.4,0.594,34,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,11,11,29.72972973,,
,4,1.716,4.3,0.198,43,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,15,4,10.81081081,,
,5,1.914,2.3,2.277,23,13.44,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,21,6,16.21621622,,
,6,4.191,3.5,1.056,35,16.35896161,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,25,4,10.81081081,,
,7,5.247,3.4,0.264,34,7.4575,,,,,,,,,,,,,6,20,24,31,6,16.21621622,,
,8,5.511,1.3,0.858,13,15.37035804,,,目視時間の分布（秒）,,27.951,,,,,,,,7,24,28,31,0,0,,
,9,6.369,2.6,0.594,26,23.35994769,,,,1,2,3,4,5,6,7,8,,8,28,32,35,4,10.81081081,,
,10,6.963,1.6,0.99,16,6.72,,,5,0,0,0,0,0,0,0,0,,9,32,36,35,0,0,,
,11,7.953,2.6,0.198,26,6.72,,,4,0,0,0.198,0,0,0,0,0,,10,36,40,37,2,5.405405405,,
,12,8.151,2.3,0.693,23,22.3725,,,3,0,0,0,6.237,1.221,0,0,0,,11,40,44,37,0,0,,
,13,8.844,1.3,0.957,13,6.72,,,2,0,0,3.663,0.561,0,2.046,0.165,0,,12,44,48,37,0,0,,
,14,9.801,2.3,0.693,23,6.72,,,1,0,2.871,5.379,0,0,2.178,3.432,0,,13,48,52,37,0,0,,
,15,10.494,2.7,0.132,27,29.83,,,,,,,,,,,,,14,52,56,37,0,0,,
,16,10.626,1.6,1.089,16,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,37,0,0,,
,17,11.715,1.3,0.759,13,22.3725,,,,1,2,3,4,5,6,7,8,,16,60,64,37,0,0,,
,18,12.474,2.4,0.231,24,10.03856097,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,64,68,37,0,0,,
,19,12.705,3.4,0.66,34,6.72,,,4,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,,18,68,72,37,0,0,,
,20,13.365,1.3,0.264,13,15.37035804,,,3,0.0,0.0,0.0,22.3,4.4,0.0,0.0,0.0,,19,72,76,37,0,0,,
,21,13.629,3.4,1.353,34,15.37035804,,,2,0.0,0.0,13.1,2.0,0.0,7.3,0.6,0.0,,20,76,80,37,0,0,,
,22,14.982,1.3,0.99,13,15.37035804,,,1,0.0,10.3,19.2,0.0,0.0,7.8,12.3,0.0,,,,,,,100,,
,23,15.972,3.4,0.957,34,15.37035804,,,,,,,,,,,,,,,,,,,,
,24,16.929,1.2,0.825,12,20.07712193,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,17.754,1.7,0.726,17,37.2875,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,18.48,1.2,0.858,12,37.2875,,,5,12,12,12,12,12,12,12,12,,,,,,,,,
,27,19.338,1.3,1.155,13,7.4575,,,4,12,12,10,12,12,12,12,12,,,,,,,,,
,28,20.493,1.7,0.759,17,29.83,,,3,12,12,12,1,8,12,12,12,,,,,,,,,
,29,21.252,1.3,0.396,13,29.83,,,2,12,12,3,9,12,7,11,12,,,,,,,,,
,30,21.648,1.2,1.188,12,7.4575,,,1,12,5,2,12,12,6,4,12,,,,,,,,,
,31,22.836,2.6,0.297,26,30.57756203,,,,,,,,,,,,,,,,,,,,
,32,23.133,3.4,0.561,34,16.35896161,,,,,,,,,,,,,,,,,,,,
,33,23.694,1.6,0.099,16,20.07712193,,,目視個所Ｔｏｐ　No.1,3.4,1,,5.1,12,,,,,,,,,,,,
,34,23.793,2.7,0.033,27,10.03856097,,,目視個所Ｔｏｐ　No.2,1.3,2,,4.1,12,,,,,,,,,,,,
,35,23.826,1.7,1.947,17,6.72,,,目視個所Ｔｏｐ　No.3,2.3,3,,3.1,12,,,,,,,,,,,,
,36,25.773,2.4,0.33,24,23.35994769,,,目視個所Ｔｏｐ　No.4,1.7,4,,2.1,12,,,,,,,,,,,,
,37,26.103,3.4,1.353,34,6.72,,,目視個所Ｔｏｐ　No.5,1.2,5,,1.1,12,,,,,,,,,,,,
,38,27.456,2.6,0.957,26,16.35896161,,,目視個所（累積ではない）,11,,,5.2,12,,,,,,,,,,,,
,39,28.413,3.4,0.495,34,16.35896161,,,非目視個所,29,,,4.2,12,,,,,,,,,,,,
,40,28.908,3.4,,,,,,合計,40,,,3.2,12,,,,,,,,,,,,
,観測時間［秒］,28.413,,,,,,,,,,,2.2,12,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,1.2,5,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,2.28,最大移動距離,37.29,,,,,,,5.3,12,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.49,平均移動距離,16.19,,,,,,,4.3,10,,,,,1,2,3,4,5,6,7,8
,,,,,距離標準偏差,8.94,,,,,,,3.3,12,,,,5,12,12,12,12,12,12,12,12
,,,,,,,,,,,,,2.3,3,,,,4,12,12,10,12,12,12,12,12
