,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,5.685,9.9,0.942,99,,28.266,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,6.627,4.5,0.066,45,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,6.693,3.5,0.495,35,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,18,18,40.90909091,,
,4,7.188,3.4,1.056,34,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,24,6,13.63636364,,
,5,8.244,2.3,0.528,23,10.03856097,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,30,6,13.63636364,,
,6,8.772,3.4,0.462,34,10.03856097,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,31,1,2.272727273,,
,7,9.234,2.3,1.386,23,10.03856097,,,,,,,,,,,,,6,20,24,34,3,6.818181818,,
,8,10.62,2.6,1.122,26,22.3725,,,目視時間の分布（秒）,,27.324,,,,,,,,7,24,28,36,2,4.545454545,,
,9,11.742,3.5,0.594,35,10.03856097,,,,1,2,3,4,5,6,7,8,,8,28,32,40,4,9.090909091,,
,10,12.336,3.4,0.627,34,7.4575,,,5,0.792,1.452,2.277,0,0.594,0.924,1.089,0.693,,9,32,36,40,0,0,,
,11,12.963,4.2,0.33,42,16.35896161,,,4,0,0.33,1.452,0,0.066,0.297,0,0,,10,36,40,42,2,4.545454545,,
,12,13.293,3.2,0.99,32,6.72,,,3,0,1.353,2.145,3.234,2.475,1.485,0,0,,11,40,44,42,0,0,,
,13,14.283,5.2,0.594,52,13.44,,,2,0,0,2.409,0,0,1.122,0.957,0.594,,12,44,48,44,2,4.545454545,,
