,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,6.305,9.9,0.891,99,,28.314,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,7.196,1.5,0.198,15,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,7.394,2.3,0.165,23,16.35896161,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,7,7,16.27906977,,
,4,7.559,1.3,0.198,13,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,13,6,13.95348837,,
,5,7.757,1.4,0.792,14,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,21,8,18.60465116,,
,6,8.549,3.2,0.693,32,20.07712193,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,23,2,4.651162791,,
,7,9.242,1.3,0.594,13,15.37035804,,,,,,,,,,,,,6,20,24,34,11,25.58139535,,
,8,9.836,2.4,0.594,24,10.03856097,,,目視時間の分布（秒）,,24.684,,,,,,,,7,24,28,35,1,2.325581395,,
,9,10.43,4.2,0.726,42,20.07712193,,,,1,2,3,4,5,6,7,8,,8,28,32,39,4,9.302325581,,
,10,11.156,4.5,0.495,45,22.3725,,,5,0,0,0,0,0,0,0,0,,9,32,36,40,1,2.325581395,,
,11,11.651,3.1,0.528,31,30.57756203,,,4,1.089,1.155,1.188,0,0.495,1.683,0,0,,10,36,40,43,3,6.976744186,,
,12,12.179,3.3,0.462,33,14.915,,,3,0.528,2.31,0.726,1.287,0.759,1.188,0,0.429,,11,40,44,43,0,0,,
,13,12.641,3.6,0.561,36,22.3725,,,2,0,0.429,1.881,0.594,0.396,0.594,0,0,,12,44,48,43,0,0,,
