,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.419,1.4,0.132,14,,28.215,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.551,1.2,0.198,12,14.915,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.749,1.3,1.584,13,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,53,53,70.66666667,,
,4,3.333,1.4,0.099,14,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,68,15,20,,
,5,3.432,1.5,0.099,15,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,73,5,6.666666667,,
,6,3.531,1.6,0.231,16,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,73,0,0,,
,7,3.762,1.7,0.198,17,7.4575,,,,,,,,,,,,,6,20,24,74,1,1.333333333,,
,8,3.96,1.6,0.066,16,7.4575,,,目視時間の分布（秒）,,25.146,,,,,,,,7,24,28,74,0,0,,
,9,4.026,1.5,0.066,15,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,74,0,0,,
,10,4.092,2.5,0.099,25,6.72,,,5,0.231,0,0,0,0,0,0,0,,9,32,36,74,0,0,,
,11,4.191,2.4,0.066,24,7.4575,,,4,0,0.363,0.066,0,0,0,0,0,,10,36,40,75,1,1.333333333,,
,12,4.257,2.3,0.165,23,7.4575,,,3,0,0,0.462,3.267,0.792,0,0,0,,11,40,44,75,0,0,,
,13,4.422,1.3,0.099,13,6.72,,,2,0.066,2.013,2.112,1.914,0.495,0.066,0.033,0,,12,44,48,75,0,0,,
,14,4.521,1.2,0.462,12,7.4575,,,1,0,3.036,6.138,1.487,0.561,0.627,0.526,0.891,,13,48,52,75,0,0,,
,15,4.983,2.2,0.165,22,6.72,,,,,,,,,,,,,14,52,56,75,0,0,,
,16,5.148,3.3,0.132,33,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,75,0,0,,
,17,5.28,3.4,0.297,34,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,75,0,0,,
,18,5.577,3.5,0.429,35,7.4575,,,5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,64,68,75,0,0,,
,19,6.006,3.4,0.462,34,7.4575,,,4,0.0,1.4,0.3,0.0,0.0,0.0,0.0,0.0,,18,68,72,75,0,0,,
,20,6.468,3.3,0.099,33,7.4575,,,3,0.0,0.0,1.8,13.0,3.1,0.0,0.0,0.0,,19,72,76,75,0,0,,
,21,6.567,2.2,0.627,22,10.03856097,,,2,0.3,8.0,8.4,7.6,2.0,0.3,0.1,0.0,,20,76,80,75,0,0,,
,22,7.194,1.2,0.132,12,6.72,,,1,0.0,12.1,24.4,5.9,2.2,2.5,2.1,3.5,,,,,,,100,,
,23,7.326,1.3,0.099,13,7.4575,,,,,,,,,,,,,,,,,,,,
,24,7.425,1.4,0.429,14,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,7.854,1.3,0.825,13,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,8.679,2.4,0.66,24,10.03856097,,,5,16,21,21,21,21,21,21,21,,,,,,,,,
,27,9.339,2.3,0.165,23,7.4575,,,4,21,15,18,21,21,21,21,21,,,,,,,,,
,28,9.504,1.3,0.594,13,6.72,,,3,21,21,14,2,9,21,21,21,,,,,,,,,
,29,10.098,2.3,0.363,23,6.72,,,2,17,5,4,6,13,19,20,21,,,,,,,,,
,30,10.461,1.3,0.396,13,6.72,,,1,21,3,1,7,11,10,12,8,,,,,,,,,
,31,10.857,1.4,0.264,14,7.4575,,,,,,,,,,,,,,,,,,,,
,32,11.121,2.4,0.066,24,6.72,,,,,,,,,,,,,,,,,,,,
,33,11.187,3.4,0.528,34,6.72,,,目視個所Ｔｏｐ　No.1,1.3,1,,5.1,16,,,,,,,,,,,,
,34,11.715,4.3,0.066,43,10.03856097,,,目視個所Ｔｏｐ　No.2,3.4,2,,4.1,21,,,,,,,,,,,,
,35,11.781,4.2,0.165,42,7.4575,,,目視個所Ｔｏｐ　No.3,1.2,3,,3.1,21,,,,,,,,,,,,
,36,11.946,5.1,0.231,51,10.03856097,,,目視個所Ｔｏｐ　No.4,2.3,4,,2.1,17,,,,,,,,,,,,
,37,12.177,4.2,0.198,42,10.03856097,,,目視個所Ｔｏｐ　No.5,2.2,5,,1.1,21,,,,,,,,,,,,
,38,12.375,3.3,0.231,33,10.03856097,,,目視個所（累積ではない）,20,,,5.2,21,,,,,,,,,,,,
,39,12.606,3.4,0.231,34,7.4575,,,非目視個所,20,,,4.2,15,,,,,,,,,,,,
,40,12.837,3.5,0.363,35,7.4575,,,合計,40,,,3.2,21,,,,,,,,,,,,
,41,13.2,2.5,0.033,25,6.72,,,,,,,2.2,5,,,,,,,,,,,,
,42,13.233,2.3,0.099,23,14.915,,,,,,,1.2,3,,,,,,,,,,,,
,43,13.332,1.3,1.848,13,6.72,,,,,,,5.3,21,,,,,,,,,,,,
,44,15.18,1.5,0.066,15,14.915,,,,,,,4.3,18,,,,,1,2,3,4,5,6,7,8
,45,15.246,1.6,0.231,16,7.4575,,,,,,,3.3,14,,,,5,16,21,21,21,21,21,21,21
,46,15.477,1.7,0.033,17,7.4575,,,,,,,2.3,4,,,,4,21,15,18,21,21,21,21,21
,47,15.51,1.6,0.099,16,7.4575,,,,,,,1.3,1,,,,3,21,21,14,2,9,21,21,21
,48,15.609,2.5,0.297,25,10.03856097,,,,,,,5.4,21,,,,2,17,5,4,6,13,19,20,21
,49,15.906,3.4,1.386,34,10.03856097,,,,,,,4.4,21,,,,1,21,3,1,7,11,10,12,8
,50,17.292,2.3,0.132,23,10.03856097,,,,,,,3.4,2,,,,,,,,,,,,
,51,17.424,1.3,0.528,13,6.72,,,,,,,2.4,6,,,,,,,,,,,,
,52,17.952,1.4,0.198,14,7.4575,,,,,,,1.4,7,,,,,,,,,,,,
,53,18.15,1.5,0.33,15,7.4575,,,,,,,5.5,21,,,,,,,,,,,,
,54,18.48,1.4,0.066,14,7.4575,,,,,,,4.5,21,,,,,,,,,,,,
,55,18.546,1.3,0.165,13,7.4575,,,,,,,3.5,9,,,,,,,,,,,,
,56,18.711,9.9,0.957,99,,,,,,,,2.5,13,,,,,,,,,,,,
,57,19.668,2.1,0.066,21,,,,,,,,1.5,11,,,,,,,,,,,,
,58,19.734,1.2,0.891,12,10.03856097,,,,,,,5.6,21,,,,,,,,,,,,
,59,20.625,2.2,0.759,22,6.72,,,,,,,4.6,21,,,,,,,,,,,,
,60,21.384,2.3,0.297,23,7.4575,,,,,,,3.6,21,,,,,,,,,,,,
,61,21.681,3.4,0.363,34,10.03856097,,,,,,,2.6,19,,,,,,,,,,,,
,62,22.044,2.3,0.066,23,10.03856097,,,,,,,1.6,10,,,,,,,,,,,,
,63,22.11,1.2,0.297,12,10.03856097,,,,,,,5.7,21,,,,,,,,,,,,
,64,22.407,0,2.112,0,,,,,,,,4.7,21,,,,,,,,,,,,
,65,24.519,1.2,0.66,12,,,,,,,,3.7,21,,,,,,,,,,,,
,66,25.179,1.4,0.299,14,14.915,,,,,,,2.7,20,,,,,,,,,,,,
,67,25.478,1.7,0.13,17,22.3725,,,,,,,1.7,12,,,,,,,,,,,,
,68,25.608,1.2,0.396,12,37.2875,,,,,,,5.8,21,,,,,,,,,,,,
,69,26.004,2.2,0.462,22,6.72,,,,,,,4.8,21,,,,,,,,,,,,
,70,26.466,2.3,0.33,23,7.4575,,,,,,,3.8,21,,,,,,,,,,,,
,71,26.796,2.4,0.429,24,7.4575,,,,,,,2.8,21,,,,,,,,,,,,
,72,27.225,2.3,0.495,23,7.4575,,,,,,,1.8,8,,,,,,,,,,,,
,73,27.72,2.4,0.693,24,7.4575,,,,,,総計,40,,,,,,,,,,,,,
,74,28.413,2.5,0.066,25,7.4575,,,,,,,,,,,,,,,,,,,,
,75,28.479,2.7,0.033,27,14.915,,,,,,,,,,,,,,,,,,,,
,76,28.512,1.7,0.132,17,6.72,,,,,,,,,,,,,,,,,,,,
,77,28.644,1.8,0.891,18,7.4575,,,,,,,,,,,,,,,,,,,,
,78,29.535,1.7,0.033,17,7.4575,,,,,,,,,,,,,,,,,,,,
,79,29.568,2.6,0.066,26,10.03856097,,,,,,,,,,,,,,,,,,,,
,80,29.634,2.5,0.594,25,7.4575,,,,,,,,,,,,,,,,,,,,
,81,30.228,3.5,0.198,35,6.72,,,,,,,,,,,,,,,,,,,,
,82,30.426,2.5,0.462,25,6.72,,,,,,,,,,,,,,,,,,,,
,83,30.888,3.5,0.143,35,6.72,,,,,,,,,,,,,,,,,,,,
,84,31.031,3.5,,35,,,,,,,,,,,,,,,,,,,,,
,観測時間［秒］,28.215,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,,,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,2.11,最大移動距離,37.29,,,,,,,,,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.39,平均移動距離,8.92,,,,,,,,,,,,,,,,,,,,
,,,,,距離標準偏差,4.22,,,,,,,,,,,,,,,,,,,,
