,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.475,1.5,0.033,15,,28.215,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.508,2.5,0.066,25,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.574,2.4,0.165,24,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,76,76,75.24752475,,
,4,2.739,2.3,0.33,23,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,89,13,12.87128713,,
,5,3.069,4.3,0.099,43,13.44,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,94,5,4.95049505,,
,6,3.168,4.4,0.132,44,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,96,2,1.98019802,,
,7,3.3,5.5,0.132,55,10.03856097,,,,,,,,,,,,,6,20,24,100,4,3.96039604,,
,8,3.432,5.6,0.297,56,7.4575,,,目視時間の分布（秒）,,25.311,,,,,,,,7,24,28,101,1,0.99009901,,
,9,3.729,4.6,0.297,46,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,101,0,0,,
,10,4.026,4.3,0.726,43,22.3725,,,5,0.396,0.231,0.264,0.198,0.297,0.858,0.858,0.264,,9,32,36,101,0,0,,
,11,4.752,4.1,0.099,41,14.915,,,4,0.099,0.198,0.825,1.221,0.858,0.99,0.33,0,,10,36,40,101,0,0,,
,12,4.851,3.1,0.099,31,6.72,,,3,0.099,0.66,3.564,1.023,1.023,1.221,0.198,0,,11,40,44,101,0,0,,
,13,4.95,0,0.099,0,,,,2,0.099,1.947,3.366,0.858,1.221,0.33,1.221,0.132,,12,44,48,101,0,0,,
,14,5.049,2.1,0.099,21,,,,1,0,0,0.165,0,0.297,0,0,0,,13,48,52,101,0,0,,
,15,5.148,3.3,0.198,33,16.35896161,,,,,,,,,,,,,14,52,56,101,0,0,,
,16,5.346,5.6,0.099,56,26.09908727,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,101,0,0,,
,17,5.445,5.7,0.297,57,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,101,0,0,,
,18,5.742,5.6,0.231,56,7.4575,,,5,1.6,0.9,1.0,0.8,1.2,3.4,3.4,1.0,,17,64,68,101,0,0,,
,19,5.973,4.6,0.165,46,6.72,,,4,0.4,0.8,3.3,4.8,3.4,3.9,1.3,0.0,,18,68,72,101,0,0,,
,20,6.138,5.6,0.099,56,6.72,,,3,0.4,2.6,14.1,4.0,4.0,4.8,0.8,0.0,,19,72,76,101,0,0,,
,21,6.237,5.7,0.033,57,7.4575,,,2,0.4,7.7,13.3,3.4,4.8,1.3,4.8,0.5,,20,76,80,101,0,0,,
,22,6.27,9.9,0.297,99,,,,1,0.0,0.0,0.7,0.0,1.2,0.0,0.0,0.0,,,,,,,100,,
,23,6.567,5.5,0.099,55,,,,,,,,,,,,,,,,,,,,,
,24,6.666,5.4,0.198,54,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,6.864,5.3,0.264,53,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,7.128,5.2,0.231,52,7.4575,,,5,17,24,23,26,20,12,13,22,,,,,,,,,
,27,7.359,4.2,0.198,42,6.72,,,4,30,25,15,6,14,10,18,33,,,,,,,,,
,28,7.557,5.1,0.396,51,10.03856097,,,3,30,16,1,8,9,5,27,33,,,,,,,,,
,29,7.953,4.4,0.429,44,23.35994769,,,2,32,3,2,11,4,18,7,29,,,,,,,,,
,30,8.382,4.5,0.528,45,7.4575,,,1,33,33,28,33,21,33,33,33,,,,,,,,,
,31,8.91,4.4,0.264,44,7.4575,,,,,,,,,,,,,,,,,,,,
,32,9.174,5.5,0.066,55,10.03856097,,,,,,,,,,,,,,,,,,,,
,33,9.24,5.6,0.132,56,7.4575,,,目視個所Ｔｏｐ　No.1,3.3,1,,5.1,17,,,,,,,,,,,,
,34,9.372,5.7,0.099,57,7.4575,,,目視個所Ｔｏｐ　No.2,2.3,2,,4.1,30,,,,,,,,,,,,
,35,9.471,0,0.231,0,,,,目視個所Ｔｏｐ　No.3,2.2,3,,3.1,30,,,,,,,,,,,,
,36,9.702,5.8,0.165,58,,,,目視個所Ｔｏｐ　No.4,2.5,4,,2.1,32,,,,,,,,,,,,
,37,9.867,5.7,0.132,57,7.4575,,,目視個所Ｔｏｐ　No.5,3.6,5,,1.1,33,,,,,,,,,,,,
,38,9.999,4.7,0.165,47,6.72,,,目視個所（累積ではない）,32,,,5.2,24,,,,,,,,,,,,
,39,10.164,4.6,0.165,46,7.4575,,,非目視個所,8,,,4.2,25,,,,,,,,,,,,
,40,10.329,4.5,0.066,45,7.4575,,,合計,40,,,3.2,16,,,,,,,,,,,,
,41,10.395,3.4,0.066,34,10.03856097,,,,,,,2.2,3,,,,,,,,,,,,
,42,10.461,3.3,0.594,33,7.4575,,,,,,,1.2,33,,,,,,,,,,,,
,43,11.055,3.4,0.33,34,7.4575,,,,,,,5.3,23,,,,,,,,,,,,
,44,11.385,3.3,0.759,33,7.4575,,,,,,,4.3,15,,,,,1,2,3,4,5,6,7,8
,45,12.144,2.3,0.363,23,6.72,,,,,,,3.3,1,,,,5,17,24,23,26,20,12,13,22
,46,12.507,3.3,0.528,33,6.72,,,,,,,2.3,2,,,,4,30,25,15,6,14,10,18,33
,47,13.035,2.3,0.627,23,6.72,,,,,,,1.3,28,,,,3,30,16,1,8,9,5,27,33
,48,13.662,3.3,0.495,33,6.72,,,,,,,5.4,26,,,,2,32,3,2,11,4,18,7,29
,49,14.157,3.2,0.33,32,7.4575,,,,,,,4.4,6,,,,1,33,33,28,33,21,33,33,33
,50,14.487,2.2,0.363,22,6.72,,,,,,,3.4,8,,,,,,,,,,,,
,51,14.85,2.3,1.056,23,7.4575,,,,,,,2.4,11,,,,,,,,,,,,
,52,15.906,1.3,0.165,13,6.72,,,,,,,1.4,33,,,,,,,,,,,,
,53,16.071,2.4,0.561,24,10.03856097,,,,,,,5.5,20,,,,,,,,,,,,
,54,16.632,2.5,0.429,25,7.4575,,,,,,,4.5,14,,,,,,,,,,,,
,55,17.061,1.5,0.264,15,6.72,,,,,,,3.5,9,,,,,,,,,,,,
,56,17.325,2.5,0.066,25,6.72,,,,,,,2.5,4,,,,,,,,,,,,
,57,17.391,2.6,0.033,26,7.4575,,,,,,,1.5,21,,,,,,,,,,,,
,58,17.424,2.4,0.132,24,14.915,,,,,,,5.6,12,,,,,,,,,,,,
,59,17.556,2.3,0.462,23,7.4575,,,,,,,4.6,10,,,,,,,,,,,,
,60,18.018,3.3,0.099,33,6.72,,,,,,,3.6,5,,,,,,,,,,,,
,61,18.117,3.4,0.132,34,7.4575,,,,,,,2.6,18,,,,,,,,,,,,
,62,18.249,3.3,0.198,33,7.4575,,,,,,,1.6,33,,,,,,,,,,,,
,63,18.447,3.2,0.297,32,7.4575,,,,,,,5.7,13,,,,,,,,,,,,
,64,18.744,3.4,0.033,34,14.915,,,,,,,4.7,18,,,,,,,,,,,,
,65,18.777,3.5,0.099,35,7.4575,,,,,,,3.7,27,,,,,,,,,,,,
,66,18.876,3.6,0.198,36,7.4575,,,,,,,2.7,7,,,,,,,,,,,,
,67,19.074,3.7,0.198,37,7.4575,,,,,,,1.7,33,,,,,,,,,,,,
,68,19.272,3.6,0.033,36,7.4575,,,,,,,5.8,22,,,,,,,,,,,,
,69,19.305,4.5,0.264,45,10.03856097,,,,,,,4.8,33,,,,,,,,,,,,
,70,19.569,4.4,0.297,44,7.4575,,,,,,,3.8,33,,,,,,,,,,,,
,71,19.866,3.5,0.165,35,10.03856097,,,,,,,2.8,29,,,,,,,,,,,,
,72,20.031,2.5,0.264,25,6.72,,,,,,,1.8,33,,,,,,,,,,,,
,73,20.295,2.6,0.066,26,7.4575,,,,,,総計,40,,,,,,,,,,,,,
,74,20.361,2.3,0.33,23,22.3725,,,,,,,,,,,,,,,,,,,,
,75,20.691,2.2,0.957,22,7.4575,,,,,,,,,,,,,,,,,,,,
,76,21.648,3.3,0.264,33,10.03856097,,,,,,,,,,,,,,,,,,,,
,77,21.912,3.4,0.066,34,7.4575,,,,,,,,,,,,,,,,,,,,
,78,21.978,3.5,0.132,35,7.4575,,,,,,,,,,,,,,,,,,,,
,79,22.11,3.6,0.165,36,7.4575,,,,,,,,,,,,,,,,,,,,
,80,22.275,2.6,0.033,26,6.72,,,,,,,,,,,,,,,,,,,,
,81,22.308,2.7,0.528,27,7.4575,,,,,,,,,,,,,,,,,,,,
,82,22.836,2.6,0.099,26,7.4575,,,,,,,,,,,,,,,,,,,,
,83,22.935,2.5,0.33,25,7.4575,,,,,,,,,,,,,,,,,,,,
,84,23.265,2.2,0.363,22,22.3725,,,,,,,,,,,,,,,,,,,,
,85,23.628,3.2,0.033,32,6.72,,,,,,,,,,,,,,,,,,,,
,86,23.661,3.3,0.33,33,7.4575,,,,,,,,,,,,,,,,,,,,
,87,23.991,3.4,0.033,34,7.4575,,,,,,,,,,,,,,,,,,,,
,88,24.024,3.5,0.231,35,7.4575,,,,,,,,,,,,,,,,,,,,
,89,24.255,3.6,0.099,36,7.4575,,,,,,,,,,,,,,,,,,,,
,90,24.354,2.5,0.066,25,10.03856097,,,,,,,,,,,,,,,,,,,,
,91,24.42,2.7,0.693,27,14.915,,,,,,,,,,,,,,,,,,,,
,92,25.113,3.6,0.363,36,10.03856097,,,,,,,,,,,,,,,,,,,,
,93,25.476,3.5,0.198,35,7.4575,,,,,,,,,,,,,,,,,,,,
,94,25.674,3.4,0.264,34,7.4575,,,,,,,,,,,,,,,,,,,,
,95,25.938,2.3,0.099,23,10.03856097,,,,,,,,,,,,,,,,,,,,
