,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.188,4.5,0.132,45,,28.38,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.32,4.4,0.495,44,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.815,3.4,0.297,34,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,53,53,79.10447761,,
,4,2.112,3.5,2.013,35,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,62,9,13.43283582,,
,5,4.125,3.4,0.462,34,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,65,3,4.47761194,,
,6,4.587,3.3,0.231,33,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,65,0,0,,
,7,4.818,3.2,0.693,32,7.4575,,,,,,,,,,,,,6,20,24,66,1,1.492537313,,
,8,5.511,2.2,0.066,22,6.72,,,目視時間の分布（秒）,,27.852,,,,,,,,7,24,28,66,0,0,,
,9,5.577,2.3,0.33,23,7.4575,,,,1,2,3,4,5,6,7,8,,8,28,32,67,1,1.492537313,,
,10,5.907,2.4,0.561,24,7.4575,,,5,0,0,0,0,0,0.066,0,0,,9,32,36,67,0,0,,
,11,6.468,2.5,0.066,25,7.4575,,,4,0,0,0,1.815,0.759,0,0.924,0,,10,36,40,67,0,0,,
,12,6.534,2.6,0.066,26,7.4575,,,3,0,1.485,1.782,6.402,3.531,1.683,0.99,0.264,,11,40,44,67,0,0,,
,13,6.6,2.7,0.495,27,7.4575,,,2,0,0.33,2.31,2.112,0.198,0.363,1.287,0.396,,12,44,48,67,0,0,,
,14,7.095,3.7,0.066,37,6.72,,,1,0,0,1.089,0.066,0,0,0,0,,13,48,52,67,0,0,,
,15,7.161,4.7,0.858,47,6.72,,,,,,,,,,,,,14,52,56,67,0,0,,
,16,8.019,5.6,0.066,56,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,67,0,0,,
,17,8.085,4.5,0.627,45,10.03856097,,,,1,2,3,4,5,6,7,8,,16,60,64,67,0,0,,
,18,8.712,4.4,0.198,44,7.4575,,,5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,,17,64,68,67,0,0,,
,19,8.91,3.4,0.165,34,6.72,,,4,0.0,0.0,0.0,6.5,2.7,0.0,3.3,0.0,,18,68,72,67,0,0,,
,20,9.075,2.4,0.66,24,6.72,,,3,0.0,5.3,6.4,23.0,12.7,6.0,3.6,0.9,,19,72,76,67,0,0,,
,21,9.735,2.3,0.099,23,7.4575,,,2,0.0,1.2,8.3,7.6,0.7,1.3,4.6,1.4,,20,76,80,67,0,0,,
,22,9.834,3.3,0.396,33,6.72,,,1,0.0,0.0,3.9,0.2,0.0,0.0,0.0,0.0,,,,,,,100,,
,23,10.23,3.6,0.132,36,22.3725,,,,,,,,,,,,,,,,,,,,
,24,10.362,3.7,0.528,37,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,10.89,3.8,0.264,38,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,11.154,3.7,0.099,37,7.4575,,,5,21,21,21,21,21,19,21,21,,,,,,,,,
,27,11.253,2.7,0.528,27,6.72,,,4,21,21,21,5,13,21,12,21,,,,,,,,,
