,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.221,1.4,0.264,14,,28.314,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.485,2.4,0.264,24,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.749,3.4,0.132,34,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,74,74,77.08333333,,
,4,1.881,2.4,0.165,24,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,88,14,14.58333333,,
,5,2.046,2.3,0.429,23,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,93,5,5.208333333,,
,6,2.475,4.4,0.066,44,15.37035804,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,94,1,1.041666667,,
,7,2.541,4.5,0.066,45,7.4575,,,,,,,,,,,,,6,20,24,96,2,2.083333333,,
,8,2.607,3.5,0.297,35,6.72,,,目視時間の分布（秒）,,28.314,,,,,,,,7,24,28,96,0,0,,
,9,2.904,2.6,0.099,26,10.03856097,,,,1,2,3,4,5,6,7,8,,8,28,32,96,0,0,,
,10,3.003,2.7,0.396,27,7.4575,,,5,0,0,0,0,0,0,0,0,,9,32,36,96,0,0,,
,11,3.399,2.5,0.033,25,14.915,,,4,0,0,0,0.066,0.132,0.264,0.099,0,,10,36,40,96,0,0,,
,12,3.432,2.4,0.066,24,7.4575,,,3,0,0.66,2.442,6.336,1.782,0.099,0.858,0,,11,40,44,96,0,0,,
,13,3.498,2.3,0.363,23,7.4575,,,2,0,0.993,4.092,1.122,1.485,1.419,1.122,0.231,,12,44,48,96,0,0,,
,14,3.861,1.2,0.033,12,10.03856097,,,1,0.099,3.198,0.231,0.264,0.066,0.462,0.132,0.66,,13,48,52,96,0,0,,
,15,3.894,1.1,0.099,11,7.4575,,,,,,,,,,,,,14,52,56,96,0,0,,
,16,3.993,2.2,0.099,22,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,96,0,0,,
,17,4.092,2.3,0.462,23,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,96,0,0,,
,18,4.554,3.4,0.165,34,10.03856097,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,64,68,96,0,0,,
,19,4.719,3.5,0.528,35,7.4575,,,4,0.0,0.0,0.0,0.2,0.5,0.9,0.3,0.0,,18,68,72,96,0,0,,
,20,5.247,3.4,0.396,34,7.4575,,,3,0.0,2.3,8.6,22.4,6.3,0.3,3.0,0.0,,19,72,76,96,0,0,,
,21,5.643,3.3,0.231,33,7.4575,,,2,0.0,3.5,14.5,4.0,5.2,5.0,4.0,0.8,,20,76,80,96,0,0,,
,22,5.874,2.3,1.155,23,6.72,,,1,0.3,11.3,0.8,0.9,0.2,1.6,0.5,2.3,,,,,,,100,,
,23,7.029,2.2,0.297,22,7.4575,,,,,,,,,,,,,,,,,,,,
,24,7.326,2.3,0.132,23,7.4575,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,7.458,2.4,0.033,24,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,26,7.491,2.5,0.264,25,7.4575,,,5,26,26,26,26,26,26,26,26,,,,,,,,,
,27,7.755,3.5,0.462,35,6.72,,,4,26,26,26,24,20,16,21,26,,,,,,,,,
,28,8.217,3.4,0.693,34,7.4575,,,3,26,12,4,1,5,21,11,26,,,,,,,,,
,29,8.91,2.5,0.165,25,10.03856097,,,2,26,10,2,8,6,7,9,17,,,,,,,,,
,30,9.075,2.6,0.231,26,7.4575,,,1,23,3,17,15,25,14,19,13,,,,,,,,,
,31,9.306,1.6,0.462,16,6.72,,,,,,,,,,,,,,,,,,,,
,32,9.768,2.6,0.429,26,6.72,,,,,,,,,,,,,,,,,,,,
,33,10.197,2.5,0.264,25,7.4575,,,目視個所Ｔｏｐ　No.1,3.4,1,,5.1,26,,,,,,,,,,,,
,34,10.461,2.4,0.198,24,7.4575,,,目視個所Ｔｏｐ　No.2,2.3,2,,4.1,26,,,,,,,,,,,,
,35,10.659,3.4,0.231,34,6.72,,,目視個所Ｔｏｐ　No.3,1.2,3,,3.1,26,,,,,,,,,,,,
,36,10.89,2.3,0.66,23,10.03856097,,,目視個所Ｔｏｐ　No.4,3.3,4,,2.1,26,,,,,,,,,,,,
,37,11.55,3.3,0.099,33,6.72,,,目視個所Ｔｏｐ　No.5,3.5,5,,1.1,23,,,,,,,,,,,,
,38,11.649,3.2,0.264,32,7.4575,,,目視個所（累積ではない）,25,,,5.2,26,,,,,,,,,,,,
,39,11.913,3.3,0.132,33,7.4575,,,非目視個所,15,,,4.2,26,,,,,,,,,,,,
,40,12.045,3.4,0.198,34,7.4575,,,合計,40,,,3.2,12,,,,,,,,,,,,
,41,12.243,3.5,0.165,35,7.4575,,,,,,,2.2,10,,,,,,,,,,,,
,42,12.408,3.6,0.099,36,7.4575,,,,,,,1.2,3,,,,,,,,,,,,
,43,12.507,3.7,0.066,37,7.4575,,,,,,,5.3,26,,,,,,,,,,,,
,44,12.573,2.7,0.231,27,6.72,,,,,,,4.3,26,,,,,1,2,3,4,5,6,7,8
,45,12.804,3.7,0.231,37,6.72,,,,,,,3.3,4,,,,5,26,26,26,26,26,26,26,26
,46,13.035,2.7,0.099,27,6.72,,,,,,,2.3,2,,,,4,26,26,26,24,20,16,21,26
,47,13.134,2.8,0.231,28,7.4575,,,,,,,1.3,17,,,,3,26,12,4,1,5,21,11,26
,48,13.365,2.6,0.033,26,14.915,,,,,,,5.4,26,,,,2,26,10,2,8,6,7,9,17
,49,13.398,2.5,0.264,25,7.4575,,,,,,,4.4,24,,,,1,23,3,17,15,25,14,19,13
