,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.079,1.2,0.033,12,,28.347,,格子番号の位置,,,,,,,,,,,以上,未満,累積,頻度,%,,
,2,2.112,1.4,0.297,14,14.915,,,,1,2,3,4,5,6,7,8,,1,0,4,0,0,0,,
,3,2.409,1.3,1.155,13,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,2,4,8,68,68,77.27272727,,
,4,3.564,1.2,0.132,12,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,3,8,12,81,13,14.77272727,,
,5,3.696,1.3,0.231,13,7.4575,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,4,12,16,88,7,7.954545455,,
,6,3.927,1.4,0.33,14,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,5,16,20,88,0,0,,
,7,4.257,2.4,0.627,24,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,6,20,24,88,0,0,,
,8,4.884,3.4,0.627,34,6.72,,,,,,,,,,,,,7,24,28,88,0,0,,
,9,5.511,2.3,0.231,23,10.03856097,,,目視時間の分布（秒）,,28.182,,,,,,,,8,28,32,88,0,0,,
,10,5.742,2.4,0.066,24,7.4575,,,,1,2,3,4,5,6,7,8,,9,32,36,88,0,0,,
,11,5.808,3.4,0.033,34,6.72,,,5,0,0,0,0,0,0,0,0,,10,36,40,88,0,0,,
,12,5.841,3.3,0.165,33,7.4575,,,4,0,0.429,0.297,0,0.066,0,0,0,,11,40,44,88,0,0,,
,13,6.006,2.3,0.429,23,6.72,,,3,0,2.376,2.442,2.112,0.165,0.759,0.066,0,,12,44,48,88,0,0,,
,14,6.435,2.2,0.132,22,7.4575,,,2,0.132,2.112,4.422,1.617,0.693,1.023,0.297,0,,13,48,52,88,0,0,,
,15,6.567,3.2,0.33,32,6.72,,,1,0,2.574,3.795,1.221,0.66,0.099,0.825,0,,14,52,56,88,0,0,,
,16,6.897,2.2,0.528,22,6.72,,,,,,,,,,,,,15,56,60,88,0,0,,
,17,7.425,2.3,0.165,23,7.4575,,,目視時間の分布（%）,,100,,,,,,,,16,60,64,88,0,0,,
,18,7.59,2.4,0.132,24,7.4575,,,,1,2,3,4,5,6,7,8,,17,64,68,88,0,0,,
,19,7.722,2.5,0.132,25,7.4575,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18,68,72,88,0,0,,
,20,7.854,2.6,0.198,26,7.4575,,,4,0.0,1.5,1.1,0.0,0.2,0.0,0.0,0.0,,19,72,76,88,0,0,,
,21,8.052,2.5,0.033,25,7.4575,,,3,0.0,8.4,8.7,7.5,0.6,2.7,0.2,0.0,,20,76,80,88,0,0,,
,22,8.085,2.4,0.099,24,7.4575,,,2,0.5,7.5,15.7,5.7,2.5,3.6,1.1,0.0,,,,,,,100,,
,23,8.184,1.3,0.726,13,10.03856097,,,1,0.0,9.1,13.5,4.3,2.3,0.4,2.9,0.0,,,,,,,,,
,24,8.91,2.3,0.693,23,6.72,,,,,,,,,,,,,,,,,,,,
,25,9.603,1.4,0.396,14,10.03856097,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,26,9.999,1.3,0.957,13,7.4575,,,,1,2,3,4,5,6,7,8,,,,,,,,,
,27,10.956,1.4,0.132,14,7.4575,,,5,23,23,23,23,23,23,23,23,,,,,,,,,
,28,11.088,1.5,0.396,15,7.4575,,,4,23,15,16,23,21,23,23,23,,,,,,,,,
,29,11.484,2.4,0.264,24,10.03856097,,,3,23,5,4,6,18,12,21,23,,,,,,,,,
,30,11.748,2.3,0.462,23,7.4575,,,2,19,7,1,8,13,10,17,23,,,,,,,,,
,31,12.21,3.3,0.132,33,6.72,,,1,23,3,2,9,14,20,11,23,,,,,,,,,
,32,12.342,2.2,0.33,22,10.03856097,,,,,,,,,,,,,,,,,,,,
,33,12.672,2.3,0.396,23,7.4575,,,,,,,,,,,,,,,,,,,,
,34,13.068,2.2,0.231,22,7.4575,,,目視個所Ｔｏｐ　No.1,2.3,1,,5.1,23,,,,,,,,,,,,
,35,13.299,2.4,0.132,24,14.915,,,目視個所Ｔｏｐ　No.2,1.3,2,,4.1,23,,,,,,,,,,,,
,36,13.431,2.6,0.165,26,14.915,,,目視個所Ｔｏｐ　No.3,1.2,3,,3.1,23,,,,,,,,,,,,
,37,13.596,1.7,0.165,17,10.03856097,,,目視個所Ｔｏｐ　No.4,3.3,4,,2.1,19,,,,,,,,,,,,
,38,13.761,2.7,0.066,27,6.72,,,目視個所Ｔｏｐ　No.5,3.2,5,,1.1,23,,,,,,,,,,,,
,39,13.827,2.6,0.066,26,7.4575,,,目視個所（累積ではない）,22,,,5.2,23,,,,,,,,,,,,
,40,13.893,3.6,0.297,36,6.72,,,非目視個所,18,,,4.2,15,,,,,,,,,,,,
,41,14.19,3.5,0.165,35,7.4575,,,合計,40,,,3.2,5,,,,,,,,,,,,
,42,14.355,3.4,0.066,34,7.4575,,,,,,,2.2,7,,,,,,,,,,,,
,43,14.421,2.3,0.429,23,10.03856097,,,,,,,1.2,3,,,,,,,,,,,,
,44,14.85,2.2,0.231,22,7.4575,,,,,,,5.3,23,,,,,,,,,,,,
,45,15.081,3.2,0.264,32,6.72,,,,,,,4.3,16,,,,,1,2,3,4,5,6,7,8
,46,15.345,2.2,0.066,22,6.72,,,,,,,3.3,4,,,,5,23,23,23,23,23,23,23,23
,47,15.411,2.1,0.132,21,7.4575,,,,,,,2.3,1,,,,4,23,15,16,23,21,23,23,23
,48,15.543,2.2,0.33,22,7.4575,,,,,,,1.3,2,,,,3,23,5,4,6,18,12,21,23
,49,15.873,3.3,0.363,33,10.03856097,,,,,,,5.4,23,,,,2,19,7,1,8,13,10,17,23
,50,16.236,3.4,1.056,34,7.4575,,,,,,,4.4,23,,,,1,23,3,2,9,14,20,11,23
,51,17.292,3.3,0.264,33,7.4575,,,,,,,3.4,6,,,,,,,,,,,,
,52,17.556,2.2,0.264,22,10.03856097,,,,,,,2.4,8,,,,,,,,,,,,
,53,17.82,1.2,1.617,12,6.72,,,,,,,1.4,9,,,,,,,,,,,,
,54,19.437,1.3,0.363,13,7.4575,,,,,,,5.5,23,,,,,,,,,,,,
,55,19.8,1.5,0.099,15,14.915,,,,,,,4.5,21,,,,,,,,,,,,
,56,19.899,1.6,0.099,16,7.4575,,,,,,,3.5,18,,,,,,,,,,,,
,57,19.998,1.7,0.66,17,7.4575,,,,,,,2.5,13,,,,,,,,,,,,
,58,20.658,3.7,0.066,37,13.44,,,,,,,1.5,14,,,,,,,,,,,,
,59,20.724,3.6,0.462,36,7.4575,,,,,,,5.6,23,,,,,,,,,,,,
,60,21.186,4.5,0.066,45,10.03856097,,,,,,,4.6,23,,,,,,,,,,,,
,61,21.252,3.4,0.132,34,10.03856097,,,,,,,3.6,12,,,,,,,,,,,,
,62,21.384,3.3,0.363,33,7.4575,,,,,,,2.6,10,,,,,,,,,,,,
,63,21.747,3.2,0.132,32,7.4575,,,,,,,1.6,20,,,,,,,,,,,,
,64,21.879,4.2,0.033,42,6.72,,,,,,,5.7,23,,,,,,,,,,,,
,65,21.912,4.3,0.297,43,7.4575,,,,,,,4.7,23,,,,,,,,,,,,
,66,22.209,3.3,0.165,33,6.72,,,,,,,3.7,21,,,,,,,,,,,,
,67,22.374,2.3,0.132,23,6.72,,,,,,,2.7,17,,,,,,,,,,,,
,68,22.506,1.3,0.132,13,6.72,,,,,,,1.7,11,,,,,,,,,,,,
,69,22.638,1.2,0.495,12,7.4575,,,,,,,5.8,23,,,,,,,,,,,,
,70,23.133,2.3,0.033,23,10.03856097,,,,,,,4.8,23,,,,,,,,,,,,
,71,23.166,3.3,0.297,33,6.72,,,,,,,3.8,23,,,,,,,,,,,,
,72,23.463,3.4,0.198,34,7.4575,,,,,,,2.8,23,,,,,,,,,,,,
,73,23.661,2.4,0.033,24,6.72,,,,,,,1.8,23,,,,,,,,,,,,
,74,23.694,2.5,0.429,25,7.4575,,,,,,総計,40,,,,,,,,,,,,,
,75,24.123,2.4,0.066,24,7.4575,,,,,,,,,,,,,,,,,,,,
,76,24.189,1.4,0.066,14,6.72,,,,,,,,,,,,,,,,,,,,
,77,24.255,1.3,0.198,13,7.4575,,,,,,,,,,,,,,,,,,,,
,78,24.453,1.2,0.297,12,7.4575,,,,,,,,,,,,,,,,,,,,
,79,24.75,0,0.165,0,,,,,,,,,,,,,,,,,,,,,
,80,24.915,1.3,0.033,13,,,,,,,,,,,,,,,,,,,,,
,81,24.948,1.5,0.165,15,14.915,,,,,,,,,,,,,,,,,,,,
,82,25.113,2.6,0.594,26,10.03856097,,,,,,,,,,,,,,,,,,,,
,83,25.707,2.7,0.231,27,7.4575,,,,,,,,,,,,,,,,,,,,
,84,25.938,2.5,0.099,25,14.915,,,,,,,,,,,,,,,,,,,,
,85,26.037,2.4,0.198,24,7.4575,,,,,,,,,,,,,,,,,,,,
,86,26.235,2.3,1.452,23,7.4575,,,,,,,,,,,,,,,,,,,,
,87,27.687,3.3,0.693,33,6.72,,,,,,,,,,,,,,,,,,,,
,88,28.38,3.2,0.264,32,7.4575,,,,,,,,,,,,,,,,,,,,
,89,28.644,4.2,0.396,42,6.72,,,,,,,,,,,,,,,,,,,,
,90,29.04,3.2,1.386,32,6.72,,,,,,,,,,,,,,,,,,,,
,91,30.426,3.3,0.495,33,7.4575,,,,,,,,,,,,,,,,,,,,
,92,30.921,2.3,0.165,23,6.72,,,,,,,,,,,,,,,,,,,,
,93,31.086,2.4,0.462,24,7.4575,,,,,,,,,,,,,,,,,,,,
,94,31.548,2.3,0.264,23,7.4575,,,,,,,,,,,,,,,,,,,,
,95,31.812,2.2,0.099,22,7.4575,,,,,,,,,,,,,,,,,,,,
,96,31.911,1.2,0.121,12,6.72,,,,,,,,,,,,,,,,,,,,
,97,32.032,1.3,,13,7.4575,,,,,,,,,,,,,,,,,,,,
,観測時間［秒］,28.347,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,,,,,,,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,1.62,最大移動距離,14.92,,,,,,,,,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,0.31,平均移動距離,8.22,,,,,,,,,,,,,,,,,,,,
,,,,,距離標準偏差,2.18,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,原本再生時間,28.245,秒,,9.9のカウント数,0,,,,,,,,,,,,,,,,,,,,
,観察時間,28.347,秒,,9.9の秒数,0,,,,,,,,,,,,,,,,,,,,
,観察割合,1.004,,,0のカウント数,1,,,,,,,,,,,,,,,,,,,,
,,,,,0の秒数,0.165,,,,,,,,,,,,,,,,,,,,
,総ロスト時間［秒］,0.165,,原本再生に占める9.9の割合,,0.000,,,,,,,,,,,,,,,,,,,,
,原本再生に占めるロスト割合,0.006,,観察時間に占める9.9の割合,,0.000,,,,,,,,,,,,,,,,,,,,
,観察時間に占めるロスト割合,0.006,,原本再生に占める0の割合,,0.006,,,,,,,,,,,,,,,,,,,,
,,,,観察時間に占める0の割合,,0.006,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,チェックデジット,28.182,,,,,,,,,,,,,,,,,,,,,
,,,,OK,28.182,,,,,,,,,,,,,,,,,,,,,
,,,,,28.182,,,,,,,,,,,,,,,,,,,,,
