,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.891,2.4,1.287,24,,29.205,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,2.178,2.3,0.264,23,7.4575,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,2.442,2.4,0.99,24,7.4575,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,48,48,82.75862069,,
,4,3.432,1.4,0.462,14,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,54,6,10.34482759,,
,5,3.894,1.3,0.132,13,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,57,3,5.172413793,,
,6,4.026,2.3,0.099,23,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,58,1,1.724137931,,
,7,4.125,2.4,0.198,24,7.4575,,,,,,,,,,,,,6,20,24,58,0,0,,
,8,4.323,2.5,0.363,25,7.4575,,,目視時間の分布（秒）,,29.205,,,,,,,,7,24,28,58,0,0,,
,9,4.686,3.5,0.165,35,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,58,0,0,,
,10,4.851,3.6,0.429,36,7.4575,,,5,0,0,0,0,0,0,0,0,,9,32,36,58,0,0,,
,11,5.28,3.5,0.891,35,7.4575,,,4,0,0,0,0,0,0,0,0,,10,36,40,58,0,0,,
,12,6.171,3.6,0.165,36,7.4575,,,3,0,0.99,1.287,3.366,2.541,0.957,0.858,0,,11,40,44,58,0,0,,
,13,6.336,3.7,0.231,37,7.4575,,,2,0,1.089,3.3,5.478,0.561,0.264,0,0,,12,44,48,58,0,0,,
,14,6.567,3.5,0.33,35,14.915,,,1,0,1.32,4.158,1.023,0.297,0,1.716,0,,13,48,52,58,0,0,,
,15,6.897,3.4,0.264,34,7.4575,,,,,,,,,,,,,14,52,56,58,0,0,,
,16,7.161,3.3,0.462,33,7.4575,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,58,0,0,,
,17,7.623,3.2,0.099,32,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,58,0,0,,
,18,7.722,2.2,0.627,22,6.72,,,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17,64,68,58,0,0,,
,19,8.349,2.3,0.099,23,7.4575,,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18,68,72,58,0,0,,
,20,8.448,2.4,0.165,24,7.4575,,,3,0.0,3.4,4.4,11.5,8.7,3.3,2.9,0.0,,19,72,76,58,0,0,,
,21,8.613,1.5,0.165,15,10.03856097,,,2,0.0,3.7,11.3,18.8,1.9,0.9,0.0,0.0,,20,76,80,58,0,0,,
,22,8.778,1.4,0.429,14,7.4575,,,1,0.0,4.5,14.2,3.5,1.0,0.0,5.9,0.0,,,,,,,100,,
,23,9.207,1.3,0.429,13,7.4575,,,,,,,,,,,,,,,,,,,,
,24,9.636,2.3,0.726,23,6.72,,,目視時間の分布ランキング,,,,,,,,,,,,,,,,,
,25,10.362,1.3,2.541,13,6.72,,,,1,2,3,4,5,6,7,8,,,,,,,,,
