,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,2.607,9.9,0.528,99,,28.413,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,3.135,4.5,0.264,45,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,3.399,3.4,0.198,34,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,23,23,51.11111111,,
,4,3.597,2.3,0.33,23,10.03856097,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,30,7,15.55555556,,
,5,3.927,3.3,0.165,33,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,31,1,2.222222222,,
,6,4.092,3.4,0.627,34,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,32,1,2.222222222,,
,7,4.719,3.6,0.231,36,14.915,,,,,,,,,,,,,6,20,24,37,5,11.11111111,,
,8,4.95,3.7,0.231,37,7.4575,,,目視時間の分布（秒）,,27.885,,,,,,,,7,24,28,37,0,0,,
,9,5.181,3.3,0.165,33,29.83,,,,1,2,3,4,5,6,7,8,,8,28,32,42,5,11.11111111,,
,10,5.346,4.3,0.825,43,6.72,,,5,0,0,0,0,0,0,0,0,,9,32,36,43,1,2.222222222,,
,11,6.171,2.7,0.396,27,32.71792322,,,4,0,0,0.825,0,0.264,0,0,0,,10,36,40,43,0,0,,
,12,6.567,2.3,0.726,23,29.83,,,3,0,0.759,2.574,3.828,4.257,0.627,0.858,0.66,,11,40,44,43,0,0,,
,13,7.293,1.3,0.198,13,6.72,,,2,0,3.036,2.31,0,0.561,1.353,0.957,0,,12,44,48,45,2,4.444444444,,
,14,7.491,2.3,0.495,23,6.72,,,1,0,1.386,0.198,0,0,0.957,0.759,1.716,,13,48,52,45,0,0,,
