エラー,14.586,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.749,9.9,0.198,,,23.628,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.947,0,0.198,0,,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,#DIV/0!,,
,3,2.145,2.4,0.528,24,,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,0,0,#DIV/0!,,
,4,2.673,9.9,8.547,99,,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,0,0,#DIV/0!,,
,5,11.22,1.6,0.924,16,,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,0,0,#DIV/0!,,
,6,12.144,9.9,5.115,99,,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,0,0,#DIV/0!,,
,7,17.259,5.5,0.363,55,,,,,,,,,,,,,,6,20,24,0,0,#DIV/0!,,
,8,17.622,0,0.759,0,,,,目視時間の分布（秒）,,8.085,,,,,,,,7,24,28,0,0,#DIV/0!,,
,9,18.381,9.9,0.726,99,,,,,1,2,3,4,5,6,7,8,,8,28,32,0,0,#DIV/0!,,
,10,19.107,2.5,6.27,25,,,,5,0,0,0,0,0.363,0,0,0,,9,32,36,0,0,#DIV/0!,,
,11,25.377,,,,,,,4,0,0,0,0,0,0,0,0,,10,36,40,0,0,#DIV/0!,,
,12,,,,,,,,3,0,0,0,0,0,0,0,0,,11,40,44,0,0,#DIV/0!,,
,13,,,,,,,,2,0,0,0,0.528,6.27,0,0,0,,12,44,48,0,0,#DIV/0!,,
,14,,,,,,,,1,0,0,0,0,0,0.924,0,0,,13,48,52,0,0,#DIV/0!,,
,15,,,,,,,,,,,,,,,,,,14,52,56,0,0,#DIV/0!,,
,16,,,,,,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,0,0,#DIV/0!,,
,17,,,,,,,,,1,2,3,4,5,6,7,8,,16,60,64,0,0,#DIV/0!,,
,18,,,,,,,,5,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,,17,64,68,0,0,#DIV/0!,,
,19,,,,,,,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,18,68,72,0,0,#DIV/0!,,
