,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,0.594,2.5,0.396,25,,23.661,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,0.99,3.5,0.066,35,6.72,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.056,4.5,0.561,45,6.72,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,38,38,82.60869565,,
,4,1.617,5.5,0.462,55,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,43,5,10.86956522,,
,5,2.079,5.6,1.848,56,7.4575,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,45,2,4.347826087,,
,6,3.927,5.5,1.65,55,7.4575,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,46,1,2.173913043,,
,7,5.577,4.5,0.33,45,6.72,,,,,,,,,,,,,6,20,24,46,0,0,,
,8,5.907,3.5,1.221,35,6.72,,,目視時間の分布（秒）,,23.661,,,,,,,,7,24,28,46,0,0,,
,9,7.128,4.5,2.145,45,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,46,0,0,,
,10,9.273,4.4,0.066,44,7.4575,,,5,0,0.99,0.099,0.627,2.31,1.848,0,0,,9,32,36,46,0,0,,
,11,9.339,4.2,0.033,42,14.915,,,4,0.462,0.363,0,0.693,3.894,0.066,0.066,0,,10,36,40,46,0,0,,
,12,9.372,4.1,0.33,41,7.4575,,,3,1.056,0.495,0,0.066,2.046,0,0.165,1.023,,11,40,44,46,0,0,,
,13,9.702,3.1,0.693,31,6.72,,,2,0.363,0.099,1.056,3.663,2.211,0,0,0,,12,44,48,46,0,0,,
,14,10.395,3.2,0.429,32,7.4575,,,1,0,0,0,0,0,0,0,0,,13,48,52,46,0,0,,
