,,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
開始時刻,1,1.221,1.4,0.462,14,,22.935,,,1,2,3,4,5,6,7,8,,,以上,未満,累積,頻度,%,,
,2,1.683,3.4,0.198,34,13.44,,,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,,1,0,4,0,0,0,,
,3,1.881,4.5,1.353,45,10.03856097,,,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,,2,4,8,42,42,89.36170213,,
,4,3.234,3.5,0.825,35,6.72,,,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,,3,8,12,46,4,8.510638298,,
,5,4.059,2.5,0.264,25,6.72,,,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,,4,12,16,47,1,2.127659574,,
,6,4.323,3.5,0.33,35,6.72,,,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,,5,16,20,47,0,0,,
,7,4.653,3.4,0.033,34,7.4575,,,,,,,,,,,,,6,20,24,47,0,0,,
,8,4.686,2.4,1.221,24,6.72,,,目視時間の分布（秒）,,22.935,,,,,,,,7,24,28,47,0,0,,
,9,5.907,3.4,0.363,34,6.72,,,,1,2,3,4,5,6,7,8,,8,28,32,47,0,0,,
,10,6.27,4.5,0.435,45,10.03856097,,,5,0,0,0,0,1.386,1.215,0,0,,9,32,36,47,0,0,,
,11,6.705,5.6,0.951,56,10.03856097,,,4,0,0,0,0,11.127,0,0,0,,10,36,40,47,0,0,,
,12,7.656,5.5,0.066,55,7.4575,,,3,0,0,0,1.254,1.683,0.132,0.066,0,,11,40,44,47,0,0,,
,13,7.722,4.5,5.61,45,6.72,,,2,0,0.693,0.264,2.475,0.495,0.33,0,0,,12,44,48,47,0,0,,
,14,13.332,5.5,0.198,55,6.72,,,1,0,0,0,0.726,0.231,0.165,0.264,0.429,,13,48,52,47,0,0,,
,15,13.53,4.5,3.333,45,6.72,,,,,,,,,,,,,14,52,56,47,0,0,,
,16,16.863,5.6,0.264,56,10.03856097,,,目視時間の分布（%）,,100,,,,,,,,15,56,60,47,0,0,,
,17,17.127,5.5,1.122,55,7.4575,,,,1,2,3,4,5,6,7,8,,16,60,64,47,0,0,,
,18,18.249,4.5,0.396,45,6.72,,,5,0.0,0.0,0.0,0.0,6.0,5.3,0.0,0.0,,17,64,68,47,0,0,,
,19,18.645,3.5,0.099,35,6.72,,,4,0.0,0.0,0.0,0.0,48.5,0.0,0.0,0.0,,18,68,72,47,0,0,,
,20,18.744,3.4,0.429,34,7.4575,,,3,0.0,0.0,0.0,5.5,7.3,0.6,0.3,0.0,,19,72,76,47,0,0,,
,21,19.173,3.5,0.066,35,7.4575,,,2,0.0,3.0,1.2,10.8,2.2,1.4,0.0,0.0,,20,76,80,47,0,0,,
